Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,6.079e+00,(5),6.702e+02,5.004e+02,3.351e-01,(2),4.013e+03,(0),none
1,3.854e+00,(3),8.416e+02,2.738e+02,3.032e-01,(3),2.480e+03,(2),none
2,2.002e+00,(0),1.168e+03,2.701e+02,2.573e-01,(8),2.970e+03,(1),none
3,1.350e+01,(10),4.497e+02,1.361e+02,1.968e-01,(18),2.181e+03,(3),none
4,7.377e+00,(7),6.084e+02,1.356e+02,3.723e-01,(1),9.730e+02,(12),none
5,3.729e+01,(26),2.706e+02,1.316e+02,2.372e-01,(9),1.638e+03,(6),none
6,5.326e+01,(35),2.264e+02,1.223e+02,2.076e-01,(11),1.857e+03,(5),none
7,2.648e+01,(18),3.211e+02,1.159e+02,1.901e-01,(46),1.912e+03,(4),none
8,1.193e+01,(9),4.784e+02,8.870e+01,1.837e-01,(72),1.509e+03,(7),none
9,8.874e+01,(56),1.754e+02,8.712e+01,2.046e-01,(13),1.346e+03,(8),none
10,2.790e+00,(1),9.892e+02,8.070e+01,2.788e-01,(6),8.199e+02,(17),none
11,6.297e+01,(42),2.082e+02,7.864e+01,1.928e-01,(34),1.275e+03,(10),none
12,3.244e+01,(22),2.901e+02,7.666e+01,1.893e-01,(50),1.280e+03,(9),none
13,3.799e+01,(28),2.681e+02,6.256e+01,1.964e-01,(19),1.004e+03,(11),none
14,7.305e+01,(48),1.933e+02,5.523e+01,1.925e-01,(37),9.031e+02,(13),none
15,2.451e+01,(16),3.338e+02,5.519e+01,1.949e-01,(25),8.907e+02,(14),none
16,1.394e+02,(90),1.400e+02,5.259e+01,2.030e-01,(14),7.982e+02,(19),none
17,1.102e+02,(72),1.574e+02,5.149e+01,1.910e-01,(42),8.212e+02,(16),none
18,2.095e+01,(15),3.610e+02,4.902e+01,1.889e-01,(53),8.219e+02,(15),none
19,1.393e+01,(11),4.427e+02,4.670e+01,1.832e-01,(74),8.134e+02,(18),none
20,6.124e+01,(40),2.111e+02,4.489e+01,1.924e-01,(39),7.388e+02,(20),none
21,8.808e+01,(55),1.761e+02,4.154e+01,2.047e-01,(12),6.396e+02,(23),none
22,9.349e+00,(8),5.404e+02,4.126e+01,3.980e-01,(0),2.736e+02,(53),none
23,1.486e+02,(95),1.356e+02,4.013e+01,1.910e-01,(43),6.496e+02,(22),none
24,6.027e+01,(39),2.128e+02,4.011e+01,1.978e-01,(17),6.381e+02,(24),none
25,9.474e+01,(63),1.698e+02,3.832e+01,1.741e-01,(82),7.296e+02,(21),none
26,6.357e+00,(6),6.553e+02,3.707e+01,2.802e-01,(5),6.284e+02,(25),none
27,1.456e+02,(94),1.369e+02,3.505e+01,1.990e-01,(16),5.452e+02,(28),none
28,3.321e+01,(23),2.867e+02,3.481e+01,1.929e-01,(33),5.676e+02,(26),none
29,9.289e+01,(61),1.714e+02,3.391e+01,1.927e-01,(36),5.581e+02,(27),none
30,5.048e+01,(32),2.326e+02,3.155e+01,1.893e-01,(49),5.284e+02,(29),none
31,6.228e+01,(41),2.094e+02,3.089e+01,1.897e-01,(48),5.169e+02,(31),none
32,1.414e+02,(91),1.390e+02,3.089e+01,1.810e-01,(77),5.262e+02,(30),none
33,1.091e+02,(70),1.582e+02,2.864e+01,1.960e-01,(21),4.562e+02,(33),none
34,9.241e+01,(60),1.719e+02,2.742e+01,1.882e-01,(55),4.611e+02,(32),none
35,8.650e+01,(54),1.777e+02,2.682e+01,2.298e-01,(10),3.702e+02,(38),none
36,7.600e+01,(50),1.895e+02,2.563e+01,1.952e-01,(24),4.114e+02,(35),none
37,2.540e+01,(17),3.278e+02,2.508e+01,1.905e-01,(44),4.180e+02,(34),none
38,1.067e+02,(69),1.600e+02,2.273e+01,1.890e-01,(52),3.778e+02,(37),none
39,3.548e+01,(25),2.774e+02,2.260e+01,1.826e-01,(75),3.875e+02,(36),none
40,1.372e+02,(89),1.410e+02,2.140e+01,1.990e-01,(15),3.378e+02,(43),none
41,1.047e+02,(67),1.615e+02,2.132e+01,1.870e-01,(56),3.508e+02,(40),none
42,1.420e+02,(92),1.387e+02,2.068e+01,1.860e-01,(60),3.420e+02,(41),none
43,1.570e+01,(12),4.171e+02,2.051e+01,1.856e-01,(63),3.523e+02,(39),none
44,1.020e+02,(65),1.636e+02,1.997e+01,1.840e-01,(71),3.386e+02,(42),none
45,2.767e+01,(21),3.141e+02,1.939e+01,1.840e-01,(68),3.358e+02,(44),none
46,6.627e+01,(43),2.030e+02,1.910e+01,1.927e-01,(35),3.102e+02,(48),none
47,7.027e+01,(45),1.971e+02,1.904e+01,1.848e-01,(67),3.268e+02,(46),none
48,7.098e+01,(47),1.961e+02,1.889e+01,1.851e-01,(64),3.219e+02,(47),none
49,3.382e+00,(2),8.984e+02,1.871e+01,2.779e-01,(7),2.184e+02,(67),none
50,5.617e+01,(37),2.205e+02,1.816e+01,1.939e-01,(28),2.953e+02,(50),none
51,8.362e+01,(52),1.807e+02,1.741e+01,1.953e-01,(22),2.804e+02,(52),none
52,1.147e+02,(75),1.543e+02,1.627e+01,1.930e-01,(32),2.514e+02,(60),none
53,1.186e+02,(76),1.517e+02,1.594e+01,1.860e-01,(59),2.688e+02,(55),none
54,9.195e+01,(59),1.723e+02,1.541e+01,1.864e-01,(58),2.633e+02,(56),none
55,1.259e+02,(82),1.473e+02,1.516e+01,1.850e-01,(65),2.554e+02,(57),none
56,5.677e+01,(38),2.193e+02,1.471e+01,1.924e-01,(38),2.410e+02,(62),none
57,1.610e+01,(13),4.118e+02,1.464e+01,1.835e-01,(73),2.534e+02,(59),none
58,1.342e+02,(86),1.426e+02,1.440e+01,1.680e-01,(85),2.883e+02,(51),none
59,2.735e+01,(20),3.160e+02,1.433e+01,1.893e-01,(51),2.464e+02,(61),none
60,4.432e+01,(29),2.482e+02,1.409e+01,1.932e-01,(31),2.295e+02,(63),none
61,1.311e+02,(85),1.443e+02,1.387e+01,1.910e-01,(41),2.257e+02,(65),none
62,1.215e+02,(79),1.499e+02,1.320e+01,1.810e-01,(76),2.294e+02,(64),none
63,8.922e+01,(57),1.749e+02,1.233e+01,1.902e-01,(45),2.122e+02,(71),none
64,5.348e+01,(36),2.260e+02,1.232e+01,1.637e-01,(88),3.275e+02,(45),none
65,9.368e+01,(62),1.707e+02,1.190e+01,1.900e-01,(47),2.015e+02,(73),none
66,1.193e+02,(77),1.513e+02,1.190e+01,1.810e-01,(78),2.013e+02,(74),none
67,1.900e+01,(14),3.790e+02,1.174e+01,1.758e-01,(81),2.132e+02,(70),none
68,2.698e+01,(19),3.181e+02,1.164e+01,1.850e-01,(66),2.111e+02,(72),none
69,4.255e+00,(4),8.010e+02,1.153e+01,2.825e-01,(4),1.543e+02,(79),none
70,7.058e+01,(46),1.967e+02,1.126e+01,1.869e-01,(57),1.952e+02,(75),none
71,1.099e+02,(71),1.576e+02,1.085e+01,1.640e-01,(87),2.177e+02,(68),none
