Kr-84(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 29.1757
1.03125E-05 28.7379
1.06250E-05 28.3197
1.09375E-05 27.9197
1.12500E-05 27.5365
1.15625E-05 27.1691
1.18750E-05 26.8163
1.21875E-05 26.4774
1.25000E-05 26.1512
1.28125E-05 25.8372
1.31250E-05 25.5346
1.34375E-05 25.2426
1.37500E-05 24.9607
1.43750E-05 24.4250
1.50000E-05 23.9234
1.56250E-05 23.4525
1.62500E-05 23.0093
1.68750E-05 22.5911
1.75000E-05 22.1957
1.81250E-05 21.8212
1.87500E-05 21.4657
1.93750E-05 21.1278
2.00000E-05 20.8060
2.09375E-05 20.3509
2.18750E-05 19.9257
2.28125E-05 19.5273
2.37500E-05 19.1531
2.46875E-05 18.8006
2.56250E-05 18.4679
2.65625E-05 18.1533
2.75000E-05 17.8551
2.84375E-05 17.5720
2.93750E-05 17.3028
3.03125E-05 17.0464
3.12500E-05 16.8018
3.21875E-05 16.5681
3.31250E-05 16.3447
3.40625E-05 16.1306
3.50000E-05 15.9254
3.59375E-05 15.7284
3.68750E-05 15.5392
3.78125E-05 15.3571
3.87500E-05 15.1819
3.96875E-05 15.0130
4.06250E-05 14.8502
4.25000E-05 14.5411
4.43750E-05 14.2523
4.62500E-05 13.9816
4.81250E-05 13.7274
5.00000E-05 13.4879
5.15625E-05 13.2987
5.31250E-05 13.1181
5.46875E-05 12.9455
5.62500E-05 12.7804
5.78125E-05 12.6223
5.93750E-05 12.4706
6.09375E-05 12.3249
6.25000E-05 12.1850
6.40625E-05 12.0503
6.56250E-05 11.9207
6.71875E-05 11.7958
6.87500E-05 11.6753
7.18750E-05 11.4466
7.50000E-05 11.2329
7.81250E-05 11.0327
8.12500E-05 10.8446
8.43750E-05 10.6675
8.75000E-05 10.5004
9.06250E-05 10.3424
9.37500E-05 10.1927
9.68750E-05 10.0507
0.000100000 9.91575
0.000103125 9.78727
0.000106250 9.66480
0.000109375 9.54790
0.000112500 9.43617
0.000115625 9.32926
0.000118750 9.22685
0.000121875 9.12863
0.000125000 9.03435
0.000128125 8.94375
0.000131250 8.85661
0.000134375 8.77273
0.000137500 8.69191
0.000143750 8.53879
0.000150000 8.39601
0.000156250 8.26250
0.000162500 8.13734
0.000168750 8.01974
0.000175000 7.90900
0.000181250 7.80451
0.000187500 7.70573
0.000193750 7.61218
0.000200000 7.52345
0.000209375 7.39855
0.000218750 7.28253
0.000228125 7.17443
0.000237500 7.07344
0.000246875 6.97886
0.000256250 6.89007
0.000265625 6.80654
0.000275000 6.72780
0.000284375 6.65344
0.000293750 6.58309
0.000303125 6.51642
0.000312500 6.45315
0.000321875 6.39302
0.000331250 6.33579
0.000340625 6.28124
0.000350000 6.22920
0.000359375 6.17948
0.000368750 6.13194
0.000378125 6.08642
0.000387500 6.04281
0.000396875 6.00097
0.000406250 5.96080
0.000425000 5.88508
0.000443750 5.81494
0.000462500 5.74977
0.000481250 5.68905
0.000500000 5.63233
0.000515625 5.58783
0.000531250 5.54565
0.000546875 5.50559
0.000562500 5.46750
0.000578125 5.43124
0.000593750 5.39667
0.000609375 5.36367
0.000625000 5.33215
0.000640625 5.30199
0.000656250 5.27312
0.000671875 5.24545
0.000687500 5.21890
0.000718750 5.16891
0.000750000 5.12267
0.000781250 5.07976
0.000812500 5.03983
0.000843750 5.00257
0.000875000 4.96771
0.000906250 4.93503
0.000937500 4.90433
0.000968750 4.87542
0.00100000 4.84815
0.00103125 4.82238
0.00106250 4.79798
0.00109375 4.77485
0.00112500 4.75289
0.00115625 4.73200
0.00118750 4.71212
0.00121875 4.69316
0.00125000 4.67506
0.00128125 4.65776
0.00131250 4.64121
0.00134375 4.62536
0.00137500 4.61017
0.00143750 4.58157
0.00150000 4.55515
0.00156250 4.53064
0.00162500 4.50784
0.00168750 4.48657
0.00175000 4.46668
0.00181250 4.44803
0.00187500 4.43050
0.00193750 4.41400
0.00200000 4.39842
0.00209375 4.37663
0.00218750 4.35653
0.00228125 4.33791
0.00237500 4.32061
0.00246875 4.30449
0.00256250 4.28943
0.00265625 4.27531
0.00275000 4.26206
0.00284375 4.24959
0.00293750 4.23783
0.00303125 4.22672
0.00312500 4.21619
0.00321875 4.20622
0.00331250 4.19674
0.00340625 4.18773
0.00350000 4.17914
0.00359375 4.17095
0.00368750 4.16313
0.00378125 4.15565
0.00387500 4.14850
0.00396875 4.14163
0.00406250 4.13505
0.00425000 4.12265
0.00443750 4.11118
0.00462500 4.10052
0.00481250 4.09059
0.00500000 4.08132
0.00515625 4.07404
0.00531250 4.06713
0.00546875 4.06057
0.00562500 4.05433
0.00578125 4.04838
0.00593750 4.04270
0.00609375 4.03728
0.00625000 4.03209
0.00640625 4.02712
0.00656250 4.02235
0.00671875 4.01778
0.00687500 4.01338
0.00718750 4.00509
0.00750000 3.99740
0.00781250 3.99023
0.00812500 3.98354
0.00843750 3.97728
0.00875000 3.97140
0.00906250 3.96587
0.00937500 3.96066
0.00968750 3.95573
0.0100000 3.95107
0.0103125 3.94665
0.0106250 3.94245
0.0109375 3.93845
0.0112500 3.93464
0.0115625 3.93101
0.0118750 3.92754
0.0121875 3.92422
0.0125000 3.92104
0.0128125 3.91800
0.0131250 3.91507
0.0134375 3.91226
0.0137500 3.90956
0.0143750 3.90445
0.0150000 3.89971
0.0156250 3.89528
0.0162500 3.89114
0.0168750 3.88726
0.0175000 3.88361
0.0181250 3.88017
0.0187500 3.87692
0.0193750 3.87385
0.0200000 3.87093
0.0206625 3.86801
0.0213250 3.86523
0.0219875 3.86260
0.0226500 3.86009
0.0233125 3.85770
0.0239750 3.85542
0.0246375 3.85324
0.0253000 3.85116
0.0264578 3.84773
0.0276156 3.84453
0.0287734 3.84155
0.0299313 3.83876
0.0310891 3.83614
0.0322469 3.83367
0.0334047 3.83135
0.0345625 3.82915
0.0355274 3.82741
0.0364922 3.82575
0.0374570 3.82415
0.0384219 3.82262
0.0393867 3.82115
0.0403516 3.81974
0.0413164 3.81838
0.0422813 3.81707
0.0442109 3.81460
0.0461406 3.81229
0.0480703 3.81014
0.0500000 3.80812
0.0515625 3.80657
0.0531250 3.80510
0.0546875 3.80369
0.0562500 3.80235
0.0578125 3.80107
0.0593750 3.79984
0.0609375 3.79867
0.0625000 3.79754
0.0640625 3.79645
0.0656250 3.79541
0.0671875 3.79440
0.0687500 3.79344
0.0718750 3.79160
0.0750000 3.78989
0.0781250 3.78829
0.0812500 3.78679
0.0843750 3.78538
0.0875000 3.78405
0.0906250 3.78279
0.0937500 3.78160
0.0968750 3.78047
0.100000 3.77939
0.103125 3.77837
0.106250 3.77740
0.109375 3.77647
0.112500 3.77558
0.115625 3.77473
0.118750 3.77391
0.121875 3.77313
0.125000 3.77238
0.128125 3.77166
0.131250 3.77097
0.134375 3.77030
0.137500 3.76965
0.143750 3.76843
0.150000 3.76729
0.156250 3.76622
0.162500 3.76521
0.168750 3.76426
0.175000 3.76337
0.181250 3.76253
0.187500 3.76172
0.193750 3.76097
0.200000 3.76024
0.209375 3.75922
0.218750 3.75827
0.228125 3.75738
0.237500 3.75654
0.246875 3.75576
0.256250 3.75502
0.265625 3.75431
0.275000 3.75365
0.284375 3.75302
0.293750 3.75242
0.303125 3.75185
0.312500 3.75131
0.321875 3.75079
0.331250 3.75030
0.340625 3.74982
0.350000 3.74937
0.359375 3.74893
0.368750 3.74851
0.378125 3.74810
0.387500 3.74772
0.396875 3.74734
0.406250 3.74698
0.425000 3.74629
0.443750 3.74565
0.462500 3.74505
0.500000 3.74395
0.531250 3.74313
0.562500 3.74237
0.593750 3.74168
0.625000 3.74103
0.687500 3.73988
0.750000 3.73887
0.812500 3.73798
0.875000 3.73719
0.937500 3.73648
1.00000 3.73583
1.06250 3.73523
1.12500 3.73468
1.18750 3.73418
1.25000 3.73371
1.37500 3.73286
1.50000 3.73211
1.62500 3.73145
1.75000 3.73085
1.87500 3.73030
2.00000 3.72980
2.18750 3.72912
2.37500 3.72850
2.56250 3.72795
2.75000 3.72744
2.93750 3.72697
3.12500 3.72653
3.31250 3.72612
3.50000 3.72573
3.87500 3.72502
4.25000 3.72437
4.62500 3.72378
5.00000 3.72323
5.31250 3.72279
5.62500 3.72238
5.93750 3.72198
6.25000 3.72160
6.87500 3.72088
7.50000 3.72020
8.12500 3.71955
8.75000 3.71893
9.37500 3.71833
10.0000 3.71776
10.6250 3.71720
11.2500 3.71665
11.8750 3.71611
12.5000 3.71559
13.7500 3.71456
15.0000 3.71357
16.2500 3.71260
17.5000 3.71164
18.7500 3.71070
20.0000 3.70977
21.8750 3.70840
23.7500 3.70704
25.6250 3.70569
27.5000 3.70436
29.3750 3.70303
31.2500 3.70171
33.1250 3.70039
35.0000 3.69908
38.7500 3.69646
42.5000 3.69384
46.2500 3.69122
50.0000 3.68859
53.1250 3.68640
56.2500 3.68419
62.5000 3.67977
68.7500 3.67531
75.0000 3.67081
81.2500 3.66626
87.5000 3.66166
93.7500 3.65700
100.000 3.65229
106.250 3.64752
112.500 3.64269
125.000 3.63283
137.500 3.62268
150.000 3.61221
159.375 3.60412
168.750 3.59585
175.000 3.59020
187.500 3.57860
200.000 3.56654
209.375 3.55716
218.750 3.54748
228.125 3.53747
237.500 3.52709
246.875 3.51632
256.250 3.50512
265.625 3.49344
275.000 3.48124
284.375 3.46846
293.750 3.45503
303.125 3.44088
312.500 3.42591
321.875 3.41002
331.250 3.39309
340.625 3.37496
345.313 3.36538
350.000 3.35543
356.445 3.34105
362.891 3.32586
369.336 3.30973
375.781 3.29246
382.227 3.27405
388.672 3.25418
391.895 3.24372
395.117 3.23272
398.340 3.22133
401.563 3.20951
407.422 3.18652
410.352 3.17427
413.281 3.16148
416.211 3.14807
419.141 3.13402
422.070 3.11928
425.000 3.10379
428.223 3.08575
431.445 3.06664
434.668 3.04629
437.891 3.02455
441.113 3.00135
444.336 2.97640
445.947 2.96325
447.559 2.94953
449.170 2.93532
450.781 2.92056
