Sr-87(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 839.201
1.03125E-05 826.403
1.06250E-05 814.173
1.09375E-05 802.472
1.12500E-05 791.262
1.15625E-05 780.510
1.18750E-05 770.185
1.21875E-05 760.260
1.25000E-05 750.710
1.28125E-05 741.512
1.31250E-05 732.644
1.34375E-05 724.087
1.37500E-05 715.824
1.43750E-05 700.115
1.50000E-05 685.398
1.56250E-05 671.574
1.62500E-05 658.555
1.68750E-05 646.268
1.75000E-05 634.644
1.81250E-05 623.628
1.87500E-05 613.168
1.93750E-05 603.218
2.00000E-05 593.739
2.09375E-05 580.324
2.18750E-05 567.783
2.28125E-05 556.023
2.37500E-05 544.967
2.46875E-05 534.547
2.56250E-05 524.705
2.65625E-05 515.389
2.75000E-05 506.555
2.84375E-05 498.161
2.93750E-05 490.173
3.03125E-05 482.558
3.12500E-05 475.290
3.21875E-05 468.341
3.31250E-05 461.690
3.40625E-05 455.316
3.50000E-05 449.200
3.59375E-05 443.325
3.68750E-05 437.676
3.78125E-05 432.239
3.87500E-05 427.000
3.96875E-05 421.949
4.06250E-05 417.073
4.25000E-05 407.812
4.43750E-05 399.144
4.62500E-05 391.010
4.81250E-05 383.357
5.00000E-05 376.139
5.15625E-05 370.428
5.31250E-05 364.971
5.46875E-05 359.750
5.62500E-05 354.749
5.78125E-05 349.952
5.93750E-05 345.346
6.09375E-05 340.919
6.25000E-05 336.659
6.40625E-05 332.556
6.56250E-05 328.601
6.71875E-05 324.785
6.87500E-05 321.101
7.18750E-05 314.096
7.50000E-05 307.534
7.81250E-05 301.372
8.12500E-05 295.569
8.43750E-05 290.093
8.75000E-05 284.913
9.06250E-05 280.004
9.37500E-05 275.344
9.68750E-05 270.912
0.000100000 266.689
0.000103125 262.661
0.000106250 258.812
0.000109375 255.130
0.000112500 251.603
0.000115625 248.221
0.000118750 244.973
0.000121875 241.852
0.000125000 238.848
0.000128125 235.956
0.000131250 233.168
0.000134375 230.478
0.000137500 227.881
0.000143750 222.944
0.000150000 218.320
0.000156250 213.978
0.000162500 209.889
0.000168750 206.031
0.000175000 202.383
0.000181250 198.926
0.000187500 195.644
0.000193750 192.522
0.000200000 189.549
0.000209375 185.343
0.000218750 181.412
0.000228125 177.727
0.000237500 174.264
0.000246875 171.001
0.000256250 167.919
0.000265625 165.004
0.000275000 162.239
0.000284375 159.614
0.000293750 157.115
0.000303125 154.735
0.000312500 152.463
0.000321875 150.292
0.000331250 148.214
0.000340625 146.223
0.000350000 144.313
0.000359375 142.479
0.000368750 140.716
0.000378125 139.019
0.000387500 137.385
0.000396875 135.809
0.000406250 134.289
0.000425000 131.402
0.000443750 128.701
0.000462500 126.167
0.000481250 123.784
0.000500000 121.537
0.000515625 119.760
0.000531250 118.062
0.000546875 116.439
0.000562500 114.884
0.000578125 113.393
0.000593750 111.961
0.000609375 110.586
0.000625000 109.263
0.000640625 107.989
0.000656250 106.761
0.000671875 105.576
0.000687500 104.433
0.000718750 102.260
0.000750000 100.225
0.000781250 98.3145
0.000812500 96.5162
0.000843750 94.8196
0.000875000 93.2154
0.000906250 91.6957
0.000937500 90.2531
0.000968750 88.8815
0.00100000 87.5752
0.00103125 86.3292
0.00106250 85.1391
0.00109375 84.0007
0.00112500 82.9104
0.00115625 81.8650
0.00118750 80.8615
0.00121875 79.8971
0.00125000 78.9693
0.00128125 78.0760
0.00131250 77.2150
0.00134375 76.3845
0.00137500 75.5826
0.00143750 74.0586
0.00150000 72.6316
0.00156250 71.2916
0.00162500 70.0303
0.00168750 68.8402
0.00175000 67.7148
0.00181250 66.6486
0.00187500 65.6365
0.00193750 64.6741
0.00200000 63.7575
0.00209375 62.4607
0.00218750 61.2488
0.00228125 60.1129
0.00237500 59.0453
0.00246875 58.0394
0.00256250 57.0896
0.00265625 56.1909
0.00275000 55.3388
0.00284375 54.5294
0.00293750 53.7593
0.00303125 53.0254
0.00312500 52.3250
0.00321875 51.6556
0.00331250 51.0150
0.00340625 50.4011
0.00350000 49.8123
0.00359375 49.2467
0.00368750 48.7030
0.00378125 48.1797
0.00387500 47.6757
0.00396875 47.1897
0.00406250 46.7207
0.00425000 45.8300
0.00443750 44.9966
0.00462500 44.2147
0.00481250 43.4792
0.00500000 42.7857
0.00515625 42.2371
0.00531250 41.7130
0.00546875 41.2116
0.00562500 40.7314
0.00578125 40.2708
0.00593750 39.8287
0.00609375 39.4038
0.00625000 38.9950
0.00640625 38.6013
0.00656250 38.2218
0.00671875 37.8557
0.00687500 37.5023
0.00718750 36.8304
0.00750000 36.2012
0.00781250 35.6103
0.00812500 35.0540
0.00843750 34.5291
0.00875000 34.0327
0.00906250 33.5624
0.00937500 33.1159
0.00968750 32.6912
0.0100000 32.2868
0.0103125 31.9010
0.0106250 31.5324
0.0109375 31.1799
0.0112500 30.8422
0.0115625 30.5184
0.0118750 30.2076
0.0121875 29.9088
0.0125000 29.6214
0.0128125 29.3447
0.0131250 29.0779
0.0134375 28.8206
0.0137500 28.5721
0.0143750 28.0999
0.0150000 27.6577
0.0156250 27.2424
0.0162500 26.8515
0.0168750 26.4826
0.0175000 26.1338
0.0181250 25.8034
0.0187500 25.4897
0.0193750 25.1914
0.0200000 24.9073
0.0206625 24.6204
0.0213250 24.3472
0.0219875 24.0865
0.0226500 23.8374
0.0233125 23.5991
0.0239750 23.3708
0.0246375 23.1519
0.0253000 22.9418
0.0264578 22.5938
0.0276156 22.2682
0.0287734 21.9626
0.0299313 21.6752
0.0310891 21.4042
0.0322469 21.1480
0.0334047 20.9054
0.0345625 20.6753
0.0355274 20.4922
0.0364922 20.3166
0.0374570 20.1478
0.0384219 19.9855
0.0393867 19.8293
0.0403516 19.6788
0.0422813 19.3936
0.0442109 19.1275
0.0461406 18.8785
0.0480703 18.6449
0.0500000 18.4252
0.0515625 18.2566
0.0531250 18.0956
0.0546875 17.9417
0.0562500 17.7943
0.0578125 17.6531
0.0593750 17.5177
0.0609375 17.3876
0.0625000 17.2626
0.0640625 17.1422
0.0656250 17.0263
0.0687500 16.8067
0.0718750 16.6018
0.0750000 16.4102
0.0781250 16.2304
0.0812500 16.0614
0.0843750 15.9021
0.0875000 15.7517
0.0906250 15.6093
0.0937500 15.4744
0.0968750 15.3463
0.100000 15.2245
0.103125 15.1084
0.106250 14.9977
0.109375 14.8920
0.112500 14.7909
0.115625 14.6941
0.118750 14.6014
0.121875 14.5124
0.125000 14.4269
0.128125 14.3448
0.131250 14.2658
0.137500 14.1163
0.143750 13.9771
0.150000 13.8472
0.156250 13.7256
0.162500 13.6116
0.168750 13.5043
0.175000 13.4034
0.181250 13.3081
0.187500 13.2180
0.193750 13.1327
0.200000 13.0519
0.209375 12.9381
0.218750 12.8324
0.228125 12.7340
0.237500 12.6421
0.246875 12.5562
0.256250 12.4757
0.265625 12.4001
0.275000 12.3290
0.284375 12.2621
0.293750 12.1989
0.303125 12.1393
0.312500 12.0828
0.321875 12.0294
0.331250 11.9788
0.340625 11.9308
0.350000 11.8853
0.359375 11.8420
0.368750 11.8010
0.387500 11.7247
0.406250 11.6554
0.425000 11.5923
0.443750 11.5350
0.462500 11.4829
0.500000 11.3925
0.531250 11.3293
0.562500 11.2754
0.625000 11.1918
0.687500 11.1355
0.750000 11.1019
0.781250 11.0926
0.828125 11.0872
0.875000 11.0920
0.937500 11.1121
1.00000 11.1470
1.06250 11.1967
1.12500 11.2610
1.18750 11.3401
1.25000 11.4343
1.31250 11.5445
1.37500 11.6714
1.43750 11.8165
1.50000 11.9811
1.56250 12.1672
1.62500 12.3771
1.68750 12.6135
1.75000 12.8796
1.81250 13.1795
1.87500 13.5179
1.93750 13.9004
2.00000 14.3328
2.05575 14.7683
2.11150 15.2594
2.16725 15.8141
2.19513 16.1185
2.22300 16.4429
2.25088 16.7892
2.27875 17.1591
2.30663 17.5549
2.33450 17.9787
2.36238 18.4330
2.39025 18.9202
2.41813 19.4442
2.44600 20.0097
2.47666 20.6851
2.50733 21.4223
2.53799 22.2287
2.56865 23.1129
2.59931 24.0852
2.62998 25.1575
2.66064 26.3441
2.69130 27.6616
2.72196 29.1299
2.75263 30.7727
2.76796 31.6684
2.78329 32.6189
2.79862 33.6288
2.81395 34.7032
2.82928 35.8477
2.84461 37.0683
2.85994 38.3719
2.87528 39.7662
2.89061 41.2597
2.90594 42.8617
2.92127 44.5827
2.93660 46.4350
2.95333 48.6218
2.97005 51.0022
2.98678 53.6000
3.00350 56.4429
3.02023 59.5623
3.03695 62.9949
3.05368 66.7833
3.07040 70.9776
3.08573 75.2298
3.10106 79.9265
3.11639 85.1313
3.13173 90.9190
3.13939 94.0588
3.14706 97.3788
3.15472 100.893
3.16239 104.616
3.17005 108.565
3.17772 112.757
3.18539 117.213
3.19305 121.954
3.19967 126.297
3.20629 130.887
3.21291 135.745
3.21953 140.887
3.22615 146.339
3.23277 152.121
3.23939 158.261
3.24601 164.788
3.25263 171.733
3.25925 179.127
3.26587 187.010
3.27249 195.421
3.27912 204.404
3.28574 214.005
3.29236 224.277
3.29898 235.274
3.30664 248.993
3.31431 263.864
3.32197 279.993
3.32964 297.490
3.33730 316.476
3.34497 337.067
3.35264 359.387
3.36030 383.547
3.36588 402.338
3.37354 429.925
3.38121 459.603
3.38887 491.414
3.39654 525.354
3.40420 561.381
3.41187 599.370
3.41954 639.141
3.42720 680.408
3.43604 729.351
3.44487 779.068
3.45370 828.681
3.46254 877.140
3.47137 923.300
3.48021 965.920
3.48904 1003.77
3.49788 1035.65
3.50591 1058.58
3.51394 1075.04
3.52197 1084.57
3.53000 1086.88
3.53442 1085.05
3.53884 1081.02
3.54767 1066.57
3.55650 1044.06
3.56534 1014.28
3.57417 978.228
3.58301 937.062
3.59184 891.995
3.60068 844.249
3.60870 799.553
3.61672 754.418
3.62474 709.547
3.63276 665.540
3.64078 622.887
3.64880 581.967
3.65682 543.053
3.66484 506.325
3.67219 474.699
3.67953 445.019
3.68688 417.261
3.69422 391.390
3.70156 367.330
3.70891 345.003
3.71625 324.313
3.72359 305.157
3.73227 284.355
3.74095 265.386
3.74963 248.082
3.75831 232.293
3.76698 217.871
3.77566 204.686
3.78434 192.615
3.79302 181.550
3.80036 172.898
3.80771 164.841
3.81505 157.328
3.82239 150.316
3.82974 143.763
3.83708 137.633
