Be-9(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 0.504006
1.03125E-05 0.496311
1.06250E-05 0.488958
1.09375E-05 0.481922
1.12500E-05 0.475181
1.15625E-05 0.468716
1.18750E-05 0.462508
1.21875E-05 0.456539
1.25000E-05 0.450797
1.28125E-05 0.445265
1.31250E-05 0.439932
1.34375E-05 0.434787
1.37500E-05 0.429818
1.43750E-05 0.420370
1.50000E-05 0.411519
1.56250E-05 0.403204
1.62500E-05 0.395374
1.68750E-05 0.387984
1.75000E-05 0.380992
1.81250E-05 0.374366
1.87500E-05 0.368073
1.93750E-05 0.362088
2.00000E-05 0.356385
2.09375E-05 0.348315
2.18750E-05 0.340769
2.28125E-05 0.333694
2.37500E-05 0.327041
2.46875E-05 0.320772
2.56250E-05 0.314849
2.65625E-05 0.309243
2.75000E-05 0.303926
2.84375E-05 0.298874
2.93750E-05 0.294066
3.03125E-05 0.289483
3.12500E-05 0.285108
3.21875E-05 0.280925
3.31250E-05 0.276921
3.40625E-05 0.273083
3.50000E-05 0.269401
3.59375E-05 0.265864
3.68750E-05 0.262463
3.78125E-05 0.259188
3.87500E-05 0.256034
3.96875E-05 0.252992
4.06250E-05 0.250055
4.25000E-05 0.244477
4.43750E-05 0.239256
4.62500E-05 0.234356
4.81250E-05 0.229745
5.00000E-05 0.225396
5.15625E-05 0.221955
5.31250E-05 0.218667
5.46875E-05 0.215520
5.62500E-05 0.212506
5.78125E-05 0.209614
5.93750E-05 0.206838
6.09375E-05 0.204169
6.25000E-05 0.201600
6.40625E-05 0.199126
6.56250E-05 0.196742
6.71875E-05 0.194440
6.87500E-05 0.192218
7.18750E-05 0.187993
7.50000E-05 0.184034
7.81250E-05 0.180316
8.12500E-05 0.176814
8.43750E-05 0.173509
8.75000E-05 0.170382
9.06250E-05 0.167419
9.37500E-05 0.164605
9.68750E-05 0.161928
0.000100000 0.159378
0.000103125 0.156944
0.000106250 0.154619
0.000109375 0.152394
0.000112500 0.150262
0.000115625 0.148218
0.000118750 0.146254
0.000121875 0.144367
0.000125000 0.142551
0.000128125 0.140802
0.000131250 0.139115
0.000134375 0.137488
0.000137500 0.135917
0.000143750 0.132929
0.000150000 0.130130
0.000156250 0.127501
0.000162500 0.125025
0.000168750 0.122687
0.000175000 0.120476
0.000181250 0.118381
0.000187500 0.116391
0.000193750 0.114498
0.000200000 0.112695
0.000209375 0.110143
0.000218750 0.107756
0.000228125 0.105519
0.000237500 0.103415
0.000246875 0.101432
0.000256250 0.0995592
0.000265625 0.0977863
0.000275000 0.0961048
0.000284375 0.0945072
0.000293750 0.0929867
0.000303125 0.0915373
0.000312500 0.0901536
0.000321875 0.0888309
0.000331250 0.0875646
0.000340625 0.0863510
0.000350000 0.0851866
0.000359375 0.0840679
0.000368750 0.0829922
0.000378125 0.0819568
0.000387500 0.0809592
0.000396875 0.0799971
0.000406250 0.0790685
0.000425000 0.0773044
0.000443750 0.0756533
0.000462500 0.0741036
0.000481250 0.0726455
0.000500000 0.0712701
0.000515625 0.0701817
0.000531250 0.0691417
0.000546875 0.0681466
0.000562500 0.0671933
0.000578125 0.0662789
0.000593750 0.0654008
0.000609375 0.0645567
0.000625000 0.0637444
0.000640625 0.0629621
0.000656250 0.0622078
0.000671875 0.0614800
0.000687500 0.0607772
0.000718750 0.0594409
0.000750000 0.0581891
0.000781250 0.0570131
0.000812500 0.0559056
0.000843750 0.0548603
0.000875000 0.0538714
0.000906250 0.0529342
0.000937500 0.0520442
0.000968750 0.0511976
0.00100000 0.0503910
0.00103125 0.0496214
0.00106250 0.0488860
0.00109375 0.0481823
0.00112500 0.0475082
0.00115625 0.0468615
0.00118750 0.0462406
0.00121875 0.0456437
0.00125000 0.0450693
0.00128125 0.0445161
0.00131250 0.0439827
0.00134375 0.0434681
0.00137500 0.0429711
0.00143750 0.0420262
0.00150000 0.0411409
0.00156250 0.0403094
0.00162500 0.0395262
0.00168750 0.0387870
0.00175000 0.0380878
0.00181250 0.0374250
