Pd-105(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 1051.98
1.03125E-05 1035.92
1.06250E-05 1020.57
1.09375E-05 1005.89
1.12500E-05 991.816
1.15625E-05 978.321
1.18750E-05 965.362
1.21875E-05 952.905
1.25000E-05 940.919
1.28125E-05 929.373
1.31250E-05 918.243
1.34375E-05 907.503
1.37500E-05 897.131
1.43750E-05 877.411
1.50000E-05 858.937
1.56250E-05 841.583
1.62500E-05 825.240
1.68750E-05 809.814
1.75000E-05 795.221
1.81250E-05 781.390
1.87500E-05 768.257
1.93750E-05 755.764
2.00000E-05 743.861
2.09375E-05 727.017
2.18750E-05 711.267
2.28125E-05 696.499
2.37500E-05 682.614
2.46875E-05 669.527
2.56250E-05 657.166
2.65625E-05 645.464
2.75000E-05 634.367
2.84375E-05 623.822
2.93750E-05 613.787
3.03125E-05 604.221
3.12500E-05 595.088
3.21875E-05 586.358
3.31250E-05 578.001
3.40625E-05 569.991
3.50000E-05 562.306
3.59375E-05 554.923
3.68750E-05 547.823
3.78125E-05 540.989
3.87500E-05 534.405
3.96875E-05 528.055
4.06250E-05 521.927
4.25000E-05 510.284
4.43750E-05 499.387
4.62500E-05 489.159
4.81250E-05 479.535
5.00000E-05 470.458
5.15625E-05 463.275
5.31250E-05 456.411
5.46875E-05 449.844
5.62500E-05 443.552
5.78125E-05 437.517
5.93750E-05 431.722
6.09375E-05 426.151
6.25000E-05 420.790
6.40625E-05 415.627
6.56250E-05 410.649
6.71875E-05 405.846
6.87500E-05 401.207
7.18750E-05 392.388
7.50000E-05 384.127
7.81250E-05 376.366
8.12500E-05 369.057
8.43750E-05 362.158
8.75000E-05 355.632
9.06250E-05 349.446
9.37500E-05 343.573
9.68750E-05 337.986
0.000100000 332.663
0.000103125 327.584
0.000106250 322.730
0.000109375 318.086
0.000112500 313.637
0.000115625 309.370
0.000118750 305.272
0.000121875 301.333
0.000125000 297.542
0.000128125 293.891
0.000131250 290.371
0.000134375 286.975
0.000137500 283.695
0.000143750 277.459
0.000150000 271.617
0.000156250 266.129
0.000162500 260.961
0.000168750 256.083
0.000175000 251.468
0.000181250 247.094
0.000187500 242.941
0.000193750 238.990
0.000200000 235.226
0.000209375 229.900
0.000218750 224.919
0.000228125 220.249
0.000237500 215.858
0.000246875 211.720
0.000256250 207.810
0.000265625 204.110
0.000275000 200.601
0.000284375 197.266
0.000293750 194.093
0.000303125 191.068
0.000312500 188.180
0.000321875 185.419
0.000331250 182.776
0.000340625 180.243
0.000350000 177.812
0.000359375 175.478
0.000368750 173.233
0.000378125 171.072
0.000387500 168.989
0.000396875 166.981
0.000406250 165.043
0.000425000 161.361
0.000443750 157.915
0.000462500 154.681
0.000481250 151.638
0.000500000 148.767
0.000515625 146.495
0.000531250 144.325
0.000546875 142.248
0.000562500 140.258
0.000578125 138.350
0.000593750 136.517
0.000609375 134.755
0.000625000 133.060
0.000640625 131.427
0.000656250 129.853
0.000671875 128.334
0.000687500 126.867
0.000718750 124.078
0.000750000 121.466
0.000781250 119.011
0.000812500 116.700
0.000843750 114.518
0.000875000 112.454
0.000906250 110.498
0.000937500 108.641
0.000968750 106.874
0.00100000 105.191
0.00103125 103.584
0.00106250 102.049
0.00109375 100.581
0.00112500 99.1738
0.00115625 97.8242
0.00118750 96.5283
0.00121875 95.2825
0.00125000 94.0837
0.00128125 92.9291
0.00131250 91.8159
0.00134375 90.7418
0.00137500 89.7045
0.00143750 87.7324
0.00150000 85.8848
0.00156250 84.1492
0.00162500 82.5147
0.00168750 80.9718
0.00175000 79.5124
0.00181250 78.1291
0.00187500 76.8155
0.00193750 75.5661
0.00200000 74.3756
0.00209375 72.6909
0.00218750 71.1157
0.00228125 69.6386
0.00237500 68.2498
0.00246875 66.9409
0.00256250 65.7045
0.00265625 64.5341
0.00275000 63.4241
0.00284375 62.3694
0.00293750 61.3656
0.00303125 60.4088
0.00312500 59.4953
0.00321875 58.6220
0.00331250 57.7861
0.00340625 56.9849
0.00350000 56.2162
0.00359375 55.4777
0.00368750 54.7675
0.00378125 54.0839
0.00387500 53.4253
0.00396875 52.7902
0.00406250 52.1771
0.00425000 51.0125
0.00443750 49.9224
0.00462500 48.8993
0.00481250 47.9366
0.00500000 47.0286
0.00515625 46.3100
0.00531250 45.6234
0.00546875 44.9664
0.00562500 44.3369
0.00578125 43.7332
0.00593750 43.1535
0.00609375 42.5961
0.00625000 42.0598
0.00640625 41.5433
0.00656250 41.0453
0.00671875 40.5647
0.00687500 40.1007
0.00718750 39.2184
0.00750000 38.3917
0.00781250 37.6152
0.00812500 36.8839
0.00843750 36.1935
0.00875000 35.5405
0.00906250 34.9215
0.00937500 34.3337
0.00968750 33.7746
0.0100000 33.2419
0.0103125 32.7336
0.0106250 32.2478
0.0109375 31.7831
0.0112500 31.3378
0.0115625 30.9107
0.0118750 30.5006
0.0121875 30.1064
0.0125000 29.7270
0.0128125 29.3616
0.0131250 29.0094
0.0134375 28.6695
0.0137500 28.3412
0.0143750 27.7170
0.0150000 27.1323
0.0156250 26.5829
0.0162500 26.0655
0.0168750 25.5770
0.0175000 25.1149
0.0181250 24.6769
0.0187500 24.2610
0.0193750 23.8653
0.0200000 23.4883
0.0206625 23.1075
0.0213250 22.7446
0.0219875 22.3982
0.0226500 22.0671
0.0233125 21.7502
0.0239750 21.4465
0.0246375 21.1551
0.0253000 20.8753
0.0264578 20.4117
0.0276156 19.9776
0.0287734 19.5699
0.0299313 19.1861
0.0310891 18.8240
0.0322469 18.4815
0.0334047 18.1570
0.0345625 17.8489
0.0355274 17.6037
0.0364922 17.3682
0.0374570 17.1418
0.0384219 16.9240
0.0393867 16.7143
0.0403516 16.5120
0.0413164 16.3169
0.0422813 16.1285
0.0442109 15.7702
0.0461406 15.4347
0.0480703 15.1195
0.0500000 14.8227
0.0515625 14.5947
0.0531250 14.3768
0.0546875 14.1683
0.0562500 13.9685
0.0578125 13.7768
0.0593750 13.5928
0.0609375 13.4159
0.0625000 13.2457
0.0640625 13.0817
0.0656250 12.9236
0.0671875 12.7711
0.0687500 12.6238
0.0718750 12.3437
0.0750000 12.0811
0.0781250 11.8343
0.0812500 11.6019
0.0843750 11.3823
0.0875000 11.1746
0.0906250 10.9777
0.0937500 10.7907
0.0968750 10.6128
0.100000 10.4433
0.103125 10.2814
0.106250 10.1268
0.109375 9.97878
0.112500 9.83696
0.115625 9.70091
0.118750 9.57024
0.121875 9.44461
0.125000 9.32371
0.128125 9.20727
0.131250 9.09502
0.134375 8.98671
0.137500 8.88210
0.143750 8.68313
0.150000 8.49654
0.156250 8.32112
0.162500 8.15582
0.168750 7.99972
0.175000 7.85201
0.181250 7.71195
0.187500 7.57889
0.193750 7.45229
0.200000 7.33166
0.204688 7.24485
0.209375 7.16098
0.218750 7.00131
0.228125 6.85140
0.237500 6.71031
0.246875 6.57726
0.256250 6.45150
0.265625 6.33239
0.275000 6.21937
0.284375 6.11193
0.293750 6.00962
0.303125 5.91204
0.312500 5.81884
0.321875 5.72970
0.331250 5.64432
0.340625 5.56244
0.350000 5.48384
0.359375 5.40830
0.368750 5.33562
0.378125 5.26564
0.387500 5.19820
0.396875 5.13318
0.406250 5.07044
0.425000 4.95109
0.443750 4.83912
0.462500 4.73389
0.500000 4.54157
0.531250 4.39688
0.562500 4.26392
0.593750 4.14142
0.625000 4.02807
0.687500 3.82465
0.750000 3.64679
0.812500 3.48950
0.875000 3.34946
0.937500 3.22338
1.00000 3.10874
1.06250 3.00419
1.12500 2.90835
1.18750 2.82005
1.25000 2.73836
1.37500 2.59181
1.50000 2.46379
1.62500 2.35073
1.75000 2.25019
1.87500 2.15989
2.00000 2.07795
2.18750 1.96872
2.37500 1.87313
2.56250 1.78866
2.75000 1.71361
2.93750 1.64642
3.12500 1.58583
3.31250 1.53112
3.50000 1.48156
3.68750 1.43658
3.87500 1.39569
