Te-123(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 20586.0
1.03125E-05 20271.7
1.06250E-05 19971.3
1.09375E-05 19684.0
1.12500E-05 19408.7
1.15625E-05 19144.6
1.18750E-05 18891.0
1.21875E-05 18647.3
1.25000E-05 18412.7
1.28125E-05 18186.8
1.31250E-05 17969.0
1.34375E-05 17758.8
1.37500E-05 17555.8
1.43750E-05 17170.0
1.50000E-05 16808.5
1.56250E-05 16468.9
1.62500E-05 16149.1
1.68750E-05 15847.2
1.75000E-05 15561.6
1.81250E-05 15291.0
1.87500E-05 15034.0
1.93750E-05 14789.5
2.00000E-05 14556.6
2.09375E-05 14227.0
2.18750E-05 13918.8
2.28125E-05 13629.8
2.37500E-05 13358.1
2.46875E-05 13102.0
2.56250E-05 12860.1
2.65625E-05 12631.2
2.75000E-05 12414.0
2.84375E-05 12207.7
2.93750E-05 12011.3
3.03125E-05 11824.1
3.12500E-05 11645.4
3.21875E-05 11474.6
3.31250E-05 11311.0
3.40625E-05 11154.3
3.50000E-05 11003.9
3.59375E-05 10859.4
3.68750E-05 10720.5
3.78125E-05 10586.8
3.87500E-05 10457.9
3.96875E-05 10333.7
4.06250E-05 10213.8
4.25000E-05 9985.94
4.43750E-05 9772.71
4.62500E-05 9572.58
4.81250E-05 9384.26
5.00000E-05 9206.64
5.23438E-05 8998.18
5.46875E-05 8803.27
5.70313E-05 8620.50
5.93750E-05 8448.66
5.95886E-05 8433.51
6.03165E-05 8382.47
6.10443E-05 8332.36
6.25000E-05 8234.76
6.48108E-05 8086.64
6.71216E-05 7946.24
6.94323E-05 7812.90
7.17431E-05 7686.07
7.18750E-05 7679.01
7.22656E-05 7658.23
7.26563E-05 7637.62
7.34375E-05 7596.89
7.50000E-05 7517.35
7.81250E-05 7365.49
8.12500E-05 7222.48
8.43750E-05 7087.48
8.75000E-05 6959.79
9.06250E-05 6838.76
9.37500E-05 6723.83
9.68750E-05 6614.51
0.000100000 6510.35
0.000103125 6410.97
0.000106250 6316.01
0.000109375 6225.14
0.000112500 6138.09
0.000115625 6054.59
0.000118750 5974.41
0.000121875 5897.33
0.000125000 5823.16
0.000128125 5751.72
0.000131250 5682.85
0.000134375 5616.40
0.000137500 5552.23
0.000143750 5430.21
0.000150000 5315.91
0.000156250 5208.53
0.000162500 5107.41
0.000168750 5011.97
0.000175000 4921.68
0.000181250 4836.10
0.000187500 4754.84
0.000193750 4677.55
0.000200000 4603.91
0.000207662 4518.20
0.000215325 4437.11
0.000222987 4360.24
0.000230650 4287.23
0.000238312 4217.77
0.000245974 4151.58
0.000253637 4088.42
0.000261299 4028.05
0.000268150 3976.29
0.000275000 3926.47
0.000284375 3861.24
0.000293750 3799.15
0.000303125 3739.97
0.000312500 3683.48
0.000321875 3629.47
0.000331250 3577.76
0.000340625 3528.21
0.000350000 3480.67
0.000359375 3434.99
0.000368750 3391.08
0.000378125 3348.80
0.000387500 3308.07
0.000396875 3268.79
0.000406250 3230.88
0.000425000 3158.86
0.000443750 3091.45
0.000462500 3028.18
0.000481250 2968.65
0.000500000 2912.51
0.000515625 2868.08
0.000531250 2825.62
0.000546875 2785.00
0.000562500 2746.08
0.000578125 2708.75
0.000593750 2672.91
0.000609375 2638.46
0.000625000 2605.30
0.000640625 2573.37
0.000656250 2542.58
0.000671875 2512.87
0.000687500 2484.19
0.000718750 2429.65
0.000750000 2378.56
0.000781250 2330.56
0.000812500 2285.36
0.000843750 2242.70
0.000875000 2202.35
0.000905723 2164.73
0.000936446 2128.98
0.000967168 2094.95
0.000997891 2062.50
0.00100000 2060.33
0.00100781 2052.34
0.00101563 2044.45
0.00103125 2028.92
0.00106250 1998.92
0.00109375 1970.21
0.00112500 1942.70
0.00115625 1916.32
0.00118750 1890.99
0.00121875 1866.64
0.00125000 1843.21
0.00128125 1820.64
0.00131250 1798.88
0.00134375 1777.89
0.00137500 1757.62
0.00143750 1719.07
0.00150000 1682.97
0.00156250 1649.05
0.00162500 1617.12
0.00168750 1586.97
0.00175000 1558.46
0.00181250 1531.43
0.00187500 1505.77
0.00193750 1481.37
0.00200000 1458.11
0.00208203 1429.20
0.00216406 1401.95
0.00224609 1376.21
0.00232813 1351.84
0.00241016 1328.72
0.00249219 1306.77
0.00257422 1285.87
0.00265625 1265.94
0.00275000 1244.28
0.00284375 1223.69
0.00293750 1204.10
0.00303125 1185.43
0.00312500 1167.61
0.00321875 1150.57
0.00331250 1134.26
0.00340625 1118.63
0.00350000 1103.64
0.00359375 1089.23
0.00368750 1075.38
0.00378125 1062.05
0.00387500 1049.21
0.00396875 1036.83
0.00406250 1024.87
0.00425000 1002.17
0.00443750 980.926
0.00462500 960.989
0.00481250 942.233
0.00500000 924.545
0.00515625 910.550
0.00531250 897.179
0.00546875 884.387
0.00562500 872.133
0.00578125 860.381
0.00593750 849.098
0.00609375 838.253
0.00625000 827.819
0.00640625 817.770
0.00656250 808.084
0.00671875 798.739
0.00687500 789.715
0.00718750 772.562
0.00750000 756.497
0.00781250 741.410
