Er-166(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 651.930
1.03125E-05 641.976
1.06250E-05 632.465
1.09375E-05 623.364
1.12500E-05 614.646
1.15625E-05 606.283
1.18750E-05 598.252
1.21875E-05 590.532
1.25000E-05 583.104
1.28125E-05 575.949
1.31250E-05 569.051
1.34375E-05 562.395
1.37500E-05 555.968
1.43750E-05 543.747
1.50000E-05 532.299
1.56250E-05 521.544
1.62500E-05 511.416
1.68750E-05 501.856
1.75000E-05 492.813
1.81250E-05 484.241
1.87500E-05 476.102
1.93750E-05 468.360
2.00000E-05 460.984
2.09375E-05 450.545
2.18750E-05 440.785
2.28125E-05 431.633
2.37500E-05 423.028
2.46875E-05 414.918
2.56250E-05 407.257
2.65625E-05 400.006
2.75000E-05 393.129
2.84375E-05 386.594
2.93750E-05 380.375
3.03125E-05 374.447
3.12500E-05 368.787
3.21875E-05 363.377
3.31250E-05 358.198
3.40625E-05 353.234
3.50000E-05 348.471
3.59375E-05 343.896
3.68750E-05 339.496
3.78125E-05 335.261
3.87500E-05 331.181
3.96875E-05 327.246
4.06250E-05 323.448
4.25000E-05 316.232
4.43750E-05 309.479
4.62500E-05 303.141
4.81250E-05 297.177
5.00000E-05 291.552
5.15625E-05 287.100
5.31250E-05 282.847
5.46875E-05 278.777
5.62500E-05 274.878
5.78125E-05 271.138
5.93750E-05 267.546
6.09375E-05 264.094
6.25000E-05 260.772
6.40625E-05 257.572
6.56250E-05 254.487
6.71875E-05 251.511
6.87500E-05 248.636
7.18750E-05 243.171
7.50000E-05 238.051
7.81250E-05 233.241
8.12500E-05 228.712
8.43750E-05 224.436
8.75000E-05 220.392
9.06250E-05 216.559
9.37500E-05 212.919
9.68750E-05 209.457
0.000100000 206.158
0.000103125 203.010
0.000106250 200.002
0.000109375 197.125
0.000112500 194.367
0.000115625 191.723
0.000118750 189.183
0.000121875 186.742
0.000125000 184.393
0.000128125 182.130
0.000131250 179.949
0.000134375 177.844
0.000137500 175.812
0.000143750 171.947
0.000150000 168.327
0.000156250 164.926
0.000162500 161.723
0.000168750 158.700
0.000175000 155.840
0.000181250 153.130
0.000187500 150.556
0.000193750 148.108
0.000200000 145.775
0.000209375 142.474
0.000218750 139.388
0.000228125 136.493
0.000237500 133.772
0.000246875 131.208
0.000256250 128.785
0.000265625 126.492
0.000275000 124.317
