Er-170(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 29729.0
1.03125E-05 29275.1
1.06250E-05 28841.5
1.09375E-05 28426.5
1.12500E-05 28028.9
1.15625E-05 27647.6
1.18750E-05 27281.4
1.21875E-05 26929.4
1.25000E-05 26590.7
1.28125E-05 26264.5
1.31250E-05 25950.0
1.34375E-05 25646.5
1.37500E-05 25353.4
1.43750E-05 24796.2
1.50000E-05 24274.2
1.56250E-05 23783.8
1.62500E-05 23322.0
1.68750E-05 22886.1
1.75000E-05 22473.8
1.81250E-05 22082.9
1.87500E-05 21711.8
1.93750E-05 21358.8
2.00000E-05 21022.5
2.09375E-05 20546.6
2.18750E-05 20101.5
2.28125E-05 19684.2
2.37500E-05 19291.9
2.46875E-05 18922.1
2.56250E-05 18572.8
2.65625E-05 18242.2
2.75000E-05 17928.7
2.84375E-05 17630.7
2.93750E-05 17347.2
3.03125E-05 17076.9
3.12500E-05 16818.8
3.21875E-05 16572.2
3.31250E-05 16336.0
3.40625E-05 16109.7
3.50000E-05 15892.6
3.59375E-05 15684.0
3.68750E-05 15483.4
3.78125E-05 15290.3
3.87500E-05 15104.3
3.96875E-05 14924.9
4.06250E-05 14751.7
4.25000E-05 14422.8
4.43750E-05 14114.9
4.62500E-05 13825.9
4.81250E-05 13554.0
5.00000E-05 13297.6
5.15625E-05 13094.6
5.31250E-05 12900.7
5.46875E-05 12715.2
5.62500E-05 12537.4
5.78125E-05 12366.9
5.93750E-05 12203.2
6.09375E-05 12045.8
6.25000E-05 11894.4
6.40625E-05 11748.5
6.56250E-05 11607.9
6.71875E-05 11472.2
6.87500E-05 11341.1
7.18750E-05 11092.0
7.50000E-05 10858.6
7.81250E-05 10639.4
8.12500E-05 10432.9
8.43750E-05 10238.0
8.75000E-05 10053.7
9.06250E-05 9878.94
9.37500E-05 9713.03
9.68750E-05 9555.21
0.000100000 9404.85
0.000103125 9261.38
0.000106250 9124.29
0.000109375 8993.13
0.000112500 8867.46
0.000115625 8746.93
0.000118750 8631.19
0.000121875 8519.93
0.000125000 8412.87
0.000128125 8309.75
0.000131250 8210.34
0.000134375 8114.42
0.000137500 8021.79
0.000143750 7845.68
0.000150000 7680.69
0.000156250 7525.71
0.000162500 7379.77
0.000168750 7242.01
0.000175000 7111.71
0.000181250 6988.20
0.000187500 6870.93
0.000193750 6759.38
0.000200000 6653.11
0.000209375 6502.71
0.000218750 6362.10
0.000228125 6230.24
0.000237500 6106.29
0.000246875 5989.46
0.000256250 5879.11
0.000265625 5774.66
0.000275000 5675.60
0.000284375 5581.48
0.000293750 5491.91
0.000303125 5406.53
0.000312500 5325.03
0.000321875 5247.11
0.000331250 5172.53
0.000340625 5101.06
0.000350000 5032.47
0.000359375 4966.60
0.000368750 4903.25
0.000378125 4842.27
0.000387500 4783.53
0.000396875 4726.88
0.000406250 4672.20
0.000425000 4568.33
0.000443750 4471.13
0.000462500 4379.90
0.000481250 4294.06
0.000500000 4213.11
0.000515625 4149.05
0.000531250 4087.84
0.000546875 4029.28
0.000562500 3973.18
0.000578125 3919.38
0.000593750 3867.71
0.000609375 3818.05
0.000625000 3770.27
0.000640625 3724.24
0.000656250 3679.87
0.000671875 3637.07
0.000687500 3595.73
0.000718750 3517.14
0.000750000 3443.53
0.000781250 3374.39
0.000812500 3309.28
0.000843750 3247.83
0.000875000 3189.71
0.000906250 3134.63
0.000937500 3082.34
0.000968750 3032.60
0.00100000 2985.22
0.00103125 2940.01
0.00106250 2896.82
0.00109375 2855.49
0.00112500 2815.91
0.00115625 2777.95
0.00118750 2741.49
0.00121875 2706.46
0.00125000 2672.75
0.00128125 2640.28
0.00131250 2608.99
0.00134375 2578.80
0.00137500 2549.64
0.00143750 2494.22
0.00150000 2442.31
0.00156250 2393.56
0.00162500 2347.67
0.00168750 2304.35
0.00175000 2263.39
0.00181250 2224.57
0.00187500 2187.72
0.00193750 2152.67
0.00200000 2119.29
0.00209375 2072.07
0.00218750 2027.93
0.00228125 1986.55
0.00237500 1947.66
0.00246875 1911.02
0.00256250 1876.42
0.00265625 1843.69
0.00275000 1812.65
0.00284375 1783.17
0.00293750 1755.13
0.00303125 1728.40
0.00312500 1702.90
0.00321875 1678.53
0.00331250 1655.21
0.00340625 1632.86
0.00350000 1611.43
0.00359375 1590.85
0.00368750 1571.07
0.00378125 1552.04
0.00387500 1533.71
0.00396875 1516.03
0.00406250 1498.98
0.00425000 1466.61
0.00443750 1436.33
0.00462500 1407.93
0.00481250 1381.23
0.00500000 1356.07
0.00515625 1336.17
0.00531250 1317.17
0.00546875 1299.00
0.00562500 1281.60
0.00578125 1264.93
0.00593750 1248.93
0.00609375 1233.55
0.00625000 1218.77
0.00640625 1204.54
0.00656250 1190.83
0.00687500 1164.85
0.00718750 1140.62
0.00750000 1117.94
0.00781250 1096.67
0.00812500 1076.67
0.00843750 1057.81
0.00875000 1039.99
0.00906250 1023.13
0.00937500 1007.14
0.00968750 991.951
0.0100000 977.501
0.0103125 963.733
0.0106250 950.595
0.0109375 938.044
0.0112500 926.037
0.0115625 914.538
0.0118750 903.512
0.0121875 892.929
0.0125000 882.761
0.0128125 872.982
0.0131250 863.568
0.0137500 845.753
0.0143750 829.162
0.0150000 813.666
0.0156250 799.154
0.0162500 785.531
0.0168750 772.712
0.0175000 760.625
0.0181250 749.207
0.0187500 738.402
0.0193750 728.159
0.0200000 718.434
0.0204969 711.046
0.0209938 703.942
0.0219875 690.522
0.0228156 680.071
0.0236438 670.225
0.0244719 660.930
0.0253000 652.141
0.0259754 645.320
0.0266508 638.789
0.0273262 632.529
0.0280016 626.526
0.0293524 615.226
0.0307031 604.782
0.0320539 595.100
0.0334047 586.101
0.0347555 577.718
0.0361063 569.892
0.0378430 560.571
0.0395797 551.997
0.0413164 544.094
0.0430531 536.794
0.0447899 530.039
0.0465266 523.779
0.0482633 517.970
0.0500000 512.573
0.0515625 508.042
0.0531250 503.797
0.0546875 499.817
0.0562500 496.086
0.0578125 492.587
0.0593750 489.304
0.0625000 483.335
0.0656250 478.082
0.0687500 473.472
0.0718750 469.442
0.0750000 465.941
0.0781250 462.922
0.0812500 460.347
0.0843750 458.181
0.0875000 456.395
0.0906250 454.964
0.0937500 453.866
0.0968750 453.081
0.100000 452.594
0.103125 452.389
0.106250 452.455
0.109375 452.780
0.112500 453.356
0.115625 454.174
0.118750 455.227
0.121875 456.510
0.125000 458.017
0.128125 459.745
0.131250 461.691
0.134375 463.852
0.137500 466.227
0.140625 468.814
0.143750 471.614
0.146875 474.625
0.150000 477.850
0.153125 481.288
0.156250 484.943
0.159375 488.816
0.162500 492.911
0.165625 497.229
0.168750 501.777
0.171875 506.557
0.175000 511.574
0.178125 516.835
0.181250 522.345
0.184375 528.110
0.187500 534.137
0.190625 540.435
0.193750 547.012
0.196875 553.876
0.200000 561.037
0.204647 572.257
0.209295 584.194
0.213942 596.887
0.218589 610.381
0.223237 624.727
0.227884 639.979
0.232531 656.197
0.234855 664.690
0.237178 673.449
