Th-232(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 30582.0
1.03125E-05 30115.1
1.06250E-05 29669.0
1.09375E-05 29242.1
1.12500E-05 28833.2
1.15625E-05 28440.9
1.18750E-05 28064.2
1.21875E-05 27702.1
1.25000E-05 27353.7
1.28125E-05 27018.1
1.31250E-05 26694.5
1.34375E-05 26382.3
1.37500E-05 26080.9
1.43750E-05 25507.7
1.50000E-05 24970.7
1.56250E-05 24466.2
1.62500E-05 23991.2
1.68750E-05 23542.8
1.75000E-05 23118.6
1.81250E-05 22716.6
1.87500E-05 22334.8
1.93750E-05 21971.7
2.00000E-05 21625.7
2.09375E-05 21136.1
2.18750E-05 20678.3
2.28125E-05 20249.0
2.37500E-05 19845.4
2.46875E-05 19465.1
2.56250E-05 19105.8
2.65625E-05 18765.6
2.75000E-05 18443.1
2.84375E-05 18136.6
2.93750E-05 17844.9
3.03125E-05 17566.9
3.12500E-05 17301.4
3.21875E-05 17047.7
3.31250E-05 16804.8
3.40625E-05 16572.0
3.50000E-05 16348.6
3.59375E-05 16134.0
3.68750E-05 15927.6
3.78125E-05 15729.0
3.87500E-05 15537.6
3.96875E-05 15353.1
4.06250E-05 15175.0
4.25000E-05 14836.6
4.43750E-05 14519.8
4.62500E-05 14222.6
4.81250E-05 13942.9
5.00000E-05 13679.1
5.15625E-05 13470.3
5.31250E-05 13270.8
5.46875E-05 13079.9
5.62500E-05 12897.1
5.78125E-05 12721.7
5.93750E-05 12553.3
6.09375E-05 12391.4
6.25000E-05 12235.6
6.40625E-05 12085.5
6.56250E-05 11940.8
6.71875E-05 11801.3
6.87500E-05 11666.5
7.18750E-05 11410.2
7.50000E-05 11170.1
7.81250E-05 10944.5
8.12500E-05 10732.1
8.43750E-05 10531.6
8.75000E-05 10342.0
9.06250E-05 10162.2
9.37500E-05 9991.55
9.68750E-05 9829.19
0.000100000 9674.51
0.000103125 9526.91
0.000106250 9385.88
0.000109375 9250.94
0.000112500 9121.65
0.000115625 8997.65
0.000118750 8878.58
0.000121875 8764.11
0.000125000 8653.97
0.000128125 8547.88
0.000131250 8445.61
0.000134375 8346.92
0.000137500 8251.62
0.000143750 8070.43
0.000150000 7900.69
0.000156250 7741.24
0.000162500 7591.08
0.000168750 7449.34
0.000175000 7315.27
0.000181250 7188.19
0.000187500 7067.53
0.000193750 6952.75
0.000200000 6843.40
0.000209375 6688.65
0.000218750 6543.95
0.000228125 6408.28
0.000237500 6280.72
0.000246875 6160.50
0.000256250 6046.94
0.000265625 5939.44
0.000275000 5837.50
0.000284375 5740.64
0.000293750 5648.45
0.000303125 5560.58
0.000312500 5476.69
0.000321875 5396.49
0.000331250 5319.73
0.000340625 5246.16
0.000350000 5175.56
0.000359375 5107.74
0.000368750 5042.53
0.000378125 4979.76
0.000387500 4919.28
0.000396875 4860.96
0.000406250 4804.67
0.000425000 4697.73
0.000443750 4597.65
0.000462500 4503.71
0.000481250 4415.32
0.000500000 4331.95
0.000515625 4265.98
0.000531250 4202.94
0.000546875 4142.63
0.000562500 4084.84
0.000578125 4029.42
0.000593750 3976.20
0.000609375 3925.04
0.000625000 3875.81
0.000640625 3828.39
0.000656250 3782.67
0.000671875 3738.56
0.000687500 3695.97
0.000718750 3614.98
0.000750000 3539.11
0.000781250 3467.84
0.000812500 3400.73
0.000843750 3337.37
0.000875000 3277.45
0.000906250 3220.65
0.000937500 3166.72
0.000968750 3115.41
0.00100000 3066.54
0.00103125 3019.90
0.00106250 2975.33
0.00109375 2932.69
0.00112500 2891.84
0.00115625 2852.66
0.00118750 2815.03
0.00121875 2778.86
0.00125000 2744.06
0.00128125 2710.54
0.00131250 2678.22
0.00134375 2647.03
0.00137500 2616.92
0.00143750 2559.66
0.00150000 2506.03
0.00156250 2455.64
0.00162500 2408.19
0.00168750 2363.40
0.00175000 2321.03
0.00181250 2280.87
0.00187500 2242.74
0.00193750 2206.47
0.00200000 2171.91
0.00209375 2123.00
0.00218750 2077.27
0.00228125 2034.39
0.00237500 1994.08
0.00246875 1956.08
0.00256250 1920.19
0.00265625 1886.22
0.00275000 1853.99
0.00284375 1823.38
0.00293750 1794.24
0.00303125 1766.47
0.00312500 1739.96
0.00321875 1714.61
0.00331250 1690.35
0.00340625 1667.09
0.00350000 1644.78
0.00359375 1623.35
0.00368750 1602.74
0.00378125 1582.90
0.00387500 1563.78
0.00396875 1545.35
0.00406250 1527.56
0.00425000 1493.76
0.00443750 1462.12
0.00462500 1432.43
0.00481250 1404.49
0.00500000 1378.14
0.00515625 1357.28
0.00531250 1337.36
0.00546875 1318.29
0.00562500 1300.03
0.00578125 1282.51
0.00593750 1265.68
0.00609375 1249.51
0.00625000 1233.95
0.00640625 1218.96
0.00656250 1204.52
0.00671875 1190.57
0.00687500 1177.11
0.00718750 1151.51
0.00750000 1127.53
0.00781250 1105.00
0.00812500 1083.78
0.00843750 1063.75
0.00875000 1044.81
0.00906250 1026.85
0.00937500 1009.80
0.00968750 993.575
0.0100000 978.120
0.0103125 963.373
0.0106250 949.283
0.0109375 935.801
0.0112500 922.886
0.0115625 910.498
0.0118750 898.604
0.0121875 887.171
0.0125000 876.170
0.0128125 865.574
0.0131250 855.359
0.0134375 845.504
0.0137500 835.986
0.0143750 817.889
0.0150000 800.934
0.0156250 785.005
0.0162500 770.002
0.0168750 755.839
0.0175000 742.442
0.0181250 729.743
0.0187500 717.684
0.0193750 706.214
0.0200000 695.286
0.0206625 684.248
0.0213250 673.729
0.0219875 663.689
0.0226500 654.094
0.0233125 644.910
0.0239750 636.110
0.0246375 627.667
0.0253000 619.559
0.0264578 606.126
0.0276156 593.547
0.0287734 581.737
0.0299313 570.620
0.0310891 560.133
0.0322469 550.217
0.0334047 540.822
0.0345625 531.901
0.0355274 524.802
0.0364922 517.985
0.0374570 511.431
0.0384219 505.126
0.0393867 499.052
0.0403516 493.198
0.0413164 487.550
0.0422813 482.096
0.0442109 471.730
0.0461406 462.021
0.0480703 452.903
0.0500000 444.319
0.0515625 437.724
0.0531250 431.422
0.0546875 425.393
0.0562500 419.616
0.0578125 414.076
0.0593750 408.755
0.0609375 403.642
0.0625000 398.722
0.0640625 393.984
0.0656250 389.417
0.0671875 385.012
0.0687500 380.759
0.0718750 372.671
0.0750000 365.090
0.0781250 357.964
0.0812500 351.253
0.0843750 344.918
0.0875000 338.926
0.0906250 333.246
0.0937500 327.853
0.0968750 322.724
0.100000 317.836
0.103125 313.173
0.106250 308.717
0.109375 304.454
0.112500 300.370
0.115625 296.452
0.118750 292.690
0.121875 289.074
0.125000 285.594
0.128125 282.243
0.131250 279.014
0.134375 275.900
0.137500 272.894
0.143750 267.178
0.150000 261.816
0.156250 256.776
0.162500 252.031
0.168750 247.551
0.175000 243.314
0.181250 239.298
0.187500 235.485
0.193750 231.861
0.200000 228.410
0.209375 223.525
0.218750 218.953
0.228125 214.664
0.237500 210.632
0.246875 206.832
0.256250 203.243
0.265625 199.845
0.275000 196.623
0.284375 193.562
0.293750 190.648
0.303125 187.871
0.312500 185.219
0.321875 182.685
0.331250 180.259
0.340625 177.934
0.350000 175.702
0.359375 173.559
0.368750 171.498
0.378125 169.514
0.387500 167.603
0.396875 165.762
0.406250 163.988
0.425000 160.614
0.443750 157.450
0.462500 154.480
0.500000 149.050
0.537500 144.211
0.575000 139.853
0.593750 137.830
0.603125 136.866
0.612500 136.239
0.617188 136.650
0.619531 137.370
0.621875 138.691
0.623047 139.661
0.624219 140.892
0.625391 142.431
0.626563 144.327
0.627734 146.634
0.628906 149.409
0.630078 152.706
0.631250 156.584
0.632422 161.095
0.633594 166.290
0.634766 172.210
0.635938 178.890
0.637109 186.354
0.638281 194.610
0.639453 203.656
0.640625 213.471
0.641797 224.019
0.642969 235.247
0.644141 247.085
0.645313 259.448
0.647656 285.348
0.650000 312.044
0.650000 312.046
0.650342 315.947
0.650684 319.841
0.651367 327.595
0.652735 342.882
0.655469 371.947
0.656836 385.407
0.658203 397.982
0.659571 409.579
0.660938 420.136
0.662305 429.621
0.663672 438.030
0.665039 445.383
0.666406 451.724
0.669141 461.622
0.671875 468.332
0.674610 472.543
0.677344 474.912
0.682813 476.254
0.693750 473.861
0.737500 460.116
0.781250 447.479
0.825000 435.862
0.912500 415.188
1.00000 397.370
1.10355 380.062
1.20711 365.053
1.31066 351.829
