17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
1.000000e-05 1.84160882e+03
1.031250e-05 1.81351045e+03
1.062500e-05 1.78666744e+03
1.093750e-05 1.76098096e+03
1.125000e-05 1.73636731e+03
1.156250e-05 1.71276557e+03
1.187500e-05 1.69009213e+03
1.218750e-05 1.66830884e+03
1.250000e-05 1.64733970e+03
1.281250e-05 1.62714660e+03
1.312500e-05 1.60767635e+03
1.343750e-05 1.58889085e+03
1.375000e-05 1.57075208e+03
1.437500e-05 1.53626257e+03
1.500000e-05 1.50394910e+03
1.562500e-05 1.47359866e+03
1.625000e-05 1.44501341e+03
1.687500e-05 1.41804113e+03
1.750000e-05 1.39251455e+03
1.812500e-05 1.36832706e+03
1.875000e-05 1.34536452e+03
1.937500e-05 1.32352043e+03
2.000000e-05 1.30270355e+03
2.093750e-05 1.27325098e+03
2.187500e-05 1.24570817e+03
2.281250e-05 1.21988489e+03
2.375000e-05 1.19561375e+03
2.468750e-05 1.17272738e+03
2.562500e-05 1.15111924e+03
2.656250e-05 1.13066001e+03
2.750000e-05 1.11125836e+03
2.843750e-05 1.09283058e+03
2.937500e-05 1.07528542e+03
3.031250e-05 1.05856201e+03
3.125000e-05 1.04259942e+03
3.218750e-05 1.02734441e+03
3.312500e-05 1.01273615e+03
3.406250e-05 9.98736579e+02
3.500000e-05 9.85307636e+02
3.593750e-05 9.72403691e+02
3.687500e-05 9.59994295e+02
3.781250e-05 9.48049047e+02
3.875000e-05 9.36545073e+02
3.968750e-05 9.25451948e+02
4.062500e-05 9.14739272e+02
4.250000e-05 8.94401893e+02
4.437500e-05 8.75358034e+02
4.625000e-05 8.57493448e+02
4.812500e-05 8.40678859e+02
5.000000e-05 8.24822942e+02
5.156250e-05 8.12276669e+02
5.312500e-05 8.00293444e+02
5.468750e-05 7.88819992e+02
5.625000e-05 7.77833490e+02
5.781250e-05 7.67295886e+02
5.937500e-05 7.57175216e+02
6.093750e-05 7.47447922e+02
6.250000e-05 7.38088882e+02
6.406250e-05 7.29073732e+02
6.562500e-05 7.20384241e+02
6.718750e-05 7.11999099e+02
6.875000e-05 7.03902299e+02
7.187500e-05 6.88509894e+02
7.500000e-05 6.74090604e+02
7.812500e-05 6.60547802e+02
8.125000e-05 6.47794783e+02
8.437500e-05 6.35758478e+02
8.750000e-05 6.24374223e+02
9.062500e-05 6.13584956e+02
9.375000e-05 6.03341192e+02
9.687500e-05 5.93598085e+02
1.000000e-04 5.84316806e+02
1.031250e-04 5.75460842e+02
1.062500e-04 5.66999770e+02
1.093750e-04 5.58905413e+02
1.125000e-04 5.51150390e+02
1.156250e-04 5.43713401e+02
1.187500e-04 5.36573141e+02
1.218750e-04 5.29709071e+02
1.250000e-04 5.23105207e+02
1.281250e-04 5.16745571e+02
1.312500e-04 5.10614949e+02
1.343750e-04 5.04699647e+02
1.375000e-04 4.98987491e+02
1.437500e-04 4.88130002e+02
1.500000e-04 4.77960311e+02
1.562500e-04 4.68409184e+02
1.625000e-04 4.59416511e+02
1.687500e-04 4.50929795e+02
1.750000e-04 4.42903387e+02
1.812500e-04 4.35297717e+02
1.875000e-04 4.28076273e+02
1.937500e-04 4.21209375e+02
2.000000e-04 4.14668113e+02
2.093750e-04 4.05413149e+02
2.187500e-04 3.96762284e+02
2.281250e-04 3.88652371e+02
2.375000e-04 3.81030147e+02
2.468750e-04 3.73848442e+02
2.562500e-04 3.67066927e+02
2.656250e-04 3.60649089e+02
2.750000e-04 3.54564490e+02
2.843750e-04 3.48784221e+02
2.937500e-04 3.43285452e+02
3.031250e-04 3.38044602e+02
3.125000e-04 3.33043410e+02
3.218750e-04 3.28262855e+02
3.312500e-04 3.23688479e+02
3.406250e-04 3.19305069e+02
3.500000e-04 3.15100446e+02
3.593750e-04 3.11063200e+02
3.687500e-04 3.07181161e+02
3.781250e-04 3.03445200e+02
3.875000e-04 2.99846942e+02
3.968750e-04 2.96378020e+02
4.062500e-04 2.93030824e+02
4.250000e-04 2.86674231e+02
4.437500e-04 2.80727711e+02
4.625000e-04 2.75149416e+02
4.812500e-04 2.69902825e+02
5.000000e-04 2.64956745e+02
5.156250e-04 2.61044482e+02
5.312500e-04 2.57307960e+02
5.468750e-04 2.53733485e+02
5.625000e-04 2.50311163e+02
5.781250e-04 2.47029588e+02
5.937500e-04 2.43878866e+02
6.093750e-04 2.40852149e+02
6.250000e-04 2.37940307e+02
6.406250e-04 2.35137255e+02
6.562500e-04 2.32435386e+02
6.718750e-04 2.29829371e+02
6.875000e-04 2.27313887e+02
7.187500e-04 2.22533210e+02
7.500000e-04 2.18057593e+02
7.812500e-04 2.13856606e+02
8.125000e-04 2.09902859e+02
8.437500e-04 2.06173531e+02
8.750000e-04 2.02647321e+02
9.062500e-04 1.99307488e+02
9.375000e-04 1.96138814e+02
9.687500e-04 1.93125333e+02
1.000000e-03 1.90257144e+02
1.031250e-03 1.87521319e+02
1.062500e-03 1.84907971e+02
1.093750e-03 1.82409486e+02
1.125000e-03 1.80017497e+02
1.156250e-03 1.77723640e+02
1.187500e-03 1.75522587e+02
1.218750e-03 1.73407489e+02
1.250000e-03 1.71373026e+02
1.281250e-03 1.69414629e+02
1.312500e-03 1.67527734e+02
1.343750e-03 1.65707777e+02
1.375000e-03 1.63950958e+02
1.437500e-03 1.60613027e+02
1.500000e-03 1.57488841e+02
1.562500e-03 1.54556334e+02
1.625000e-03 1.51797251e+02
1.687500e-03 1.49194858e+02
1.750000e-03 1.46734702e+02
1.812500e-03 1.44405367e+02
1.875000e-03 1.42193930e+02
1.937500e-03 1.40092777e+02
2.000000e-03 1.38092021e+02
2.093750e-03 1.35262401e+02
2.187500e-03 1.32619120e+02
2.281250e-03 1.30142404e+02
2.375000e-03 1.27816276e+02
2.468750e-03 1.25625524e+02
2.562500e-03 1.23557222e+02
