35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
1.000000e-05 3.39147709e+02
1.031250e-05 3.33969934e+02
1.062500e-05 3.29022188e+02
1.093750e-05 3.24287333e+02
1.125000e-05 3.19751737e+02
1.156250e-05 3.15401276e+02
1.187500e-05 3.11223347e+02
1.218750e-05 3.07207840e+02
1.250000e-05 3.03343178e+02
1.281250e-05 2.99620772e+02
1.312500e-05 2.96032553e+02
1.343750e-05 2.92570437e+02
1.375000e-05 2.89226385e+02
1.437500e-05 2.82869079e+02
1.500000e-05 2.76913023e+02
1.562500e-05 2.71318416e+02
1.625000e-05 2.66049334e+02
1.687500e-05 2.61076170e+02
1.750000e-05 2.56372035e+02
1.812500e-05 2.51912559e+02
1.875000e-05 2.47678478e+02
1.937500e-05 2.43650924e+02
2.000000e-05 2.39813954e+02
2.093750e-05 2.34383599e+02
2.187500e-05 2.29305757e+02
2.281250e-05 2.24544667e+02
2.375000e-05 2.20068496e+02
2.468750e-05 2.15849195e+02
2.562500e-05 2.11863964e+02
2.656250e-05 2.08091919e+02
2.750000e-05 2.04513684e+02
2.843750e-05 2.01114838e+02
2.937500e-05 1.97879132e+02
3.031250e-05 1.94795321e+02
3.125000e-05 1.91851245e+02
3.218750e-05 1.89036561e+02
3.312500e-05 1.86341988e+02
3.406250e-05 1.83760065e+02
3.500000e-05 1.81282361e+02
3.593750e-05 1.78902168e+02
3.687500e-05 1.76613233e+02
3.781250e-05 1.74410107e+02
3.875000e-05 1.72287289e+02
3.968750e-05 1.70240395e+02
4.062500e-05 1.68264628e+02
4.250000e-05 1.64511045e+02
4.437500e-05 1.60997685e+02
4.625000e-05 1.57700638e+02
4.812500e-05 1.54597908e+02
5.000000e-05 1.51671589e+02
5.156250e-05 1.49355715e+02
5.312500e-05 1.47142802e+02
5.468750e-05 1.45025990e+02
5.625000e-05 1.42997557e+02
5.781250e-05 1.41051806e+02
5.937500e-05 1.39183337e+02
6.093750e-05 1.37387157e+02
6.250000e-05 1.35658979e+02
6.406250e-05 1.33994515e+02
6.562500e-05 1.32390033e+02
6.718750e-05 1.30841442e+02
6.875000e-05 1.29346123e+02
7.187500e-05 1.26502634e+02
7.500000e-05 1.23839239e+02
7.812500e-05 1.21337068e+02
8.125000e-05 1.18980737e+02
8.437500e-05 1.16756777e+02
8.750000e-05 1.14652878e+02
9.062500e-05 1.12658749e+02
9.375000e-05 1.10765108e+02
9.687500e-05 1.08963986e+02
1.000000e-04 1.07248017e+02
1.031250e-04 1.05610540e+02
1.062500e-04 1.04045959e+02
1.093750e-04 1.02548824e+02
1.125000e-04 1.01114240e+02
1.156250e-04 9.97384275e+01
1.187500e-04 9.84177034e+01
1.218750e-04 9.71473716e+01
1.250000e-04 9.59254183e+01
1.281250e-04 9.47486679e+01
1.312500e-04 9.36137832e+01
1.343750e-04 9.25186518e+01
1.375000e-04 9.14615065e+01
1.437500e-04 8.94508307e+01
1.500000e-04 8.75675824e+01
1.562500e-04 8.57983415e+01
1.625000e-04 8.41320607e+01
1.687500e-04 8.25595092e+01
1.750000e-04 8.10716044e+01
1.812500e-04 7.96619951e+01
1.875000e-04 7.83230067e+01
1.937500e-04 7.70489925e+01
2.000000e-04 7.58355657e+01
2.093750e-04 7.41183857e+01
2.187500e-04 7.25127911e+01
2.281250e-04 7.10070796e+01
2.375000e-04 6.95914644e+01
2.468750e-04 6.82573202e+01
2.562500e-04 6.69972822e+01
2.656250e-04 6.58041335e+01
2.750000e-04 6.46728326e+01
2.843750e-04 6.35979299e+01
2.937500e-04 6.25750389e+01
3.031250e-04 6.15995125e+01
3.125000e-04 6.06685836e+01
3.218750e-04 5.97785655e+01
3.312500e-04 5.89265334e+01
3.406250e-04 5.81100147e+01
3.500000e-04 5.73264378e+01
3.593750e-04 5.65737834e+01
3.687500e-04 5.58499350e+01
3.781250e-04 5.51532761e+01
3.875000e-04 5.44819914e+01
3.968750e-04 5.38346685e+01
4.062500e-04 5.32098951e+01
4.250000e-04 5.20229016e+01
4.437500e-04 5.09119308e+01
4.625000e-04 4.98692631e+01
4.812500e-04 4.88881391e+01
5.000000e-04 4.79627585e+01
5.156250e-04 4.72304342e+01
5.312500e-04 4.65306983e+01
5.468750e-04 4.58611795e+01
5.625000e-04 4.52197091e+01
5.781250e-04 4.46044198e+01
5.937500e-04 4.40135965e+01
6.093750e-04 4.34456761e+01
6.250000e-04 4.28991940e+01
6.406250e-04 4.23727913e+01
6.562500e-04 4.18653543e+01
6.718750e-04 4.13756759e+01
6.875000e-04 4.09027452e+01
7.187500e-04 4.00036964e+01
7.500000e-04 3.91614006e+01
7.812500e-04 3.83702054e+01
8.125000e-04 3.76251186e+01
8.437500e-04 3.69217510e+01
8.750000e-04 3.62564695e+01
9.062500e-04 3.56258450e+01
9.375000e-04 3.50270513e+01
9.687500e-04 3.44574650e+01
1.000000e-03 3.39147681e+01
1.031250e-03 3.33969906e+01
1.062500e-03 3.29022161e+01
1.093750e-03 3.24287305e+01
1.125000e-03 3.19751709e+01
1.156250e-03 3.15401249e+01
1.187500e-03 3.11223813e+01
1.218750e-03 3.07207812e+01
1.250000e-03 3.03343151e+01
1.281250e-03 2.99620744e+01
1.312500e-03 2.96033018e+01
1.343750e-03 2.92570410e+01
1.375000e-03 2.89226343e+01
1.437500e-03 2.82868692e+01
1.500000e-03 2.76913144e+01
1.562500e-03 2.71318079e+01
1.625000e-03 2.66049504e+01
1.687500e-03 2.61075833e+01
1.750000e-03 2.56371191e+01
1.812500e-03 2.51912222e+01
1.875000e-03 2.47678190e+01
1.937500e-03 2.43650636e+01
2.000000e-03 2.39813159e+01
2.093750e-03 2.34382853e+01
2.187500e-03 2.29305011e+01
2.281250e-03 2.24543921e+01
2.375000e-03 2.20067244e+01
2.468750e-03 2.15847992e+01
