76-Os_n-g
> 76-Os-184:0.000200
> 76-Os-186:0.015900
> 76-Os-187:0.019600
> 76-Os-188:0.132400
> 76-Os-189:0.161500
> 76-Os-190:0.262600
> 76-Os-192:0.407800
1.000000e-05 3.01893774e+03
1.031250e-05 2.97284551e+03
1.062500e-05 2.92880226e+03
1.093750e-05 2.88666474e+03
1.125000e-05 2.84628493e+03
1.156250e-05 2.80755612e+03
1.187500e-05 2.77036855e+03
1.218750e-05 2.73461604e+03
1.250000e-05 2.70021761e+03
1.281250e-05 2.66707534e+03
1.312500e-05 2.63514367e+03
1.343750e-05 2.60432023e+03
1.375000e-05 2.57455028e+03
1.437500e-05 2.51796165e+03
1.500000e-05 2.46494459e+03
1.546240e-05 2.42809015e+03
1.562500e-05 2.41514042e+03
1.592480e-05 2.39263178e+03
1.625000e-05 2.36823439e+03
1.638710e-05 2.35851868e+03
1.684950e-05 2.32577491e+03
1.687500e-05 2.32396984e+03
1.695310e-05 2.31873404e+03
1.703130e-05 2.31349214e+03
1.718750e-05 2.30302373e+03
1.750000e-05 2.28208749e+03
1.812500e-05 2.24239669e+03
1.875000e-05 2.20470228e+03
1.937500e-05 2.16885439e+03
2.000000e-05 2.13469525e+03
2.064270e-05 2.10154120e+03
2.093750e-05 2.08634581e+03
2.128540e-05 2.06956764e+03
2.187500e-05 2.04115547e+03
2.192810e-05 2.03875241e+03
2.257090e-05 2.00968504e+03
2.281250e-05 1.99876777e+03
2.321360e-05 1.98170998e+03
2.375000e-05 1.95891480e+03
2.385630e-05 1.95465371e+03
2.449900e-05 1.92890908e+03
2.468750e-05 1.92136337e+03
2.514170e-05 1.90416715e+03
2.562500e-05 1.88588610e+03
2.632090e-05 1.86095095e+03
2.656250e-05 1.85230398e+03
2.750000e-05 1.82045848e+03
2.843750e-05 1.79019342e+03
2.937500e-05 1.76139196e+03
3.031250e-05 1.73393861e+03
3.125000e-05 1.70772977e+03
3.218750e-05 1.68267409e+03
3.312500e-05 1.65868995e+03
3.406250e-05 1.63570287e+03
3.500000e-05 1.61364585e+03
3.593750e-05 1.59245994e+03
