Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,20931.5,(1),11.7211,7948830.0,21104.3,(0),2.18186,(3),none
1,709.719,(0),63.6541,230740.0,730.14,(8),1.06601,(13),none
2,320594.0,(13),2.99497,16766.4,20011.0,(1),2.09421,(4),none
3,223909.0,(8),3.58372,13458.5,17901.0,(2),2.32473,(2),none
4,200686.0,(7),3.78539,9520.81,7009.0,(3),1.16253,(10),none
5,52399.4,(2),7.4081,7662.37,2167.6,(5),2.03688,(5),none
6,242339.0,(10),3.44475,2686.48,3428.0,(4),3.3902,(0),none
7,300209.0,(12),3.09498,1990.81,1998.0,(6),1.07626,(12),none
8,85384.2,(4),5.80338,1872.21,595.0,(9),1.28309,(9),none
9,287711.0,(11),3.16149,1048.41,1152.0,(7),1.12475,(11),none
10,240081.0,(9),3.46091,384.358,386.0,(10),1.48483,(8),none
11,74914.5,(3),6.19565,313.253,163.3,(12),1.61426,(7),none
12,158215.0,(6),4.2633,137.119,280.0,(11),2.03386,(6),none
13,117849.0,(5),4.93977,39.0116,145.0,(13),2.60665,(1),none
