Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2041220.0,(21),1.18693,271697.0,116280.0,(13),1.30869,(40),none
1,2072440.0,(22),1.17796,271697.0,116280.0,(14),1.81346,(30),none
2,1789580.0,(17),1.26763,179033.0,417010.0,(0),1.68173,(34),none
3,2731200.0,(28),1.02611,138773.0,159670.0,(5),2.02113,(23),none
4,6589550.0,(46),0.660605,134516.0,349040.0,(1),1.23147,(41),none
5,3680690.0,(35),0.883904,134343.0,162090.0,(4),1.19227,(42),none
6,2210420.0,(23),1.1406,123470.0,95650.0,(16),2.29734,(10),none
7,476989.0,(6),2.45536,119334.0,122045.0,(10),2.55521,(6),none
8,2982280.0,(30),0.981964,86216.4,74480.0,(22),1.46923,(38),none
9,1905480.0,(19),1.22848,80991.6,52830.0,(30),2.11937,(14),none
10,2263300.0,(24),1.12719,75401.8,60670.0,(26),1.91517,(27),none
11,144079.0,(2),4.46755,73825.1,118026.0,(12),2.09954,(16),none
12,3199670.0,(33),0.948019,63202.9,76270.0,(20),1.9556,(25),none
13,3860000.0,(36),0.86313,63011.4,91150.0,(18),1.5899,(37),none
14,324544.0,(4),2.97669,55609.6,148009.0,(6),1.18229,(43),none
15,4178640.0,(37),0.829569,45736.6,51970.0,(31),1.10813,(45),none
16,1176040.0,(14),1.56372,40239.9,60760.0,(25),1.7618,(32),none
17,4890770.0,(42),0.766798,39389.1,49130.0,(32),2.05823,(17),none
18,1037750.0,(13),1.66465,39291.3,123228.0,(9),2.055,(18),none
19,5445940.0,(44),0.726663,33695.2,81090.0,(19),1.15521,(44),none
20,35100.2,(1),9.05138,31830.1,23188.6,(43),2.45395,(8),none
21,4385390.0,(38),0.809777,30128.7,57580.0,(28),1.8071,(31),none
22,1370000.0,(16),1.4488,29450.0,138110.0,(7),2.6522,(4),none
23,6128750.0,(45),0.684989,28920.6,112620.0,(15),1.44135,(39),none
24,4836830.0,(41),0.771062,28143.6,41110.0,(36),2.02639,(22),none
25,3326150.0,(34),0.92982,26646.0,120460.0,(11),2.02872,(21),none
26,2443060.0,(26),1.08493,24388.2,93810.0,(17),1.6301,(36),none
27,1808490.0,(18),1.26099,24335.7,24590.0,(41),1.64794,(35),none
28,713728.0,(9),2.00726,22687.8,48323.0,(33),2.40748,(9),none
29,4728770.0,(40),0.779822,21040.9,28280.0,(39),2.02952,(20),none
30,629511.0,(8),2.13731,20314.5,26335.0,(40),3.27608,(3),none
31,367294.0,(5),2.7981,19899.0,35988.0,(37),0.244242,(46),none
32,3078790.0,(31),0.966451,19631.7,67480.0,(23),1.87223,(28),none
33,952735.0,(12),1.73734,16655.7,58180.0,(27),2.18331,(13),none
34,4579430.0,(39),0.792436,14312.6,186900.0,(3),1.71049,(33),none
35,3130720.0,(32),0.958402,13580.9,24300.0,(42),2.29598,(11),none
36,838373.0,(11),1.85204,12901.6,46710.0,(35),2.01647,(24),none
37,182239.0,(3),3.97236,12756.1,22024.0,(44),1.94353,(26),none
38,13998.4,(0),14.3328,11945.1,15228.4,(45),2.53093,(7),none
39,784906.0,(10),1.91408,7321.62,75291.0,(21),2.11552,(15),none
40,2335190.0,(25),1.10971,5379.41,47470.0,(34),2.22799,(12),none
41,616802.0,(7),2.15922,4412.2,63223.0,(24),3.38773,(2),none
42,2920210.0,(29),0.992345,3259.42,33810.0,(38),2.03132,(19),none
43,1194240.0,(15),1.55176,1058.02,6050.0,(46),3.7186,(0),none
44,1951860.0,(20),1.2138,0.0,56070.0,(29),3.58221,(1),none
45,2648100.0,(27),1.04208,0.0,130500.0,(8),2.55614,(5),none
46,5050300.0,(43),0.75459,0.0,297390.0,(2),1.81587,(29),none
