Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1561730.0,(88),1.35696,1254240.0,825920.0,(1),1.93207,(32),['16-S-32_n-tot']
1,42953.6,(3),8.1822,509304.0,12722.7,(39),0.529895,(73),['16-S-32_n-tot']
2,624432.0,(41),2.14599,455268.0,58454.0,(2),1.68268,(47),['16-S-32_n-tot']
3,1158550.0,(77),1.57548,213180.0,21280.0,(18),1.77127,(43),['16-S-32_n-tot']
4,189009.0,(15),3.90057,187358.0,29821.0,(11),2.87355,(10),['16-S-32_n-tot']
5,967367.0,(63),1.72415,186838.0,37958.0,(5),1.82759,(40),['16-S-32_n-tot']
6,282229.0,(18),3.19204,185610.0,16248.0,(28),2.11221,(21),['16-S-32_n-tot']
7,941343.0,(62),1.74782,172809.0,27001.0,(12),1.94139,(30),['16-S-32_n-tot']
8,98030.8,(9),5.41612,155472.0,6532.0,(58),13.0016,(1),['16-S-32_n-tot']
9,110421.0,(10),5.10322,138589.0,7578.0,(50),18.7951,(0),['16-S-32_n-tot']
10,1415720.0,(87),1.42522,130003.0,40930.0,(4),1.78866,(42),['16-S-32_n-tot']
11,117991.0,(11),4.9368,129613.0,6292.0,(60),10.8025,(2),['16-S-32_n-tot']
12,1207240.0,(78),1.54338,113134.0,54730.0,(3),1.80318,(41),['16-S-32_n-tot']
13,297451.0,(19),3.1093,109538.0,13876.0,(35),2.03871,(27),['16-S-32_n-tot']
14,78597.4,(8),6.04875,104272.0,19749.7,(22),0.1681,(88),['16-S-32_n-tot']
15,776171.0,(51),1.92482,98303.4,35514.0,(8),0.543629,(72),['16-S-32_n-tot']
16,813720.0,(54),1.87989,95347.9,34781.0,(9),2.06549,(23),['16-S-32_n-tot']
17,1248030.0,(79),1.51795,94461.1,36130.0,(7),1.5678,(49),['16-S-32_n-tot']
18,1268340.0,(80),1.50575,73904.3,20480.0,(19),1.21321,(52),['16-S-32_n-tot']
19,1044520.0,(65),1.65925,69482.2,36980.0,(6),0.483079,(74),['16-S-32_n-tot']
20,578172.0,(40),2.23019,66689.5,10727.0,(44),1.86347,(37),['16-S-32_n-tot']
21,687625.0,(46),2.045,66206.1,12413.0,(41),0.28113,(85),['16-S-32_n-tot']
22,1317940.0,(82),1.47714,63252.5,18960.0,(24),2.33932,(17),['16-S-32_n-tot']
23,1350390.0,(84),1.45929,63125.6,20140.0,(20),2.00118,(28),['16-S-32_n-tot']
24,833596.0,(55),1.85734,62565.6,15123.0,(31),0.424308,(77),['16-S-32_n-tot']
25,264184.0,(17),3.29926,57714.8,10944.0,(43),2.04277,(26),['16-S-32_n-tot']
26,665894.0,(44),2.0781,56821.1,16779.0,(26),0.668083,(67),['16-S-32_n-tot']
27,369876.0,(27),2.78831,54848.7,20101.0,(21),0.231917,(87),['16-S-32_n-tot']
28,1327560.0,(83),1.47178,53020.8,15350.0,(30),2.18022,(19),['16-S-32_n-tot']
29,28043.7,(2),10.1263,52389.9,6444.8,(59),0.733966,(64),['16-S-32_n-tot']
30,1286880.0,(81),1.49486,51993.3,23810.0,(15),0.631052,(68),['16-S-32_n-tot']
31,912474.0,(61),1.77525,45363.2,9305.0,(49),1.83681,(38),['16-S-32_n-tot']
32,1374050.0,(85),1.44667,40960.5,16520.0,(27),1.92086,(34),['16-S-32_n-tot']
33,674297.0,(45),2.06511,39839.4,9353.0,(48),0.931475,(59),['16-S-32_n-tot']
34,717430.0,(48),2.00207,36412.3,23587.0,(16),3.02452,(9),['16-S-32_n-tot']
