Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,7653.32,(0),19.3841,964400.0,8320.8,(38),0.292919,(137),none
1,22380.3,(1),11.3354,334461.0,16643.4,(18),0.750868,(118),none
2,65207.4,(9),6.64081,274142.0,11263.7,(30),1.25573,(99),none
3,86151.2,(11),5.77749,226335.0,19371.6,(13),0.86758,(117),none
4,480929.0,(84),2.44528,152427.0,45016.0,(2),1.20164,(105),none
5,42323.9,(4),8.24284,96230.8,10170.1,(34),0.93299,(116),none
6,51415.4,(6),7.47865,96060.2,4866.4,(65),1.7343,(36),none
7,31915.9,(3),9.49218,94876.2,4362.5,(70),1.58913,(44),none
8,850284.0,(120),1.83903,94561.8,45320.0,(1),1.29981,(91),none
9,548855.0,(94),2.28897,86100.8,28127.0,(8),1.34534,(80),none
10,357533.0,(67),2.83604,84643.1,22523.0,(12),0.520985,(130),none
11,124595.0,(15),4.80418,84334.0,10517.0,(31),0.711392,(120),none
12,332006.0,(64),2.94304,78495.1,16643.0,(19),0.986978,(112),none
13,141390.0,(21),4.50983,76870.1,7235.0,(45),2.71416,(9),none
14,45304.8,(5),7.96705,72704.3,4313.9,(71),0.540859,(129),none
15,175178.0,(30),4.05163,72184.5,7761.0,(41),1.02544,(111),none
16,740832.0,(116),1.9702,72179.4,33602.0,(5),1.27692,(94),none
17,91390.5,(12),5.60944,60360.4,6995.5,(49),0.413318,(133),none
18,808919.0,(119),1.88546,59518.3,31283.0,(6),1.28255,(93),none
19,186565.0,(33),3.92604,57122.7,7130.0,(48),0.377103,(134),none
20,789094.0,(118),1.909,56321.0,41645.0,(3),0.510369,(132),none
21,27736.2,(2),10.1823,51023.0,2204.0,(93),3.24613,(5),none
22,1082410.0,(135),1.62995,50472.3,39810.0,(4),0.581968,(126),none
23,155866.0,(25),4.29531,50248.0,6886.0,(51),1.4944,(54),none
24,400000.0,(74),2.68127,49754.5,17254.0,(16),1.34461,(82),none
25,134019.0,(19),4.63219,46809.3,7214.0,(46),0.366842,(136),none
26,163551.0,(26),4.19318,44630.9,7384.0,(44),1.32245,(86),none
27,989114.0,(131),1.70509,44431.6,24786.0,(9),1.30732,(88),none
28,149346.0,(23),4.38806,43378.2,5740.0,(58),1.73839,(35),none
29,692322.0,(114),2.03805,41682.8,22987.0,(11),1.4052,(69),none
30,1017970.0,(132),1.68075,40629.6,28717.0,(7),1.26937,(95),none
31,296739.0,(59),3.11302,40117.9,10416.0,(33),1.31256,(87),none
32,703652.0,(115),2.02158,39872.8,15057.0,(23),1.38709,(73),none
33,439717.0,(83),2.55731,38731.8,10499.0,(32),1.49778,(53),none
34,243691.0,(45),3.43518,37558.6,13991.0,(25),1.35196,(79),none
35,886557.0,(121),1.80101,34217.2,23884.0,(10),1.38651,(74),none
36,367664.0,(69),2.79669,32659.5,7665.0,(43),1.48946,(55),none
37,113131.0,(14),5.04172,32335.5,16828.1,(17),1.1412,(109),none
38,97868.0,(13),5.42063,29887.3,4673.8,(68),1.70893,(39),none
39,251002.0,(47),3.38479,29332.4,5542.0,(60),1.58356,(46),none
40,648137.0,(111),2.10638,28136.0,13051.0,(27),0.628858,(122),none
41,287656.0,(58),3.16179,26843.6,6795.0,(52),1.34187,(83),none
42,391431.0,(72),2.71045,26768.5,8222.0,(40),1.34493,(81),none
43,126796.0,(17),4.7623,26627.6,2288.0,(90),0.367598,(135),none
44,303546.0,(61),3.07792,26172.6,7754.0,(42),1.41144,(66),none
45,916399.0,(123),1.77144,25234.9,19009.0,(14),1.26811,(96),none
46,669755.0,(113),2.07211,25001.1,18415.0,(15),0.571447,(127),none
47,567260.0,(96),2.25153,22892.9,12145.0,(28),1.36463,(76),none
48,53767.9,(7),7.31321,22154.2,3597.2,(75),1.5714,(48),none
49,595330.0,(103),2.19781,21806.8,8566.0,(37),1.28657,(92),none
50,370652.0,(70),2.78539,20036.2,8791.0,(36),1.5137,(50),none
51,189415.0,(34),3.89639,19789.0,3732.0,(74),1.39902,(71),none
52,626497.0,(108),2.14245,19405.3,15151.0,(21),0.600849,(124),none
53,940115.0,(126),1.74896,19254.8,15148.0,(22),1.25825,(98),none
54,423080.0,(77),2.6071,19066.2,5879.0,(57),1.82224,(26),none
55,1034710.0,(133),1.6671,17245.6,13640.0,(26),1.19489,(106),none
56,226517.0,(42),3.56303,15998.2,5396.0,(61),1.37264,(75),none
57,956025.0,(127),1.73434,15555.3,16223.0,(20),1.19082,(107),none
58,261810.0,(52),3.31418,15240.2,3183.0,(82),1.39151,(72),none
59,316457.0,(63),3.01448,14196.2,5579.0,(59),1.18929,(108),none
60,430883.0,(80),2.58339,13984.4,3532.0,(76),0.715613,(119),none
61,212830.0,(36),3.67581,13582.5,4792.0,(67),1.7417,(34),none
62,1095440.0,(136),1.62023,13495.2,14580.0,(24),1.36376,(77),none
63,381203.0,(71),2.74658,13258.9,4208.0,(73),2.69847,(10),none
64,521528.0,(92),2.34818,13031.1,6739.0,(53),1.76698,(32),none
