Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,149653.0,(12),4.38356,514384.0,33834.0,(34),0.434523,(478),none
1,57161.0,(2),7.09283,504090.0,41334.1,(16),0.000420688,(489),none
2,516963.0,(58),2.35852,326374.0,45561.0,(11),0.119131,(485),none
3,11086.3,(0),16.1056,251689.0,11181.0,(111),0.436777,(477),none
4,161500.0,(13),4.21972,237547.0,23364.0,(52),0.196155,(483),none
5,61013.2,(4),6.86527,193469.0,15923.6,(77),0.0478178,(486),none
6,656750.0,(73),2.09252,146438.0,26862.0,(44),0.948307,(455),none
7,89981.4,(5),5.65319,129194.0,13038.6,(92),4.05345,(123),none
8,192000.0,(16),3.87007,128356.0,7752.0,(159),1.84649,(341),none
9,242723.0,(22),3.44203,125995.0,15565.0,(79),0.793288,(461),none
10,113000.0,(11),5.04464,118119.0,10345.0,(114),1.33044,(401),none
11,180461.0,(14),3.99189,109570.0,7597.0,(165),4.34147,(86),none
12,623375.0,(71),2.14781,101956.0,16732.0,(72),1.37948,(394),none
13,101482.0,(9),5.32323,92696.0,5447.1,(208),1.85487,(340),none
14,526000.0,(60),2.33817,83825.9,12288.0,(97),1.04254,(444),none
15,552000.0,(62),2.28244,82501.9,15376.0,(80),0.695114,(464),none
16,274172.0,(28),3.23861,81634.2,6946.0,(181),2.39976,(296),none
17,1223750.0,(167),1.53293,78387.9,22040.0,(55),1.10059,(439),none
18,3079200.0,(440),0.966386,76683.7,77700.0,(1),3.52684,(187),none
19,696500.0,(80),2.03193,73683.6,14687.0,(83),1.02014,(447),none
20,311000.0,(34),3.04081,72228.0,10177.0,(119),1.41943,(393),none
21,339500.0,(36),2.91038,71577.3,16765.0,(71),1.11636,(437),none
22,1121400.0,(153),1.60136,60509.2,17400.0,(67),1.27842,(407),none
23,463813.0,(56),2.48999,59821.7,6916.0,(182),1.04295,(443),none
24,358500.0,(38),2.83221,59511.1,16053.0,(75),1.16725,(426),none
25,2389200.0,(411),1.09709,54081.3,35000.0,(30),3.51839,(188),none
26,17835.2,(1),12.6979,53155.8,6792.9,(185),0.387634,(479),none
27,268361.0,(27),3.27348,52676.6,10298.0,(117),0.0350908,(487),none
28,402313.0,(47),2.67355,51865.6,7084.0,(176),1.31464,(405),none
29,105625.0,(10),5.21779,51319.4,3706.0,(278),1.60607,(366),none
30,387000.0,(43),2.72593,45865.7,12518.0,(94),0.687828,(465),none
31,870125.0,(111),1.81794,45134.5,9876.0,(123),1.17126,(425),none
32,1032680.0,(141),1.66873,43710.5,6860.0,(183),1.89208,(334),none
33,661000.0,(74),2.08578,41250.6,5086.0,(226),1.73781,(349),none
34,828203.0,(104),1.86338,40855.2,11193.0,(110),1.53635,(380),none
35,362875.0,(39),2.81508,38169.4,4284.0,(259),1.10854,(438),none
36,1490000.0,(203),1.38924,38148.7,12330.0,(95),1.49744,(384),none
37,2574100.0,(420),1.05696,37953.0,45210.0,(13),3.81776,(155),none
38,605211.0,(69),2.1798,37776.4,8047.0,(149),2.02155,(326),none
39,1452220.0,(199),1.40719,37271.2,12550.0,(93),3.04235,(236),none
40,1234000.0,(168),1.52655,36429.1,9870.0,(124),2.32545,(303),none
41,730305.0,(86),1.98435,36137.1,12245.0,(98),1.77555,(345),none
42,1195000.0,(164),1.55126,35001.7,13540.0,(86),1.50167,(383),none
43,1287440.0,(176),1.49454,33355.8,12110.0,(100),1.19661,(422),none
44,1302500.0,(178),1.48587,32048.1,11980.0,(103),1.4846,(385),none
45,287000.0,(29),3.1654,31908.6,9452.0,(132),1.65837,(361),none
46,1010030.0,(134),1.68734,31170.3,16360.0,(74),1.87164,(337),none
47,1158000.0,(158),1.57585,30579.5,7980.0,(155),2.09792,(318),none
48,1426750.0,(197),1.4197,28739.5,15990.0,(76),1.59137,(368),none
49,246175.0,(23),3.41781,28694.9,3288.0,(296),0.480478,(475),none
50,1468370.0,(200),1.39943,28328.9,10570.0,(113),1.85965,(339),none
51,564625.0,(64),2.25678,27567.9,8526.0,(144),0.649481,(468),none
52,956750.0,(130),1.73369,26568.6,9832.0,(125),1.22405,(419),none
53,1021000.0,(137),1.67825,25454.5,7530.0,(166),0.938262,(457),none
54,195338.0,(17),3.83686,25265.7,2088.0,(358),1.66065,(360),none
55,3647300.0,(459),0.887941,24880.4,38300.0,(22),3.69909,(170),none
56,808750.0,(100),1.88566,24136.1,21993.0,(57),0.804266,(460),none
57,1160630.0,(159),1.57407,23868.6,6960.0,(180),2.45332,(292),none
58,1015380.0,(136),1.68289,23835.8,5020.0,(228),1.18451,(423),none
59,227553.0,(21),3.55491,22937.7,7062.0,(177),1.94283,(329),none
60,2843700.0,(432),1.00561,22718.8,36900.0,(25),3.85465,(151),none
61,2691700.0,(425),1.03361,22357.4,22900.0,(54),3.92996,(142),none
62,1130630.0,(156),1.59481,20954.8,7880.0,(158),1.1382,(431),none
63,3009000.0,(438),0.977594,20762.0,34400.0,(32),4.43036,(68),none
64,3372300.0,(450),0.923436,20691.5,40800.0,(17),3.71662,(167),none
65,1538400.0,(213),1.36721,20347.1,9400.0,(134),2.79507,(254),none
66,2485600.0,(416),1.07561,20121.6,21500.0,(59),3.70083,(169),none
67,752969.0,(88),1.95425,20020.7,9691.0,(128),1.02867,(445),none
68,918309.0,(122),1.7696,19739.0,6164.0,(194),1.60179,(367),none
