Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,427.567,(0),79.9077,304580.0,460.567,(76),0.076412,(13),['21-Sc-45_n-g']
1,17975.2,(29),12.3241,8871.03,826.9,(35),0.00438467,(119),['21-Sc-45_n-g']
2,16610.5,(27),12.8203,6023.59,1428.9,(8),0.00227432,(140),['21-Sc-45_n-g']
3,22813.0,(37),10.9396,4907.54,1434.9,(7),0.00323254,(133),['21-Sc-45_n-g']
4,17434.7,(28),12.5136,4549.78,484.9,(69),0.00454706,(118),['21-Sc-45_n-g']
5,1867.89,(2),38.2309,4412.37,1654.8,(2),0.0144788,(61),['21-Sc-45_n-g']
6,28764.9,(46),9.74225,3458.5,1174.6,(17),0.00382821,(126),['21-Sc-45_n-g']
7,3710.88,(7),27.1239,2740.38,734.2,(43),0.0780612,(12),['21-Sc-45_n-g']
8,46873.4,(78),7.63181,2243.45,1398.1,(9),0.00218332,(142),['21-Sc-45_n-g']
9,10937.7,(18),15.7989,2051.87,524.7,(61),0.0279608,(34),['21-Sc-45_n-g']
10,1000.0,(1),52.2505,2036.25,599.32,(55),0.0250275,(38),['21-Sc-45_n-g']
11,38273.1,(62),8.44586,1825.82,729.7,(45),0.0018281,(147),['21-Sc-45_n-g']
12,19691.4,(33),11.7748,1775.7,1300.9,(11),0.00813498,(98),['21-Sc-45_n-g']
13,15337.0,(25),13.342,1759.96,342.1,(97),0.00890668,(92),['21-Sc-45_n-g']
14,9638.45,(14),16.8301,1739.19,654.79,(49),0.0454295,(21),['21-Sc-45_n-g']
15,3550.72,(6),27.7289,1666.78,177.83,(134),0.115089,(6),['21-Sc-45_n-g']
16,10106.0,(15),16.4362,1551.83,463.8,(75),0.0178842,(53),['21-Sc-45_n-g']
17,2778.02,(4),31.349,1519.0,555.55,(59),0.0352607,(27),['21-Sc-45_n-g']
18,14188.9,(21),13.8713,1467.86,339.9,(98),0.00668454,(104),['21-Sc-45_n-g']
19,10291.7,(16),16.2872,1412.85,472.5,(72),0.0166065,(56),['21-Sc-45_n-g']
20,37565.3,(61),8.52506,1389.7,1069.9,(22),0.00150183,(149),['21-Sc-45_n-g']
21,21008.5,(35),11.3997,1342.36,387.7,(89),0.0583696,(17),['21-Sc-45_n-g']
22,87371.9,(138),5.58991,1341.61,977.9,(28),0.0082029,(97),['21-Sc-45_n-g']
23,8593.44,(13),17.8241,1334.76,510.86,(64),0.0654063,(14),['21-Sc-45_n-g']
24,25533.2,(41),10.3404,1092.01,2607.2,(0),0.0021706,(144),['21-Sc-45_n-g']
25,42053.9,(67),8.05726,1027.61,559.6,(57),0.00428027,(120),['21-Sc-45_n-g']
26,50186.6,(85),7.37559,1000.51,749.9,(40),0.00122785,(151),['21-Sc-45_n-g']
27,38973.0,(63),8.36968,940.1,1245.5,(12),0.00316339,(134),['21-Sc-45_n-g']
28,33098.2,(52),9.08215,933.88,339.7,(99),0.0113459,(71),['21-Sc-45_n-g']
29,47779.0,(79),7.55914,908.998,999.8,(26),0.00139725,(150),['21-Sc-45_n-g']
30,36760.4,(60),8.61788,851.578,539.9,(60),0.00311935,(135),['21-Sc-45_n-g']
31,57255.3,(98),6.9053,834.076,878.9,(32),0.00382285,(127),['21-Sc-45_n-g']
32,69075.4,(115),6.28679,830.528,1179.3,(16),0.00752648,(100),['21-Sc-45_n-g']
33,86186.6,(137),5.62822,797.977,563.4,(56),0.0232845,(40),['21-Sc-45_n-g']
34,21470.0,(36),11.2765,780.13,465.9,(74),0.0193031,(48),['21-Sc-45_n-g']
35,36098.9,(58),8.69648,770.479,314.0,(106),0.00908883,(89),['21-Sc-45_n-g']
36,30500.9,(50),9.46094,745.804,1124.4,(18),0.00353219,(129),['21-Sc-45_n-g']
37,3387.13,(5),28.3906,681.701,108.85,(145),0.586691,(0),['21-Sc-45_n-g']
38,56743.2,(97),6.93639,658.504,354.8,(93),0.00281124,(138),['21-Sc-45_n-g']
39,75938.2,(123),5.99598,634.826,639.4,(51),0.00349196,(130),['21-Sc-45_n-g']
40,27425.6,(43),9.97729,627.844,706.5,(46),0.00975351,(81),['21-Sc-45_n-g']
41,5991.31,(9),21.3467,626.921,744.69,(41),0.0196293,(47),['21-Sc-45_n-g']
42,45595.5,(77),7.73802,578.753,209.6,(125),0.027474,(35),['21-Sc-45_n-g']
43,63578.2,(108),6.55295,558.312,449.2,(79),0.0067551,(103),['21-Sc-45_n-g']
44,69940.1,(116),6.24781,558.154,819.3,(36),0.0100702,(77),['21-Sc-45_n-g']
45,14654.0,(23),13.6494,538.983,319.2,(104),0.0229826,(41),['21-Sc-45_n-g']
46,18801.8,(31),12.0501,519.398,498.1,(66),0.0214617,(45),['21-Sc-45_n-g']
