Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,86025.2,(10),5.78172,164427.0,13532.6,(71),0.0107773,(344),none
1,134773.0,(20),4.61922,129451.0,8628.0,(91),0.0596063,(341),none
2,56764.4,(9),7.11757,97183.7,6093.7,(121),4.43968,(21),none
3,22497.4,(1),11.3059,93623.5,3535.3,(194),1.82977,(201),none
4,129600.0,(19),4.7105,60896.6,6967.0,(108),1.29979,(249),none
5,302579.0,(45),3.08284,60716.2,9504.0,(84),0.662155,(302),none
6,198067.0,(27),3.81034,60027.7,8199.0,(94),2.83605,(103),none
7,183898.0,(25),3.95441,53538.9,7838.0,(95),3.41259,(47),none
8,189581.0,(26),3.89468,43068.5,5239.0,(149),3.15985,(68),none
9,563124.0,(88),2.25979,41908.9,10165.0,(82),1.85519,(198),none
10,390325.0,(63),2.71429,41611.6,7162.0,(104),0.179337,(340),none
11,457578.0,(71),2.5069,39151.2,11003.0,(77),0.227274,(332),none
12,3402900.0,(343),0.919274,38495.1,75940.0,(6),2.98512,(85),none
13,789987.0,(139),1.90792,37951.8,14145.0,(69),0.533754,(317),none
14,33869.0,(4),9.21443,36033.3,2245.5,(246),1.31372,(248),none
15,1804160.0,(299),1.2625,35501.0,27130.0,(39),2.33187,(151),none
16,1820260.0,(300),1.25691,35501.0,27130.0,(40),2.025,(180),none
17,1027760.0,(178),1.67272,34299.5,15910.0,(65),0.609532,(308),none
18,45947.7,(6),7.91112,33696.9,7809.4,(96),0.00430831,(345),none
19,256827.0,(39),3.34618,33037.8,6152.0,(119),1.66806,(217),none
20,1104950.0,(195),1.61324,30124.1,10960.0,(78),1.50443,(232),none
21,860266.0,(147),1.82832,30060.5,13267.0,(72),1.00611,(272),none
22,1138360.0,(202),1.58939,29344.8,15000.0,(68),1.28061,(250),none
23,106253.0,(12),5.20234,28432.9,4754.0,(160),7.94993,(4),none
24,242753.0,(35),3.44181,28380.5,5519.0,(135),1.92614,(193),none
25,229270.0,(31),3.54157,27352.9,6550.0,(113),2.12582,(171),none
26,1497840.0,(277),1.3856,27343.4,34370.0,(26),1.96606,(188),none
