Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,11838.4,(0),15.186,266.872,2791.48,(1),0.0140645,(1),none
1,22055.5,(4),11.1258,60.5234,2203.2,(4),0.00252663,(7),none
2,31227.1,(7),9.35029,51.9718,1664.6,(7),0.003075,(5),none
3,12845.8,(1),14.5784,51.3323,813.6,(8),0.00956428,(2),none
4,17839.7,(3),12.3708,50.6595,3446.3,(0),0.00361557,(4),none
5,14443.4,(2),13.7485,50.5219,1672.0,(6),0.00616474,(3),none
6,37213.2,(9),8.56529,35.6721,2712.0,(2),0.000716435,(9),none
7,31925.7,(8),9.24742,23.2847,508.8,(9),0.002566,(6),none
8,22943.4,(5),10.9084,17.414,1811.0,(5),0.00248284,(8),none
9,44904.7,(10),7.79731,11.6621,2534.1,(3),0.000492602,(10),none
10,28816.0,(6),9.73361,6.29115,73.8,(10),0.0229644,(0),none
