Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1447.28,(0),43.4325,123298.0,1625.77,(51),0.0139892,(1),['24-Cr-53_n-g']
1,1875.0,(1),38.1584,43702.4,2880.42,(11),0.0136428,(2),['24-Cr-52_n-g']
2,27960.8,(13),9.88134,1430.53,844.0,(79),0.00284542,(7),['24-Cr-52_n-g']
3,48591.6,(27),7.49566,773.886,1687.9,(48),0.00310849,(6),['24-Cr-52_n-g']
4,22547.0,(11),11.0039,665.937,469.7,(93),0.00167359,(18),['24-Cr-52_n-g']
5,34147.1,(19),8.94157,431.73,407.2,(96),0.00090558,(45),['24-Cr-52_n-g']
6,21450.1,(10),11.2817,400.927,2257.6,(26),0.000878973,(47),['24-Cr-53_n-g']
7,110967.0,(37),4.96014,397.927,1248.0,(64),0.00131078,(29),['24-Cr-52_n-g']
8,244431.0,(60),3.34205,397.458,2349.0,(24),0.000394354,(68),['24-Cr-52_n-g']
9,34575.0,(20),8.88607,380.158,702.9,(83),0.000895061,(46),['24-Cr-52_n-g']
10,188950.0,(51),3.80117,296.369,1741.0,(44),0.000362559,(75),['24-Cr-52_n-g']
11,325148.0,(71),2.89768,273.633,2931.0,(10),0.000441649,(63),['24-Cr-52_n-g']
12,35903.2,(22),8.72015,269.307,1802.9,(39),0.00146188,(23),['24-Cr-50_n-g']
13,33738.4,(18),8.99556,260.669,427.9,(95),0.000970177,(42),['24-Cr-52_n-g']
14,48079.2,(26),7.5355,250.139,306.8,(97),0.0044793,(4),['24-Cr-52_n-g']
15,466638.0,(83),2.4188,246.523,2469.0,(21),0.00122503,(31),['24-Cr-52_n-g']
16,167518.0,(49),4.03701,231.096,2466.0,(22),0.000202851,(98),['24-Cr-52_n-g']
17,109583.0,(36),4.99136,223.327,924.0,(71),0.00154604,(21),['24-Cr-52_n-g']
18,12845.8,(4),14.5784,207.931,850.3,(78),0.00194617,(15),['24-Cr-53_n-g']
19,61768.7,(32),6.64824,199.906,3166.2,(8),0.000593263,(55),['24-Cr-50_n-g']
20,234410.0,(58),3.41274,179.368,709.0,(82),0.00236054,(12),['24-Cr-52_n-g']
21,14186.0,(5),13.8727,175.883,1491.0,(55),0.00152026,(22),['24-Cr-53_n-g']
22,595393.0,(96),2.14136,170.763,5545.0,(1),0.000430024,(65),['24-Cr-52_n-g']
23,40364.0,(23),8.2242,168.271,2845.6,(12),0.000800424,(49),['24-Cr-53_n-g']
24,584638.0,(94),2.16096,164.627,1274.0,(63),0.00108453,(35),['24-Cr-52_n-g']
25,18902.9,(8),12.0178,155.112,582.9,(86),0.00121021,(32),['24-Cr-50_n-g']
26,32054.5,(16),9.22882,143.512,513.7,(91),0.00146171,(24),['24-Cr-52_n-g']
27,284370.0,(64),3.09848,134.332,880.0,(75),0.00137484,(25),['24-Cr-52_n-g']
28,11875.4,(3),15.1624,126.778,1833.8,(38),0.00254737,(10),['24-Cr-54_n-g']
29,204442.0,(54),3.65431,126.461,888.0,(73),0.000245638,(90),['24-Cr-52_n-g']
30,32928.5,(17),9.10552,120.719,1336.5,(62),0.000770402,(50),['24-Cr-53_n-g']
31,112890.0,(38),4.91771,117.884,506.0,(92),0.00137061,(26),['24-Cr-52_n-g']
32,663979.0,(99),2.02775,117.246,2732.0,(14),0.000316942,(82),['24-Cr-52_n-g']
33,43687.5,(24),7.90519,112.669,2599.1,(18),0.000647056,(52),['24-Cr-53_n-g']
34,58992.5,(31),6.80287,108.808,1466.5,(56),0.00132887,(28),['24-Cr-52_n-g']
35,583237.0,(93),2.16356,108.521,1668.0,(49),0.000822209,(48),['24-Cr-52_n-g']
36,206537.0,(55),3.63573,102.866,581.0,(87),0.000226067,(95),['24-Cr-52_n-g']
37,115835.0,(40),4.85479,95.486,781.0,(80),0.000969594,(43),['24-Cr-52_n-g']
38,268410.0,(62),3.18927,91.3127,1790.0,(41),0.000159025,(100),['24-Cr-52_n-g']
39,329320.0,(72),2.87926,91.1065,1213.0,(66),0.00104862,(37),['24-Cr-52_n-g']
40,671369.0,(100),2.01655,86.4646,3178.0,(7),0.000327674,(78),['24-Cr-52_n-g']
41,105617.0,(35),5.08421,83.938,1947.0,(35),0.00270559,(9),['24-Cr-53_n-g']
42,70915.2,(33),6.2047,80.0229,2133.0,(28),0.000665135,(51),['24-Cr-50_n-g']
43,143235.0,(44),4.36582,76.0153,942.0,(70),0.00227751,(13),['24-Cr-52_n-g']
44,586067.0,(95),2.15833,72.4634,869.0,(76),0.00118528,(33),['24-Cr-52_n-g']
45,20096.0,(9),11.6556,63.8345,523.5,(89),0.0019035,(16),['24-Cr-53_n-g']
46,274609.0,(63),3.15307,63.2023,887.0,(74),0.000228402,(94),['24-Cr-52_n-g']
47,306488.0,(68),2.98458,61.5184,1725.0,(46),0.00158996,(20),['24-Cr-52_n-g']
48,165812.0,(48),4.05773,48.413,622.0,(85),0.000236427,(92),['24-Cr-52_n-g']
49,137253.0,(43),4.45995,47.9491,634.0,(84),0.00241673,(11),['24-Cr-50_n-g']
50,46864.7,(25),7.63252,44.4522,442.0,(94),0.00133105,(27),['24-Cr-50_n-g']
51,17871.6,(7),12.3597,42.4493,2604.1,(17),0.00101005,(40),['24-Cr-53_n-g']
52,35543.3,(21),8.76419,41.5334,169.8,(99),0.00201614,(14),['24-Cr-50_n-g']
53,241600.0,(59),3.36157,40.6623,3203.0,(6),0.000304778,(84),['24-Cr-50_n-g']
54,261770.0,(61),3.22947,34.5069,1594.0,(53),0.000174023,(99),['24-Cr-52_n-g']
55,501446.0,(87),2.33334,31.3917,568.0,(88),0.00276842,(8),['24-Cr-52_n-g']
56,429247.0,(79),2.52195,30.3071,1411.0,(58),0.000463017,(62),['24-Cr-52_n-g']
57,52971.7,(29),7.17908,29.0671,1945.2,(36),0.00170672,(17),['24-Cr-54_n-g']
58,149736.0,(45),4.27,27.5041,1791.0,(40),0.000630302,(54),['24-Cr-50_n-g']
59,151922.0,(46),4.23917,27.1337,2060.0,(30),0.00048665,(61),['24-Cr-50_n-g']
60,472955.0,(84),2.4026,27.0024,2962.0,(9),0.000556593,(56),['24-Cr-52_n-g']
61,114181.0,(39),4.88983,26.6717,1637.0,(50),0.000979146,(41),['24-Cr-53_n-g']
62,293606.0,(66),3.04936,24.8795,1998.0,(33),0.00029468,(86),['24-Cr-50_n-g']
63,30823.1,(15),9.41136,21.414,2109.0,(29),0.00103976,(38),['24-Cr-53_n-g']
64,696930.0,(101),1.97923,19.9011,3533.0,(5),0.000326085,(80),['24-Cr-52_n-g']
65,212183.0,(56),3.58703,19.7525,2564.0,(19),0.000110039,(101),['24-Cr-50_n-g']
66,14575.6,(6),13.686,19.5823,197.6,(98),0.00162948,(19),['24-Cr-53_n-g']
67,54225.5,(30),7.0956,19.3298,1348.1,(60),0.00123746,(30),['24-Cr-53_n-g']
68,10218.1,(2),16.3458,18.285,964.19,(69),0.00493452,(3),['24-Cr-50_n-g']
69,80110.9,(34),5.83774,18.2371,6218.3,(0),0.00103329,(39),['24-Cr-53_n-g']
70,24481.2,(12),10.5603,16.7835,518.2,(90),0.000929263,(44),['24-Cr-52_n-g']
71,288696.0,(65),3.07518,15.8941,856.0,(77),0.000327163,(79),['24-Cr-50_n-g']
72,571396.0,(92),2.18586,14.2043,2609.0,(16),0.000646173,(53),['24-Cr-52_n-g']
73,298951.0,(67),3.02197,13.9284,2497.0,(20),0.000264554,(89),['24-Cr-53_n-g']
74,391807.0,(78),2.6397,12.5239,2185.0,(27),0.000376181,(73),['24-Cr-50_n-g']
75,438838.0,(81),2.49424,12.5138,1983.0,(34),0.000334417,(77),['24-Cr-50_n-g']
76,126108.0,(41),4.65285,12.4003,2027.0,(31),0.00110955,(34),['24-Cr-53_n-g']
77,342518.0,(74),2.82325,11.6632,1741.0,(45),0.000436342,(64),['24-Cr-50_n-g']
78,164446.0,(47),4.07454,11.3277,774.0,(81),0.00032248,(81),['24-Cr-54_n-g']
79,497755.0,(86),2.34198,11.1694,915.0,(72),0.000231087,(93),['24-Cr-52_n-g']
80,373210.0,(77),2.70467,11.0171,3903.0,(3),0.000541177,(57),['24-Cr-50_n-g']
81,28824.6,(14),9.73216,10.1386,103.4,(100),0.0039711,(5),['24-Cr-53_n-g']
82,451661.0,(82),2.45858,9.16365,4482.0,(2),0.000416052,(66),['24-Cr-53_n-g']
83,335452.0,(73),2.85283,9.05814,1129.0,(68),0.000313791,(83),['24-Cr-50_n-g']
84,349613.0,(75),2.79445,8.80958,2834.0,(13),0.000351287,(76),['24-Cr-53_n-g']
85,557485.0,(90),2.21296,8.17854,2007.0,(32),0.00029936,(85),['24-Cr-50_n-g']
86,50097.5,(28),7.38215,7.58666,39.4,(101),0.0308681,(0),['24-Cr-52_n-g']
87,226601.0,(57),3.47104,7.37629,1446.0,(57),0.00020442,(97),['24-Cr-53_n-g']
88,360954.0,(76),2.7502,6.83846,2305.0,(25),0.000502264,(59),['24-Cr-53_n-g']
89,315957.0,(69),2.93952,6.75983,1604.0,(52),0.000364946,(74),['24-Cr-53_n-g']
90,180231.0,(50),3.89203,6.4132,1529.0,(54),0.000278161,(88),['24-Cr-50_n-g']
