Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,81.25,(0),183.307,120051.0,340.037,(88),0.366259,(0),none
1,781.25,(1),59.1147,32753.5,758.1,(52),0.123542,(3),none
2,5208.04,(6),22.8957,13236.7,1389.5,(22),0.0224399,(14),none
3,1433.84,(2),43.6355,10881.7,558.71,(72),0.120213,(4),none
4,14499.8,(15),13.7218,4734.34,2017.3,(6),0.0076242,(44),none
5,4782.72,(5),23.892,4223.53,637.56,(64),0.0233166,(13),none
6,16420.2,(18),12.8944,2522.82,1560.0,(17),0.00778751,(43),none
7,12477.3,(14),14.7921,2440.09,1060.8,(34),0.00856215,(36),none
8,6385.82,(7),20.6768,2028.03,632.82,(65),0.0444628,(8),none
9,43438.1,(44),7.92785,2020.5,2812.1,(2),0.00450775,(81),none
10,1684.47,(3),40.2586,2002.27,690.74,(57),0.152426,(2),none
11,29641.5,(32),9.59711,1833.5,1570.5,(16),0.00567091,(65),none
12,15518.2,(17),13.2639,1729.79,1341.5,(24),0.00752815,(45),none
13,39204.5,(43),8.34493,1595.95,2521.0,(3),0.00565281,(66),none
14,11519.3,(13),15.3949,1344.49,734.0,(54),0.00972942,(32),none
15,25175.4,(27),10.4136,1235.16,1295.6,(29),0.00794278,(41),none
16,38347.6,(42),8.43765,1191.63,1854.0,(10),0.00629749,(58),none
17,18681.8,(21),12.0887,1099.39,827.3,(44),0.0102016,(31),none
18,36472.9,(41),8.65178,953.057,1316.4,(27),0.0153685,(16),none
19,55193.7,(56),7.03309,925.532,1952.8,(9),0.00506574,(69),none
20,45882.7,(47),7.71376,918.427,1578.4,(15),0.00419618,(90),none
21,45048.8,(46),7.78483,912.632,1307.8,(28),0.00426005,(89),none
22,33537.8,(39),9.02243,869.892,1546.6,(19),0.0138202,(19),none
23,49243.8,(50),7.44586,840.7,2441.5,(4),0.00413546,(94),none
24,20282.3,(23),11.602,822.877,597.8,(68),0.0270711,(10),none
25,51585.5,(52),7.2749,684.494,1320.0,(26),0.00432655,(86),none
26,30841.1,(33),9.40862,615.703,909.3,(42),0.00586713,(63),none
27,58836.4,(59),6.81189,555.427,1476.4,(21),0.0113906,(25),none
28,32528.8,(38),9.16129,545.375,925.0,(41),0.00826955,(39),none
29,24356.4,(26),10.5873,540.457,725.3,(55),0.011337,(26),none
30,73242.9,(76),6.10531,514.265,1150.1,(32),0.00729341,(47),none
31,79807.8,(80),5.84882,510.021,1974.8,(7),0.00418933,(92),none
32,101900.0,(100),5.17611,504.499,3716.0,(0),0.00348139,(105),none
33,10759.6,(12),15.9292,471.807,280.2,(93),0.0121631,(22),none
34,8031.5,(9),18.4371,442.444,1683.1,(11),0.0502553,(7),none
35,10561.5,(11),16.0778,423.146,826.5,(45),0.0131066,(20),none
36,88301.7,(91),5.5604,415.446,1549.2,(18),0.00392246,(98),none
37,62377.1,(65),6.61573,391.483,2268.1,(5),0.0048204,(75),none
38,61546.3,(62),6.66024,385.785,1322.9,(25),0.004757,(77),none
39,77064.1,(77),5.95202,384.041,1955.5,(8),0.00414034,(93),none
40,19001.1,(22),11.9867,367.438,310.6,(91),0.0102705,(29),none
41,92983.5,(95),5.41861,333.13,1680.4,(12),0.00359904,(103),none
42,68269.3,(70),6.3238,331.461,1175.0,(31),0.00409268,(96),none
43,28621.3,(31),9.76666,330.286,491.0,(74),0.00642854,(56),none
44,31821.0,(36),9.26262,322.286,584.8,(69),0.00671163,(54),none
45,14834.4,(16),13.5661,301.79,624.4,(66),0.00779361,(42),none
46,17895.6,(20),12.3514,301.072,179.9,(100),0.0772146,(5),none
47,89453.2,(92),5.5245,283.798,958.7,(39),0.00377864,(99),none
48,71575.1,(74),6.17603,283.249,658.7,(60),0.00468623,(79),none
49,22482.1,(25),11.0198,280.145,323.4,(89),0.0116293,(23),none
50,26082.6,(29),10.2309,265.038,550.6,(73),0.015016,(17),none
51,94643.9,(96),5.37087,255.714,1521.2,(20),0.00355654,(104),none
52,90225.8,(93),5.50079,253.952,1655.3,(14),0.00371761,(100),none
53,106769.0,(101),5.05671,251.276,1671.0,(13),0.00448353,(83),none
54,48169.0,(49),7.52847,247.749,707.1,(56),0.00430982,(87),none
55,108718.0,(103),5.01118,242.647,1023.0,(36),0.00402606,(97),none
56,82937.7,(82),5.73739,236.896,989.1,(38),0.00501011,(71),none
57,68963.1,(71),6.29191,235.198,891.5,(43),0.00485875,(74),none
58,9771.21,(10),16.7154,229.405,933.32,(40),0.0255059,(12),none
59,28195.9,(30),9.84006,217.627,1262.0,(30),0.00749202,(46),none
60,53956.1,(54),7.11329,213.458,762.5,(51),0.0059626,(61),none
61,52739.7,(53),7.19485,202.435,781.9,(49),0.00496916,(72),none
62,91978.4,(94),5.44813,200.219,644.4,(62),0.00429595,(88),none
63,78976.0,(79),5.87954,197.319,1046.1,(35),0.00411503,(95),none
64,77860.0,(78),5.92152,194.169,818.2,(47),0.0041953,(91),none
65,58094.9,(58),6.85522,186.856,659.0,(59),0.0178027,(15),none
66,43986.5,(45),7.87827,185.538,190.5,(98),0.00639122,(57),none
67,60206.4,(60),6.73394,183.556,615.7,(67),0.0114078,(24),none
68,54442.2,(55),7.08146,181.626,403.1,(81),0.00628512,(59),none
69,72254.4,(75),6.14693,174.125,745.9,(53),0.00479349,(76),none
70,56715.5,(57),6.93809,171.071,644.2,(63),0.00828137,(38),none
71,65535.5,(66),6.45435,162.165,1109.9,(33),0.00692075,(51),none
72,95770.5,(97),5.33918,160.222,1386.5,(23),0.00369439,(101),none
73,31294.0,(34),9.34029,156.865,430.4,(80),0.0061228,(60),none
74,47304.5,(48),7.59695,154.466,485.2,(75),0.00460988,(80),none
75,84411.0,(85),5.6871,129.556,564.6,(71),0.00898142,(34),none
76,34925.3,(40),8.84139,127.312,363.1,(83),0.0403539,(9),none
77,67319.8,(68),6.36824,127.021,785.7,(48),0.00473298,(78),none
78,70823.0,(72),6.20874,125.899,819.8,(46),0.00531073,(67),none
79,50892.8,(51),7.32424,123.251,343.9,(87),0.00435144,(85),none
80,114229.0,(106),4.8888,121.102,2941.0,(1),0.00331171,(106),none
81,71017.0,(73),6.20025,120.393,360.1,(84),0.00503722,(70),none
82,17751.7,(19),12.4014,118.652,76.9,(106),0.0687358,(6),none
83,25765.9,(28),10.2936,116.36,197.6,(97),0.0113223,(27),none
84,109359.0,(104),4.99647,112.564,676.0,(58),0.00442327,(84),none
85,86345.7,(89),5.62303,92.957,357.2,(85),0.00663931,(55),none
86,82554.5,(81),5.75069,87.905,1008.6,(37),0.00528793,(68),none
87,111488.0,(105),4.94853,80.7147,459.0,(77),0.00705964,(50),none
88,83776.5,(83),5.7086,77.7519,377.5,(82),0.00726897,(48),none
89,22285.9,(24),11.0682,76.5562,438.9,(79),0.0124019,(21),none
90,85858.1,(88),5.63897,67.4487,770.7,(50),0.0067155,(53),none
91,85297.7,(87),5.65747,63.1652,248.2,(94),0.0105035,(28),none
92,61804.3,(63),6.64632,60.6302,245.3,(95),0.00490261,(73),none
93,4281.97,(4),25.2504,59.7748,303.73,(92),0.0269056,(11),none
94,107316.0,(102),5.04381,59.5727,584.0,(70),0.00591345,(62),none
95,67556.0,(69),6.3571,55.1325,222.9,(96),0.0057921,(64),none
96,87181.2,(90),5.59602,54.5454,484.9,(76),0.00448564,(82),none
97,32398.3,(37),9.17972,51.9638,94.6,(105),0.0102288,(30),none
98,84966.4,(86),5.66849,49.9344,159.6,(102),0.014924,(18),none
99,121128.0,(107),4.74754,48.3599,651.0,(61),0.00314258,(107),none
100,98612.8,(98),5.26168,47.8804,317.3,(90),0.00894718,(35),none
101,100431.0,(99),5.21383,47.8192,450.0,(78),0.00366363,(102),none
102,84242.9,(84),5.69278,47.3493,352.9,(86),0.00833555,(37),none
103,60348.6,(61),6.726,33.1239,128.4,(103),0.0091851,(33),none
104,6974.98,(8),19.7842,29.3693,189.88,(99),0.22889,(1),none
