Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,24000000.0,(148),0.34615,8767130.0,23500000.0,(0),2.29717,(121),none
1,824882.0,(146),1.86713,3586010.0,500516.0,(1),3.55403,(103),none
2,17813.7,(6),12.7055,843538.0,7379.0,(5),3.44824,(106),none
3,9032.78,(5),17.8426,516424.0,4231.33,(23),0.011318,(146),none
4,61391.8,(24),6.84407,418598.0,7180.7,(6),5.25634,(77),none
5,65873.9,(25),6.60713,288423.0,5467.0,(14),0.0132392,(145),none
6,25825.7,(10),10.5522,233290.0,6758.0,(8),1.27898,(130),none
7,129412.0,(47),4.71392,185921.0,6293.0,(11),10.7491,(21),none
8,29203.7,(11),9.92318,158992.0,5251.1,(16),0.552229,(135),none
9,53316.8,(22),7.34409,143133.0,7489.6,(4),13.41,(12),none
10,307734.0,(127),3.05691,118634.0,6412.0,(9),1.17152,(131),none
11,85144.3,(30),5.81155,101524.0,6407.2,(10),0.0085158,(147),none
12,73348.1,(27),6.26146,93483.9,5134.9,(17),4.79643,(87),none
13,316524.0,(129),3.01416,92012.9,4995.0,(19),5.86506,(62),none
14,150231.0,(56),4.37512,79210.5,6966.0,(7),6.78044,(52),none
15,109022.0,(41),5.13585,61551.7,5819.0,(13),11.3758,(18),none
16,226333.0,(91),3.56448,55519.8,3540.0,(26),1.94984,(124),none
17,208194.0,(83),3.71651,53914.7,2386.0,(48),4.42073,(92),none
18,286021.0,(117),3.17081,49201.5,4143.0,(24),6.08799,(61),none
19,88461.2,(34),5.70156,48728.1,3170.4,(30),2.40854,(119),none
20,275223.0,(113),3.23242,47059.1,3623.0,(25),7.72612,(43),none
21,237204.0,(96),3.48184,45556.9,2972.0,(34),3.27111,(108),none
22,135641.0,(50),4.60441,44540.8,4431.0,(22),8.81642,(35),none
23,233535.0,(94),3.50908,41626.9,4512.0,(21),0.057512,(141),none
24,338829.0,(141),2.91326,38754.1,2808.0,(37),5.16148,(81),none
25,142373.0,(54),4.49424,38552.9,1857.0,(70),7.72514,(44),none
26,1144.27,(2),50.1309,38070.2,793.725,(108),5.85046,(63),none
27,79050.5,(29),6.03139,34779.9,2717.8,(39),1.90538,(126),none
28,143759.0,(55),4.47252,33467.5,1082.0,(94),7.52811,(45),none
29,341779.0,(142),2.90066,33466.4,2479.0,(43),4.59987,(89),none
30,36575.3,(15),8.86698,33292.2,1114.8,(91),1.0299,(132),none
31,222956.0,(90),3.59137,32746.5,1737.0,(74),2.56406,(118),none
32,197567.0,(79),3.81516,32353.5,1930.0,(66),5.50074,(75),none
33,119300.0,(44),4.90964,32257.2,5428.0,(15),0.494564,(136),none
34,309080.0,(128),3.05024,31244.7,2626.0,(40),1.38206,(128),none
35,336658.0,(140),2.92264,30539.8,3127.0,(31),5.50088,(74),none
36,33545.6,(13),9.25874,30347.5,3258.5,(28),0.00224891,(148),none
37,327003.0,(136),2.96547,29792.1,2387.0,(47),6.38863,(56),none
38,318191.0,(130),3.00625,28797.2,1698.0,(77),4.376,(93),none
39,164160.0,(64),4.18539,28422.6,2912.0,(36),5.25285,(78),none
40,130955.0,(49),4.68607,28076.6,1149.0,(90),10.2134,(22),none
41,54162.9,(23),7.2865,25863.8,1190.3,(89),12.3122,(14),none
42,281347.0,(116),3.19704,25716.7,2994.0,(32),6.57664,(54),none
43,221327.0,(89),3.60456,24715.5,1996.0,(62),2.69193,(117),none
44,212413.0,(85),3.67942,23215.8,2264.0,(52),3.929,(98),none
45,197021.0,(78),3.82044,23034.4,1965.0,(64),5.53733,(71),none
46,111255.0,(42),5.08405,22525.5,1973.0,(63),9.81379,(26),none
47,39227.9,(19),8.56194,22279.9,2600.0,(41),4.92792,(86),none
48,209929.0,(84),3.70112,22059.8,908.0,(103),4.48948,(91),none
49,156382.0,(60),4.28821,22019.7,2348.0,(50),6.18009,(58),none
50,119674.0,(45),4.90196,21075.2,2262.0,(53),0.0148826,(144),none
51,194026.0,(77),3.84981,21062.0,1810.0,(72),5.8179,(65),none
52,245392.0,(101),3.42326,21047.1,2453.0,(44),11.0223,(20),none
53,277233.0,(114),3.22068,19849.7,1705.0,(76),6.38107,(57),none
54,177212.0,(71),4.02831,19482.5,2584.0,(42),0.0357815,(142),none
55,319711.0,(131),2.9991,19242.4,1936.0,(65),0.624826,(134),none
56,268772.0,(110),3.27098,18726.8,1879.0,(69),12.7341,(13),none
57,165629.0,(65),4.16679,18348.1,1418.0,(83),5.06906,(84),none
58,259010.0,(107),3.33205,18140.0,2013.0,(61),9.57777,(28),none
59,37796.6,(16),8.72255,18002.6,575.2,(119),0.0204432,(143),none
60,253997.0,(104),3.36477,17920.4,2189.0,(57),8.99688,(33),none
61,102368.0,(39),5.30014,17669.4,4895.1,(20),17.3179,(7),none
62,254815.0,(105),3.35937,17513.9,1066.0,(96),9.0695,(32),none
63,270840.0,(111),3.25847,16901.8,2246.0,(54),10.211,(23),none
64,219.723,(0),114.402,16409.6,230.024,(135),7.10968,(48),none
65,45815.6,(21),7.92251,16372.4,1396.4,(84),51.2298,(0),none
66,301575.0,(126),3.08796,15810.1,2370.0,(49),4.16964,(95),none
67,123260.0,(46),4.83013,15591.0,1769.0,(73),17.7311,(5),none
68,204913.0,(80),3.74615,15370.4,1479.0,(81),4.63045,(88),none
69,68210.3,(26),6.49299,14913.2,1050.6,(97),17.6629,(6),none
