Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,6711.78,(0),20.1684,728184.0,6906.0,(2),0.00664529,(34),none
1,24591.0,(9),10.5367,18922.3,3621.8,(51),0.00266091,(87),none
2,38656.3,(18),8.40389,14475.7,3424.4,(63),0.00177239,(140),none
3,13802.0,(4),14.0644,13816.6,1559.6,(157),0.0327346,(2),none
4,42908.2,(19),7.97665,11761.7,4462.6,(30),0.00164775,(148),none
5,44594.9,(20),7.82435,9978.95,3881.0,(40),0.00165398,(146),none
6,30192.1,(13),9.5092,9405.77,4632.6,(24),0.00210487,(116),none
7,33778.8,(15),8.99018,8402.14,1839.0,(139),0.00221003,(105),none
8,20617.7,(8),11.5072,8203.45,1122.2,(205),0.0044358,(51),none
9,102115.0,(44),5.17066,7468.11,4041.0,(36),0.00133297,(176),none
10,8329.9,(1),18.1038,6719.79,5734.57,(5),0.0063278,(36),none
11,128511.0,(56),4.60915,6271.91,4628.0,(25),0.00107544,(205),none
12,52988.5,(24),7.17794,6227.75,2569.6,(93),0.00214549,(111),none
13,55044.9,(25),7.04259,6172.95,3908.0,(39),0.00254663,(92),none
14,77720.6,(31),5.92683,5986.63,8185.9,(0),0.00133296,(177),none
15,49235.1,(22),7.44652,4958.38,3451.4,(62),0.00180243,(134),none
16,27508.1,(12),9.96232,4472.91,986.8,(224),0.00233509,(99),none
17,13508.6,(3),14.2163,4263.49,318.8,(279),0.0322886,(3),none
18,79361.8,(32),5.86523,4092.32,3238.7,(68),0.00127904,(181),none
19,122066.0,(54),4.72926,3715.02,2620.0,(89),0.00157472,(154),none
20,98961.5,(43),5.2524,3709.28,3802.4,(44),0.0010756,(204),none
21,118861.0,(51),4.7926,3587.17,1927.0,(133),0.00112154,(196),none
22,12684.5,(2),14.6708,3549.4,676.9,(245),0.0143536,(12),none
23,224824.0,(109),3.48473,3466.72,5053.0,(18),0.00123016,(186),none
24,93584.1,(40),5.40119,3326.98,2990.9,(72),0.000988331,(222),none
25,26321.3,(11),10.1844,3277.63,573.3,(257),0.00298662,(75),none
26,222096.0,(108),3.50607,3185.3,4005.0,(37),0.00107418,(206),none
27,84795.8,(37),5.67419,3139.46,4127.9,(32),0.00155003,(157),none
28,88418.3,(38),5.55673,3087.06,5218.3,(14),0.00104236,(213),none
29,19723.3,(7),11.7652,2995.08,1005.3,(222),0.00533645,(42),none
30,143295.0,(68),4.36491,2986.27,2823.0,(81),0.00187864,(129),none
31,116406.0,(49),4.84287,2953.1,5315.0,(13),0.00109163,(201),none
32,66325.1,(28),6.41581,2885.26,3343.5,(65),0.0077537,(24),none
33,68524.0,(29),6.31203,2726.07,2199.2,(117),0.00372766,(58),none
34,161497.0,(76),4.11158,2574.18,3696.0,(50),0.00708137,(31),none
35,81725.0,(33),5.77981,2551.66,1540.3,(159),0.00179515,(136),none
36,60531.1,(27),6.71586,2541.92,1642.7,(152),0.0106186,(19),none
37,159472.0,(74),4.1376,2468.74,2859.0,(77),0.00617686,(38),none
38,58956.9,(26),6.80493,2465.08,1446.9,(168),0.00566913,(40),none
39,171632.0,(79),3.98833,2389.33,3608.0,(52),0.00114694,(194),none
40,125089.0,(55),4.67177,2341.75,1291.0,(186),0.0031274,(71),none
41,386944.0,(189),2.65624,2269.61,5482.0,(11),0.000425701,(297),none
42,34752.3,(16),8.86337,2254.27,824.4,(235),0.00215269,(110),none
43,214905.0,(101),3.56424,2240.77,5374.0,(12),0.00149119,(160),none
44,91879.0,(39),5.45108,2239.27,2711.6,(85),0.000996471,(219),none
45,173706.0,(80),3.96445,2136.58,2708.0,(86),0.00101525,(216),none
46,35161.4,(17),8.81166,2100.33,1073.1,(213),0.00230802,(101),none
47,105954.0,(45),5.07612,2075.64,1733.0,(146),0.00411162,(54),none
48,120549.0,(52),4.75893,2054.7,1287.0,(187),0.00126512,(183),none
49,25418.1,(10),10.3638,2006.41,1304.0,(183),0.00255701,(91),none
50,160700.0,(75),4.12176,1960.3,1436.0,(170),0.0044405,(50),none
51,199157.0,(95),3.70248,1917.6,2327.0,(106),0.00202351,(121),none
52,18904.4,(6),12.0174,1877.55,1785.8,(142),0.00675861,(33),none
53,96531.4,(41),5.3181,1737.75,1300.2,(184),0.00107736,(203),none
54,197104.0,(94),3.72171,1717.25,1862.0,(136),0.00189722,(127),none
55,150206.0,(71),4.26331,1550.24,2214.0,(116),0.00178083,(139),none
56,178138.0,(82),3.91483,1538.31,4515.0,(29),0.000878783,(240),none
57,189682.0,(91),3.79383,1326.36,2041.0,(126),0.00277491,(80),none
58,182321.0,(84),3.86966,1321.64,2621.0,(88),0.00105236,(211),none
59,383141.0,(188),2.66939,1300.06,4597.0,(26),0.000461713,(294),none
60,256211.0,(126),3.26431,1295.2,2567.0,(94),0.000734116,(255),none
61,48399.5,(21),7.51052,1273.76,564.5,(259),0.00211428,(114),none
62,152092.0,(72),4.2368,1225.38,4060.0,(35),0.00217528,(108),none
63,147359.0,(69),4.3043,1224.98,3558.0,(55),0.00165693,(145),none
64,535292.0,(242),2.25837,1199.98,5623.0,(8),0.000498743,(289),none
65,110480.0,(47),4.97106,1176.97,2345.0,(104),0.00463808,(46),none
