Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,23806.2,(3),10.9907,212492.0,12088.1,(103),1.71571,(151),none
1,9653.66,(1),17.2593,198637.0,4487.14,(167),14.5398,(2),none
2,853893.0,(103),1.83513,134723.0,41634.0,(42),2.6,(75),none
3,863940.0,(104),1.82443,134723.0,41634.0,(43),1.26667,(174),none
4,868595.0,(105),1.81954,134723.0,41634.0,(44),1.8,(145),none
5,880334.0,(106),1.80737,134723.0,41634.0,(45),2.13333,(127),none
6,882655.0,(107),1.80499,134723.0,41634.0,(46),1.18333,(178),none
7,887177.0,(108),1.80038,134723.0,41634.0,(47),2.31667,(106),none
8,1787830.0,(178),1.26826,113741.0,81050.0,(7),2.475,(94),none
9,892469.0,(109),1.79504,113281.0,44271.0,(33),3.41667,(34),none
10,2949120.0,(197),0.987469,86735.5,101580.0,(4),2.9375,(59),none
11,105533.0,(6),5.22006,80633.8,43325.8,(36),5.68686,(8),none
12,958611.0,(117),1.732,79816.0,57311.0,(19),2.13333,(127),none
13,1557220.0,(169),1.35892,67331.9,58920.0,(17),2.475,(94),none
14,674198.0,(77),2.06527,67009.4,24345.0,(65),4.03333,(24),none
15,268425.0,(21),3.27309,59109.5,13896.0,(95),0.219795,(195),none
16,671995.0,(76),2.06865,57159.3,22196.0,(70),3.08333,(49),none
17,1042550.0,(128),1.66082,56147.3,27390.0,(57),1.78333,(147),none
18,62684.2,(5),6.77315,55956.3,17633.1,(86),12.3726,(3),none
19,930192.0,(113),1.75826,53469.5,30185.0,(55),1.28333,(172),none
20,1639070.0,(172),1.32456,50213.8,38910.0,(49),2.45,(98),none
21,205250.0,(14),3.74307,49782.6,13271.0,(97),0.540355,(186),none
22,1299500.0,(153),1.48758,49741.8,25610.0,(63),2.58333,(77),none
23,2711040.0,(195),1.02992,47248.7,69920.0,(14),2.725,(70),none
24,920018.0,(112),1.76796,45227.1,55790.0,(21),2.43333,(99),none
25,935440.0,(114),1.75332,45227.1,55790.0,(22),3.0,(55),none
26,942417.0,(115),1.74682,45227.1,55790.0,(23),2.01667,(135),none
27,952165.0,(116),1.73786,45227.1,55790.0,(24),1.78333,(147),none
28,2839200.0,(196),1.0064,43391.6,62760.0,(16),2.8875,(61),none
29,1821590.0,(179),1.25645,39874.4,35220.0,(52),2.45,(98),none
30,87.5,(0),181.287,39348.3,9445.77,(119),0.319147,(189),none
31,745834.0,(91),1.96358,38378.5,17832.0,(83),1.88333,(142),none
