Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2778.96,(1),31.3436,151210.0,3234.46,(1),0.00159915,(73),none
1,139931.0,(180),4.41706,37915.6,454033.0,(0),0.00257283,(46),none
2,238.563,(0),106.977,19753.5,323.488,(139),0.0066856,(23),none
3,7000.0,(8),19.7488,16049.6,2235.81,(12),0.00191118,(60),none
4,5699.03,(6),21.8872,7225.42,1138.98,(58),0.00156767,(76),none
5,11483.3,(13),15.419,7205.03,2401.3,(10),0.00988372,(17),none
6,3603.58,(2),27.5248,4708.37,487.83,(119),0.00238555,(48),none
7,15569.1,(16),13.2422,4691.2,1431.9,(40),0.0249286,(6),none
8,4321.85,(3),25.1337,4596.14,338.97,(136),0.00395398,(33),none
9,9275.31,(10),17.1564,4483.88,640.9,(103),0.00536766,(27),none
10,5000.0,(4),23.3671,4066.69,818.94,(83),0.00159386,(74),none
11,16748.3,(18),12.7675,3373.01,1159.5,(55),0.00821063,(20),none
12,32967.8,(37),9.10009,3342.04,2709.8,(4),0.000240967,(155),none
13,22134.3,(26),11.106,3094.25,1370.9,(44),0.00284752,(40),none
14,30637.2,(36),9.43987,2897.5,1679.7,(28),0.000346779,(136),none
15,9867.85,(11),16.6333,2513.98,600.9,(106),0.0142269,(12),none
16,73374.0,(99),6.09986,1863.07,2487.6,(8),0.00031101,(144),none
17,50663.2,(60),7.34082,1832.42,1624.8,(31),0.000168379,(169),none
18,38245.1,(45),8.44895,1781.94,2529.7,(6),0.000185735,(167),none
19,6511.06,(7),20.4769,1639.83,231.93,(155),0.00186608,(65),none
20,44317.2,(52),7.84882,1601.21,1339.4,(45),0.000707386,(100),none
21,23107.3,(27),10.8697,1581.43,1001.5,(70),0.00562872,(26),none
22,47818.5,(57),7.55601,1565.25,1776.9,(25),0.000127473,(180),none
23,10847.5,(12),15.8645,1519.95,466.0,(125),0.0222629,(8),none
24,81200.3,(109),5.79845,1349.65,1630.0,(30),0.000188169,(165),none
25,86124.6,(116),5.63024,1311.47,1428.1,(41),0.000142852,(177),none
26,17335.3,(20),12.5495,1306.16,501.7,(116),0.00992011,(16),none
27,13291.1,(14),14.3321,1246.77,1930.6,(17),0.0555655,(2),none
28,21355.7,(24),11.3066,1207.08,864.9,(78),0.00306411,(37),none
29,27256.2,(32),10.0082,1197.68,696.8,(98),0.00106611,(85),none
30,17171.0,(19),12.6094,1078.91,219.5,(159),0.0111881,(15),none
31,87364.6,(117),5.59014,1069.26,1406.4,(42),0.000140682,(178),none
32,45716.1,(53),7.7278,966.17,891.9,(76),0.000403682,(129),none
33,34743.9,(39),8.86444,895.571,539.9,(110),0.000579199,(109),none
34,58904.7,(76),6.80794,876.239,1079.9,(63),0.000167818,(170),none
35,36374.4,(42),8.66349,875.824,884.8,(77),0.000262687,(149),none
36,5230.1,(5),22.8473,850.236,138.91,(167),0.00189656,(61),none
37,15848.9,(17),13.1248,848.988,248.0,(151),0.0170833,(9),none
38,92118.5,(123),5.44399,815.794,1903.8,(19),0.00048428,(118),none
39,33871.4,(38),8.97789,797.361,649.6,(101),0.000382525,(133),none
40,66256.7,(85),6.41912,776.082,1440.5,(39),0.00060736,(107),none
41,62009.0,(80),6.63534,768.406,1114.8,(59),0.000186631,(166),none
42,49184.2,(59),7.45037,766.786,1024.5,(66),0.000220088,(159),none
43,58311.2,(75),6.8425,759.229,754.8,(95),0.000231812,(158),none
