Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,448.2,(1),80.1002,25453.5,36.474,(6),2312.83,(1),none
1,6323.96,(13),21.3243,15593.9,194.54,(0),243.476,(10),none
2,3790.0,(10),27.5455,12415.0,96.21,(2),403.381,(6),none
3,1546.2,(4),43.1258,8355.61,36.84,(5),886.252,(2),none
4,223.1,(0),113.532,6822.16,7.591,(23),3587.72,(0),none
5,2469.34,(7),34.1255,6127.15,33.84,(7),574.422,(5),none
6,2125.58,(5),36.7816,5873.7,27.7,(12),647.83,(4),none
7,15140.2,(23),13.7817,5546.02,162.6,(1),107.399,(20),none
8,14375.5,(22),14.1435,2887.35,79.6,(3),101.881,(22),none
9,3424.18,(9),28.9795,2505.4,22.59,(14),337.46,(8),none
10,2650.27,(8),32.9401,2036.75,24.18,(13),309.839,(9),none
11,2245.23,(6),35.7882,1941.79,19.22,(17),347.275,(7),none
12,587.028,(2),69.9907,1544.61,7.967,(22),729.696,(3),none
13,7097.33,(15),20.129,1383.63,30.15,(11),132.389,(15),none
14,8251.77,(19),18.6679,1313.39,30.51,(9),137.427,(14),none
15,7915.76,(18),19.06,1164.95,37.45,(4),108.38,(19),none
16,8491.85,(20),18.4022,1146.59,31.01,(8),105.995,(21),none
17,7499.7,(16),19.5816,1067.95,19.35,(16),142.386,(12),none
18,7785.08,(17),19.2193,975.267,22.13,(15),123.712,(16),none
19,7013.97,(14),20.2483,965.482,18.04,(18),138.973,(13),none
20,9356.1,(21),17.5316,911.764,30.44,(10),100.671,(23),none
21,1320.94,(3),46.6582,641.105,9.03,(21),219.197,(11),none
22,5230.77,(12),23.447,625.976,16.13,(19),112.416,(18),none
23,4991.78,(11),24.0017,605.368,13.85,(20),119.656,(17),none
