Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,161.402,(2),130.058,1014.15,160.893,(10),0.099552,(16),['31-Ga-69_n-g']
1,103.277,(1),162.588,373.364,12.8887,(48),1.3722,(1),['31-Ga-71_n-g']
2,39.6875,(0),262.279,274.103,93.7225,(18),0.0999505,(15),['31-Ga-71_n-g']
3,348.796,(4),88.4718,232.346,34.422,(40),0.577641,(3),['31-Ga-69_n-g']
4,321.642,(3),92.1307,227.213,37.252,(37),0.801976,(2),['31-Ga-69_n-g']
5,445.507,(5),78.2823,170.274,86.632,(19),0.0908406,(18),['31-Ga-71_n-g']
6,1759.8,(20),39.3876,147.386,211.49,(5),0.0201585,(28),['31-Ga-69_n-g']
7,914.114,(10),54.65,138.593,228.339,(3),0.0075402,(42),['31-Ga-71_n-g']
8,621.788,(8),66.2628,128.599,72.931,(25),0.0461896,(25),['31-Ga-69_n-g']
9,1553.87,(18),41.9163,90.4372,45.56,(32),0.229682,(9),['31-Ga-69_n-g']
10,699.675,(9),62.4658,89.3824,9.151,(50),2.6375,(0),['31-Ga-69_n-g']
11,1608.85,(19),41.1939,89.3189,42.26,(34),0.269532,(6),['31-Ga-69_n-g']
12,2688.67,(27),31.8656,65.5186,298.79,(1),0.00798719,(37),['31-Ga-69_n-g']
13,519.92,(6),72.464,61.7284,54.661,(30),0.0375094,(26),['31-Ga-69_n-g']
14,5510.34,(51),22.2588,38.1893,59.94,(28),0.263734,(8),['31-Ga-71_n-g']
15,4289.76,(44),25.2275,33.6485,135.63,(12),0.010075,(34),['31-Ga-69_n-g']
16,3717.61,(37),27.0993,33.3349,201.61,(6),0.00960822,(35),['31-Ga-69_n-g']
17,5319.54,(50),22.6545,31.2538,381.94,(0),0.185856,(12),['31-Ga-71_n-g']
18,1900.39,(21),37.9026,30.2045,29.45,(43),0.103664,(14),['31-Ga-69_n-g']
19,4492.45,(46),24.6518,29.5088,282.02,(2),0.00508423,(49),['31-Ga-71_n-g']
20,1410.46,(16),43.9957,27.8231,107.16,(15),0.0183746,(30),['31-Ga-71_n-g']
21,4955.02,(49),23.473,26.9245,167.57,(8),0.208638,(10),['31-Ga-71_n-g']
22,3432.5,(36),28.2024,26.5747,61.12,(27),0.0912759,(17),['31-Ga-71_n-g']
23,2839.26,(28),31.009,26.2352,71.97,(26),0.0139043,(32),['31-Ga-71_n-g']
24,2193.82,(25),35.2769,23.3785,211.7,(4),0.00790651,(39),['31-Ga-71_n-g']
25,1487.17,(17),42.846,23.0618,34.87,(39),0.0867205,(19),['31-Ga-71_n-g']
26,2423.62,(26),33.5628,21.4474,35.98,(38),0.323319,(5),['31-Ga-71_n-g']
27,3225.43,(33),29.0936,18.0188,100.96,(16),0.0138559,(33),['31-Ga-71_n-g']
28,1272.46,(14),46.32,16.0184,94.79,(17),0.00801594,(36),['31-Ga-69_n-g']
29,4723.1,(47),24.0424,15.9936,83.82,(21),0.195901,(11),['31-Ga-71_n-g']
30,1360.66,(15),44.7936,15.0957,7.86,(51),0.26813,(7),['31-Ga-69_n-g']
31,2942.07,(29),30.4624,12.9948,109.03,(14),0.00548152,(47),['31-Ga-71_n-g']
32,4180.9,(43),25.5538,11.5299,28.01,(44),0.0476347,(22),['31-Ga-69_n-g']
33,3027.93,(30),30.0274,11.1876,79.33,(23),0.00653513,(43),['31-Ga-69_n-g']
34,1978.88,(23),37.1433,9.7623,55.7,(29),0.0142263,(31),['31-Ga-71_n-g']
35,4375.01,(45),24.9805,8.8921,17.22,(47),0.162151,(13),['31-Ga-69_n-g']
36,4812.75,(48),23.8174,8.15937,32.47,(41),0.356065,(4),['31-Ga-71_n-g']
37,3098.74,(31),29.6823,7.72601,24.0,(45),0.0186927,(29),['31-Ga-69_n-g']
38,3366.66,(34),28.4768,6.94649,43.25,(33),0.0471922,(23),['31-Ga-71_n-g']
39,1915.1,(22),37.7568,5.62212,18.21,(46),0.0655753,(20),['31-Ga-71_n-g']
40,3810.01,(39),26.7687,5.517,54.1,(31),0.00791293,(38),['31-Ga-71_n-g']
41,3387.66,(35),28.3884,5.46622,29.72,(42),0.0470332,(24),['31-Ga-71_n-g']
42,566.887,(7),69.3973,5.40912,74.074,(24),0.0275998,(27),['31-Ga-69_n-g']
43,3147.04,(32),29.4537,4.6544,80.27,(22),0.00765253,(41),['31-Ga-71_n-g']
44,4022.03,(42),26.0536,4.45356,187.97,(7),0.00337608,(51),['31-Ga-69_n-g']
45,1178.51,(13),48.1309,3.99304,110.2,(13),0.00550705,(46),['31-Ga-71_n-g']
46,3865.83,(40),26.5748,3.7971,11.02,(49),0.0494736,(21),['31-Ga-71_n-g']
47,1044.87,(11),51.1163,3.18184,144.379,(11),0.00529722,(48),['31-Ga-69_n-g']
48,2105.44,(24),36.0097,3.05949,164.19,(9),0.00628605,(45),['31-Ga-69_n-g']
49,1112.15,(12),49.546,2.43864,37.31,(36),0.00644523,(44),['31-Ga-71_n-g']
50,3940.37,(41),26.3222,2.20487,86.29,(20),0.00409603,(50),['31-Ga-69_n-g']
51,3767.61,(38),26.9189,1.78931,41.6,(35),0.0076793,(40),['31-Ga-69_n-g']
