Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,640.625,(0),65.2813,1029.38,1099.72,(4),0.00637448,(7),none
1,3207.4,(4),29.1752,1018.49,1068.95,(6),0.00736749,(6),none
2,1357.69,(1),44.8426,994.099,338.76,(8),0.0117534,(5),none
3,1834.16,(2),38.5809,689.954,454.73,(7),0.00190999,(8),none
4,2867.67,(3),30.855,487.239,1217.23,(2),0.000631158,(9),none
5,4610.8,(6),24.3334,429.579,1118.3,(3),0.0506645,(3),none
6,7025.5,(8),19.713,251.44,1763.5,(0),0.141862,(0),none
7,4258.32,(5),25.3205,216.911,153.68,(9),0.0471699,(4),none
8,5900.9,(7),21.5096,165.451,1097.87,(5),0.0996011,(2),none
9,11595.9,(9),15.344,102.735,1300.8,(1),0.126453,(1),none
