Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,102.59,(0),167.424,7157.39,2.281,(23),9595.08,(0),none
1,332.845,(4),92.9499,2497.18,2.47,(20),2942.36,(1),none
2,8588.51,(43),18.2983,2311.53,50.65,(0),144.256,(42),none
3,491.675,(7),76.477,2128.61,3.438,(13),1917.42,(3),none
4,224.722,(2),113.122,1273.8,1.572,(36),2354.39,(2),none
5,368.031,(5),88.395,1139.02,2.019,(26),1703.99,(4),none
6,4055.25,(31),26.6294,993.396,8.99,(3),355.505,(28),none
7,2019.12,(23),37.7389,962.364,4.42,(8),697.004,(12),none
8,7863.95,(42),19.1227,945.077,16.75,(1),187.594,(37),none
9,1148.08,(14),50.0476,876.097,2.9,(16),971.359,(7),none
10,6620.78,(41),20.8408,796.843,14.22,(2),183.286,(39),none
11,204.013,(1),118.725,781.389,1.321,(37),1680.42,(5),none
12,1656.09,(19),41.6704,780.542,3.1,(15),830.868,(10),none
13,4246.22,(32),26.0237,670.687,7.84,(4),278.883,(29),none
14,4458.39,(33),25.3969,592.776,7.22,(5),266.886,(30),none
15,320.614,(3),94.7062,535.111,1.642,(33),903.17,(9),none
16,1220.04,(15),48.5493,516.792,1.61,(34),1026.53,(6),none
17,2567.1,(28),33.4694,488.004,3.55,(11),444.179,(24),none
18,5365.0,(36),23.1518,486.977,6.95,(6),221.903,(35),none
19,1808.07,(20),39.8806,485.451,2.54,(18),610.926,(16),none
20,558.283,(9),71.7699,482.798,2.109,(25),662.038,(15),none
21,1317.04,(16),46.7273,481.228,1.61,(35),951.965,(8),none
22,2290.14,(25),35.4355,465.553,2.51,(19),598.698,(17),none
23,5765.33,(38),22.3335,458.374,5.96,(7),249.372,(33),none
24,409.415,(6),83.8085,446.288,1.808,(30),694.477,(13),none
25,2946.1,(30),31.2425,426.413,3.55,(12),387.847,(27),none
26,2263.06,(24),35.6469,397.873,2.19,(24),585.256,(18),none
27,1530.05,(18),43.3528,388.558,1.78,(32),691.066,(14),none
28,5380.43,(37),23.1186,299.858,3.82,(9),262.188,(32),none
29,2297.05,(26),35.3822,280.133,1.94,(28),503.226,(21),none
30,5210.18,(35),23.4933,268.052,3.29,(14),265.831,(31),none
31,2688.05,(29),32.7078,245.393,1.94,(29),401.38,(26),none
32,6221.2,(39),21.4997,207.737,3.66,(10),184.764,(38),none
33,1954.07,(22),38.3619,197.388,1.19,(38),544.424,(20),none
34,2443.03,(27),34.3088,178.554,1.16,(39),494.386,(22),none
35,6344.14,(40),21.2904,173.385,2.61,(17),216.037,(36),none
36,4840.11,(34),24.3749,136.643,1.98,(27),225.543,(34),none
37,1950.98,(21),38.3922,126.792,0.83,(40),489.886,(23),none
38,851.32,(10),58.1197,122.955,2.291,(22),155.874,(40),none
39,920.322,(11),55.8985,121.378,2.401,(21),146.836,(41),none
40,1359.02,(17),45.9999,104.747,0.6,(41),562.898,(19),none
41,518.09,(8),74.5019,56.7916,1.792,(31),104.917,(43),none
