Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,194.343,(1),121.642,233879.0,99.636,(18),2.82672,(35),none
1,40.625,(0),266.056,183735.0,100.787,(17),4.04276,(20),none
2,2246.5,(28),35.778,63743.8,240.54,(2),1.65687,(43),none
3,307.903,(3),96.6413,63022.0,94.289,(20),1.1061,(47),none
4,8451.84,(47),18.4457,46449.9,693.27,(0),3.87935,(22),none
5,1789.98,(24),40.0817,45494.7,149.14,(7),3.29836,(29),none
6,2927.98,(34),31.339,41264.1,255.33,(1),3.55957,(26),none
7,462.084,(7),78.8877,40465.3,79.558,(21),4.17665,(19),none
8,1631.37,(23),41.9849,39673.3,123.59,(11),2.66254,(37),none
9,1304.35,(20),46.954,38046.1,95.37,(19),2.98404,(31),none
10,1941.23,(25),38.4885,34449.1,141.23,(10),1.60456,(44),none
11,357.277,(5),89.7154,29990.7,32.962,(33),13.6803,(5),none
12,2437.41,(31),34.3483,29384.5,144.4,(9),2.8373,(34),none
13,1205.62,(19),48.8387,29024.2,69.76,(22),4.88693,(15),none
14,2545.45,(32),33.6115,24158.0,121.72,(12),4.58913,(16),none
15,4208.13,(36),26.1412,23555.3,182.58,(4),4.95735,(14),none
16,4429.17,(37),25.4805,22371.1,204.62,(3),3.72763,(23),none
17,2678.38,(33),32.7668,20103.5,118.24,(13),4.21034,(18),none
18,402.728,(6),84.5014,19274.1,39.485,(29),6.62775,(7),none
19,1993.61,(27),37.9795,15957.8,62.24,(24),4.47573,(17),none
20,664.635,(10),65.7776,15704.4,107.645,(16),6.46361,(8),none
21,5327.83,(40),23.2324,15401.0,149.64,(6),3.62335,(25),none
22,215.225,(2),115.591,14880.9,19.261,(40),7.07604,(6),none
23,1516.29,(22),43.549,14604.3,108.82,(15),2.4199,(39),none
24,1354.58,(21),46.0752,13016.0,40.9,(28),5.69099,(11),none
25,1122.8,(18),50.6079,11106.8,61.38,(25),2.05101,(41),none
26,515.786,(8),74.6681,9259.6,23.854,(38),16.5089,(3),none
27,4013.37,(35),26.768,7269.6,116.12,(14),1.5221,(45),none
28,1054.15,(17),52.2298,7042.98,27.64,(36),2.48213,(38),none
29,324.475,(4),94.1411,6140.48,10.156,(45),26.1303,(2),none
30,2281.31,(29),35.504,5643.55,24.8,(37),1.423,(46),none
31,6570.77,(45),20.92,5098.18,159.51,(5),3.46163,(27),none
32,7806.2,(46),19.1933,4947.48,144.53,(8),2.13541,(40),none
33,915.562,(15),56.0436,3904.13,66.651,(23),3.62644,(24),none
34,552.577,(9),72.1395,3593.28,28.76,(35),5.48818,(12),none
35,5742.34,(42),22.3782,2437.09,55.02,(26),2.98103,(32),none
36,1027.37,(16),52.9062,1749.52,17.84,(41),2.95076,(33),none
37,5196.05,(39),23.5252,1636.49,33.68,(32),1.8037,(42),none
38,6206.17,(43),21.5257,1263.37,37.95,(30),3.1511,(30),none
39,6334.64,(44),21.3063,1112.18,29.13,(34),2.67419,(36),none
40,4831.75,(38),24.3959,877.719,21.41,(39),3.32531,(28),none
41,5375.17,(41),23.1299,637.936,10.23,(44),13.7144,(4),none
42,2294.26,(30),35.4037,563.571,4.7,(46),97.1953,(0),none
43,846.644,(14),58.28,359.376,13.349,(43),3.94511,(21),none
44,1952.39,(26),38.3784,309.659,2.16,(47),28.2427,(1),none
45,732.439,(11),62.6591,228.583,51.989,(27),5.8796,(9),none
46,799.593,(13),59.9702,161.825,36.468,(31),5.16228,(13),none
47,750.237,(12),61.9114,134.931,15.396,(42),5.70162,(10),none
