Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,168.32,(1),127.357,158.617,94.732,(18),0.0327216,(19),['32-Ge-73_n-g']
1,40.625,(0),259.235,133.096,97.8966,(17),0.060968,(9),['32-Ge-73_n-g']
2,2784.23,(42),31.314,100.072,86.07,(22),0.0306201,(20),['32-Ge-72_n-g']
3,3781.38,(47),26.8699,63.311,370.25,(2),0.00671778,(38),['32-Ge-72_n-g']
4,3283.13,(46),28.8368,60.5118,494.5,(0),0.00353786,(52),['32-Ge-70_n-g']
5,1069.8,(20),50.5172,58.8898,50.55,(35),0.0526655,(11),['32-Ge-73_n-g']
6,1506.0,(26),42.5773,51.4342,50.95,(34),0.0185235,(28),['32-Ge-70_n-g']
7,213.336,(2),113.125,48.4109,17.429,(48),0.165919,(5),['32-Ge-73_n-g']
8,1401.75,(25),44.1322,47.4626,110.29,(13),0.00597499,(42),['32-Ge-70_n-g']
9,352.697,(6),87.9812,44.7523,29.694,(41),0.105577,(6),['32-Ge-73_n-g']
10,439.923,(8),78.7775,38.6177,74.226,(23),0.0195524,(27),['32-Ge-73_n-g']
11,2214.95,(34),35.1082,35.6991,66.75,(25),0.00598189,(41),['32-Ge-72_n-g']
12,2662.16,(40),32.0239,32.333,60.71,(31),0.0153272,(31),['32-Ge-72_n-g']
13,392.643,(7),83.3857,31.767,36.509,(40),0.0411699,(13),['32-Ge-73_n-g']
14,2715.43,(41),31.7082,31.094,63.39,(29),0.0148568,(33),['32-Ge-72_n-g']
15,3134.29,(45),29.5135,29.5134,98.77,(16),0.00656753,(40),['32-Ge-74_n-g']
16,1272.98,(23),46.3105,28.9639,90.0,(21),0.0106312,(36),['32-Ge-73_n-g']
17,1138.36,(21),48.9723,24.9609,21.98,(45),0.312554,(4),['32-Ge-70_n-g']
18,1586.87,(27),41.4782,24.6804,115.97,(10),0.00536874,(44),['32-Ge-73_n-g']
19,2590.16,(39),32.4659,24.202,46.65,(36),0.0241298,(24),['32-Ge-72_n-g']
20,2991.73,(44),30.2085,23.8035,93.25,(19),0.0144173,(34),['32-Ge-74_n-g']
21,1193.04,(22),47.8369,23.0163,64.09,(28),0.0299212,(21),['32-Ge-73_n-g']
22,248.086,(3),104.903,22.6576,23.9,(44),0.0383714,(15),['32-Ge-73_n-g']
23,324.992,(5),91.6546,20.7586,8.58,(51),0.538341,(3),['32-Ge-73_n-g']
24,2923.49,(43),30.5591,19.562,70.6,(24),0.0365046,(16),['32-Ge-74_n-g']
25,1739.17,(28),39.6205,17.8368,139.87,(6),0.00384982,(50),['32-Ge-73_n-g']
26,1343.35,(24),45.0813,16.5212,37.87,(39),0.0161045,(30),['32-Ge-73_n-g']
27,1041.08,(19),51.2093,16.4722,26.16,(43),0.0261547,(23),['32-Ge-73_n-g']
28,645.248,(12),65.047,15.8249,103.86,(15),0.00531066,(45),['32-Ge-73_n-g']
29,2489.24,(38),33.1175,15.4393,114.15,(11),0.00440876,(47),['32-Ge-73_n-g']
30,2131.23,(33),35.7911,15.2792,161.6,(5),0.00277183,(54),['32-Ge-73_n-g']
31,2385.23,(37),33.8318,14.9413,137.94,(7),0.00349423,(53),['32-Ge-73_n-g']
32,271.782,(4),100.226,14.2845,64.559,(27),0.0227575,(25),['32-Ge-73_n-g']
33,4299.34,(49),25.1994,13.5762,129.63,(8),0.0176808,(29),['32-Ge-70_n-g']
34,1940.69,(30),37.507,13.3871,14.12,(49),0.039606,(14),['32-Ge-70_n-g']
35,1879.86,(29),38.109,13.0544,120.3,(9),0.00354178,(51),['32-Ge-73_n-g']
36,1980.11,(32),37.1318,12.9111,56.2,(32),0.0123895,(35),['32-Ge-73_n-g']
37,4706.95,(51),24.0836,12.3659,172.7,(4),0.0281606,(22),['32-Ge-72_n-g']
38,529.846,(10),71.782,11.6822,28.817,(42),0.0329546,(18),['32-Ge-76_n-g']
39,952.474,(18),53.5382,11.0424,106.378,(14),0.00669202,(39),['32-Ge-73_n-g']
40,512.295,(9),73.0013,10.366,20.73,(47),0.0653909,(7),['32-Ge-73_n-g']
41,4493.11,(50),24.65,8.22589,90.88,(20),0.035508,(17),['32-Ge-72_n-g']
42,6406.01,(54),20.6441,8.0794,246.09,(3),0.0642082,(8),['32-Ge-73_n-g']
43,5955.74,(53),21.4103,8.06951,386.44,(1),0.0219702,(26),['32-Ge-73_n-g']
44,4192.78,(48),25.5176,8.00182,54.31,(33),0.015218,(32),['32-Ge-70_n-g']
45,2275.66,(35),34.6367,7.72116,21.39,(46),0.0565629,(10),['32-Ge-73_n-g']
46,554.65,(11),70.1586,7.22172,4.017,(52),0.620778,(1),['32-Ge-76_n-g']
47,883.645,(17),55.5843,7.06437,63.29,(30),0.00543875,(43),['32-Ge-73_n-g']
48,5184.64,(52),22.9473,6.17833,110.81,(12),0.0513751,(12),['32-Ge-73_n-g']
49,822.938,(16),57.598,2.97956,39.258,(38),0.00526769,(46),['32-Ge-73_n-g']
50,705.365,(13),62.2134,2.16291,64.84,(26),0.00423231,(49),['32-Ge-73_n-g']
51,2293.79,(36),34.4996,1.84795,3.92,(53),0.572746,(2),['32-Ge-73_n-g']
52,781.998,(15),59.0864,1.39649,45.047,(37),0.00425522,(48),['32-Ge-73_n-g']
53,1952.4,(31),37.3944,1.38849,1.59,(54),1.3141,(0),['32-Ge-73_n-g']
54,748.744,(14),60.3843,1.21561,13.578,(50),0.00835477,(37),['32-Ge-73_n-g']
