Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2200000.0,(86),1.1433,4211820.0,6276870.0,(0),3.38209,(76),['32-Ge-74_n-tot']
1,59.375,(0),220.074,45212.2,102.536,(34),8.45645,(17),['32-Ge-73_n-tot']
2,7812.2,(69),19.1859,41953.2,1067.53,(4),6.50356,(41),['32-Ge-70_n-tot']
3,195.097,(1),121.407,37140.1,101.41,(35),7.51946,(29),['32-Ge-73_n-tot']
4,28351.4,(85),10.0712,22297.1,6525.2,(1),8.68865,(16),['32-Ge-76_n-tot']
5,2799.96,(42),32.0475,21179.8,101.38,(36),3.50084,(74),['32-Ge-74_n-tot']
6,10245.6,(75),16.7533,18071.6,409.23,(10),6.82097,(38),['32-Ge-70_n-tot']
7,8910.27,(72),17.9649,17807.0,318.84,(11),8.14185,(20),['32-Ge-72_n-tot']
8,14078.5,(81),14.292,17259.7,885.8,(6),10.5126,(8),['32-Ge-70_n-tot']
9,13058.6,(80),14.8396,14130.3,792.0,(7),8.29725,(18),['32-Ge-70_n-tot']
10,9807.69,(74),17.1233,14036.9,256.25,(14),7.69877,(23),['32-Ge-72_n-tot']
11,22305.0,(84),11.3545,13180.2,1648.8,(3),9.23917,(12),['32-Ge-76_n-tot']
12,2935.72,(43),31.2977,11586.0,87.74,(37),7.40478,(30),['32-Ge-74_n-tot']
13,14906.1,(82),13.8895,11395.6,954.3,(5),10.2834,(9),['32-Ge-76_n-tot']
14,5506.75,(61),22.8519,10772.3,222.57,(18),10.6529,(7),['32-Ge-70_n-tot']
15,4850.2,(56),24.3495,9704.53,128.69,(26),5.6664,(51),['32-Ge-72_n-tot']
16,1076.3,(20),51.6896,9512.11,48.22,(55),4.43254,(65),['32-Ge-70_n-tot']
17,1519.28,(26),43.5062,9110.41,55.97,(51),5.80175,(50),['32-Ge-70_n-tot']
18,4501.02,(53),25.2763,8596.88,119.61,(29),3.02921,(78),['32-Ge-72_n-tot']
19,8481.71,(70),18.4131,8162.58,724.56,(8),5.49101,(53),['32-Ge-73_n-tot']
20,4365.05,(51),25.667,7719.37,150.86,(25),1.43488,(86),['32-Ge-70_n-tot']
21,5203.52,(58),23.5083,7201.31,181.46,(19),26.3627,(1),['32-Ge-74_n-tot']
22,6732.01,(68),20.6679,6861.91,174.69,(20),6.92011,(35),['32-Ge-70_n-tot']
23,465.002,(8),78.6398,6580.8,82.185,(38),6.59374,(40),['32-Ge-73_n-tot']
24,5750.51,(62),22.3623,6247.08,161.25,(23),11.1005,(6),['32-Ge-70_n-tot']
25,11157.8,(76),16.0539,6178.13,227.9,(17),6.85871,(37),['32-Ge-72_n-tot']
26,1141.44,(21),50.193,6145.43,29.85,(64),16.707,(2),['32-Ge-70_n-tot']
27,357.277,(6),89.7154,5524.56,35.155,(60),7.69631,(24),['32-Ge-73_n-tot']
28,1633.31,(27),41.96,5204.1,125.95,(27),5.32705,(56),['32-Ge-73_n-tot']
29,11776.3,(77),15.6266,5014.62,252.5,(15),6.24607,(43),['32-Ge-70_n-tot']
30,3152.09,(45),30.2044,4955.77,105.79,(33),5.22784,(57),['32-Ge-74_n-tot']
31,2611.23,(39),33.1854,4402.53,53.92,(52),3.15962,(77),['32-Ge-72_n-tot']
32,2183.05,(33),36.2943,4382.01,171.87,(21),4.66793,(63),['32-Ge-73_n-tot']
33,1209.45,(22),48.7614,3805.81,71.92,(40),7.1848,(32),['32-Ge-73_n-tot']
