Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,655.168,(9),66.2511,6783.0,120.524,(8),3.54384,(103),none
1,1648.63,(20),41.7646,4982.15,190.89,(0),2.65711,(131),none
2,1266.76,(16),47.6456,3967.37,177.79,(1),2.54878,(137),none
3,871.644,(12),57.4381,3283.01,127.076,(5),5.33413,(49),none
4,712.559,(10),63.5271,3080.13,61.936,(41),1.2621,(157),none
5,301.238,(3),97.7046,3037.54,61.567,(42),1.85563,(150),none
6,501.091,(8),75.755,2831.87,33.218,(87),3.43217,(106),none
7,1103.96,(15),51.0379,2206.72,171.68,(2),4.40418,(75),none
8,450.365,(5),79.9075,1985.8,122.489,(7),2.60068,(135),none
9,1425.02,(18),44.922,1979.37,80.58,(25),4.25154,(79),none
10,6973.01,(114),20.3076,1914.72,99.09,(14),30.1566,(2),none
11,2801.36,(40),32.0395,1826.08,71.73,(31),5.6276,(47),none
12,32.2733,(0),298.503,1812.39,45.8215,(67),5.18394,(55),none
13,3682.97,(52),27.9428,1797.8,113.42,(9),1.98233,(148),none
14,3915.51,(56),27.1004,1693.27,65.44,(38),1.60795,(155),none
15,243.999,(2),108.561,1489.55,156.309,(3),3.14997,(116),none
16,9000.33,(146),17.8748,1482.39,99.72,(13),3.16899,(115),none
17,85.1223,(1),183.801,1373.81,42.9571,(75),5.1026,(57),none
18,2016.97,(25),37.759,1341.31,104.31,(11),6.0502,(45),none
19,4745.1,(71),24.6177,1339.05,72.39,(30),2.1281,(145),none
20,1347.11,(17),46.2028,1300.54,44.11,(70),3.56019,(102),none
21,4990.46,(76),24.0049,1300.02,82.35,(24),1.75942,(152),none
22,6544.3,(103),20.9623,1205.68,82.87,(22),4.79116,(65),none
23,6159.6,(97),21.607,1152.02,87.33,(19),3.99378,(86),none
24,4651.68,(70),24.8636,1131.28,78.7,(28),2.48555,(139),none
25,5683.02,(89),22.4947,1104.65,74.3,(29),3.77529,(92),none
26,1879.28,(24),39.1178,1082.29,48.99,(62),2.89114,(123),none
27,1735.53,(21),40.7056,994.014,46.13,(65),7.75398,(27),none
28,734.897,(11),62.5542,989.544,10.04,(149),648.31,(0),none
29,8498.11,(137),18.3954,983.729,101.03,(12),4.79862,(64),none
30,3486.8,(50),28.7181,899.811,32.09,(89),2.75744,(126),none
31,7066.93,(115),20.1723,865.908,97.87,(15),5.14694,(56),none
32,917.183,(14),55.994,847.563,27.832,(105),3.71449,(95),none
33,2705.25,(39),32.6036,793.733,46.75,(63),1.80299,(151),none
34,4337.22,(64),25.7492,768.994,54.48,(52),2.61767,(134),none
35,5855.03,(92),22.1618,766.665,90.07,(17),3.10611,(118),none
36,3221.36,(46),29.8779,764.448,69.9,(33),3.68468,(96),none
37,323.076,(4),94.3447,743.949,5.059,(157),54.524,(1),none
38,8302.97,(134),18.6103,685.854,53.63,(53),1.31108,(156),none
39,8219.1,(133),18.705,684.004,91.59,(16),1.65565,(154),none
40,6386.38,(101),21.2199,672.644,69.22,(35),3.27139,(110),none
41,4566.23,(69),25.0952,640.085,49.06,(61),3.89972,(89),none
42,7432.42,(120),19.67,618.1,50.02,(59),2.9538,(122),none
