Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,75.0933,(1),190.673,51843.9,45.3785,(80),0.187259,(56),['33-As-75_n-g']
1,409.249,(5),81.6765,29842.6,128.764,(10),0.106339,(85),['33-As-75_n-g']
2,159.375,(2),130.882,29083.0,160.275,(4),0.0540424,(136),['33-As-75_n-g']
3,272.261,(3),100.138,23226.1,65.87,(45),0.226426,(49),['33-As-75_n-g']
4,619.971,(9),66.3598,18095.1,131.477,(9),0.147621,(69),['33-As-75_n-g']
5,15.0,(0),426.624,16049.6,46.9841,(77),0.259517,(42),['33-As-75_n-g']
6,1048.01,(15),51.0397,15205.0,180.99,(3),0.0251437,(177),['33-As-75_n-g']
7,846.839,(12),56.7793,14183.4,137.152,(8),0.0720177,(116),['33-As-75_n-g']
8,687.334,(10),63.0241,11413.3,68.4,(36),0.33378,(34),['33-As-75_n-g']
9,1162.85,(16),48.4539,8417.79,188.89,(2),0.0274146,(174),['33-As-75_n-g']
10,503.989,(8),73.6004,8071.57,40.024,(98),0.988275,(14),['33-As-75_n-g']
11,1390.9,(18),44.304,5899.4,89.9,(21),0.0962138,(95),['33-As-75_n-g']
12,1548.84,(20),41.9843,5751.33,203.54,(1),0.0335586,(164),['33-As-75_n-g']
13,322.849,(4),91.9583,3604.97,8.045,(193),20.57,(1),['33-As-75_n-g']
14,907.486,(14),54.8493,3567.89,33.426,(120),0.361712,(31),['33-As-75_n-g']
15,2000.0,(25),36.9467,2702.0,117.04,(11),0.0296891,(171),['33-As-75_n-g']
16,1333.87,(17),45.2412,2660.26,53.93,(69),0.27238,(41),['33-As-75_n-g']
17,3198.81,(51),29.2144,2462.37,81.91,(26),0.0719413,(117),['33-As-75_n-g']
18,2154.7,(27),35.5957,2036.44,140.93,(6),0.0093478,(197),['33-As-75_n-g']
19,1470.3,(19),43.0911,1877.56,36.29,(113),0.213994,(51),['33-As-75_n-g']
20,481.893,(7),75.2689,1723.42,16.36,(180),0.602875,(22),['33-As-75_n-g']
21,1731.23,(21),39.7112,1691.77,55.92,(65),0.136825,(74),['33-As-75_n-g']
22,4622.3,(81),24.3031,1655.51,93.78,(20),0.0881012,(104),['33-As-75_n-g']
23,3892.25,(65),26.4844,1621.52,80.78,(27),0.186582,(57),['33-As-75_n-g']
24,3614.29,(59),27.484,1360.05,143.75,(5),0.0512609,(140),['33-As-75_n-g']
25,9697.47,(197),16.7788,1354.16,317.0,(0),0.550673,(26),['33-As-75_n-g']
26,4718.5,(82),24.0541,1343.8,88.78,(22),0.118399,(79),['33-As-75_n-g']
27,3098.93,(50),29.6814,1314.24,62.87,(53),0.0769028,(109),['33-As-75_n-g']
28,1855.5,(24),38.3584,1288.0,58.31,(62),0.101097,(92),['33-As-75_n-g']
29,1766.52,(22),39.3126,1278.6,67.94,(37),0.065457,(125),['33-As-75_n-g']
30,2665.85,(39),32.0017,1237.37,59.97,(57),0.105307,(87),['33-As-75_n-g']
31,7227.17,(140),19.436,1173.44,139.98,(7),0.0166991,(188),['33-As-75_n-g']
32,3483.74,(56),27.9942,1046.76,43.0,(86),0.588707,(23),['33-As-75_n-g']
33,4549.81,(80),24.4959,977.672,62.86,(54),0.144008,(71),['33-As-75_n-g']
34,4317.37,(74),25.1467,939.051,67.82,(39),0.106258,(86),['33-As-75_n-g']
35,2552.47,(37),32.7047,938.242,65.94,(43),0.0660938,(124),['33-As-75_n-g']
36,466.823,(6),76.4741,921.53,21.35,(159),0.301908,(37),['33-As-75_n-g']
37,6361.99,(122),20.7154,910.332,85.82,(25),0.0755868,(111),['33-As-75_n-g']
38,2682.78,(40),31.9005,874.294,57.81,(63),0.123352,(77),['33-As-75_n-g']
39,4079.19,(69),25.8704,872.828,97.29,(17),0.0349107,(158),['33-As-75_n-g']
40,4958.64,(87),23.4644,860.235,87.09,(23),0.101482,(91),['33-As-75_n-g']
41,879.998,(13),55.6993,824.502,20.885,(160),0.170268,(61),['33-As-75_n-g']
42,1834.17,(23),38.5808,793.947,38.55,(109),0.0895026,(99),['33-As-75_n-g']
43,3268.56,(52),28.901,774.77,49.99,(72),0.0338705,(162),['33-As-75_n-g']
44,2583.43,(38),32.5082,756.608,38.89,(106),0.154079,(66),['33-As-75_n-g']
45,4196.61,(71),25.5059,688.3,97.0,(18),0.0230462,(181),['33-As-75_n-g']
46,5427.11,(97),22.4288,656.777,59.9,(58),0.0761585,(110),['33-As-75_n-g']
47,6254.14,(119),20.8933,624.395,96.86,(19),0.034779,(160),['33-As-75_n-g']
48,7415.67,(143),19.1874,619.022,66.82,(42),0.152211,(67),['33-As-75_n-g']
49,3831.49,(64),26.6936,572.408,32.87,(123),0.318744,(36),['33-As-75_n-g']
50,2478.28,(36),33.1906,552.3,40.92,(94),0.0631194,(128),['33-As-75_n-g']
51,7038.62,(138),19.6946,547.962,97.88,(15),0.0361261,(157),['33-As-75_n-g']
52,2782.45,(43),31.324,545.54,55.88,(66),0.174001,(60),['33-As-75_n-g']
53,5662.67,(105),21.9574,522.175,97.72,(16),0.142974,(72),['33-As-75_n-g']
54,5344.22,(96),22.6021,511.911,65.89,(44),0.0441854,(151),['33-As-75_n-g']
55,3562.5,(58),27.683,510.695,60.13,(56),0.108073,(83),['33-As-75_n-g']
56,4422.93,(76),24.8448,477.429,64.0,(51),0.0495125,(143),['33-As-75_n-g']
57,7089.63,(139),19.6236,467.421,47.79,(76),0.0896964,(98),['33-As-75_n-g']
58,7668.04,(149),18.869,454.733,54.82,(68),0.168273,(63),['33-As-75_n-g']
59,6119.77,(117),21.1214,444.806,78.0,(28),0.0648657,(126),['33-As-75_n-g']
60,5937.29,(113),21.4435,430.249,73.82,(33),0.0695441,(121),['33-As-75_n-g']
61,4117.97,(70),25.7483,418.892,48.55,(74),0.0334334,(165),['33-As-75_n-g']
62,3025.26,(49),30.0407,413.196,73.93,(32),0.0209014,(183),['33-As-75_n-g']
63,5034.22,(89),23.2876,405.834,39.84,(102),0.293775,(38),['33-As-75_n-g']
64,2030.59,(26),36.6674,403.282,27.81,(139),0.0566129,(134),['33-As-75_n-g']
65,4889.9,(86),23.6287,394.254,31.86,(126),0.499127,(28),['33-As-75_n-g']
