Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,311.081,(0),93.6815,944956.0,377.966,(10),0.219728,(1),none
1,657.555,(1),64.4354,227697.0,483.883,(7),0.0703007,(2),none
2,4678.96,(13),24.1555,15913.8,706.84,(3),0.00444981,(16),none
3,1163.96,(3),48.4308,14599.9,289.97,(13),0.0253175,(4),none
4,2197.1,(8),35.2505,13126.5,454.61,(9),0.0131071,(8),none
5,1889.41,(7),38.0126,11719.4,473.97,(8),0.00924808,(11),none
6,3824.07,(11),26.7195,11152.0,576.99,(5),0.00655242,(13),none
7,8066.34,(17),18.3972,9873.07,1331.77,(0),0.0014306,(17),none
8,4050.27,(12),25.9626,8658.89,372.87,(11),0.00611542,(14),none
9,2977.05,(9),30.2829,8514.66,595.0,(4),0.0125439,(9),none
10,909.366,(2),54.7925,5787.87,57.932,(18),0.350264,(0),none
11,5097.26,(14),23.1431,5013.75,366.06,(12),0.0146568,(7),none
12,5963.08,(15),21.3971,4397.01,1049.57,(1),0.00550245,(15),none
13,1305.12,(4),45.7368,4066.28,144.99,(16),0.0183964,(5),none
14,8987.85,(18),17.4286,2974.37,520.0,(6),0.000859727,(18),none
15,6780.51,(16),20.0659,2903.97,710.28,(2),0.00819443,(12),none
16,1433.1,(5),43.6468,2401.26,124.83,(17),0.014887,(6),none
17,3194.81,(10),29.2326,2387.31,192.55,(14),0.0334916,(3),none
18,1594.08,(6),41.3843,1796.19,166.06,(15),0.0115603,(10),none
