Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,134584.0,(78),4.62246,15607.3,12635.0,(10),6.6671,(80),['36-Kr-86_n-tot']
1,2039.32,(11),37.5515,15126.7,767.89,(123),4.11681,(149),['36-Kr-84_n-tot']
2,204243.0,(85),3.75229,13997.7,13880.0,(7),6.60321,(87),['36-Kr-86_n-tot']
3,708902.0,(140),2.01408,12548.1,7966.0,(24),7.60068,(36),['36-Kr-86_n-tot']
4,32282.8,(31),9.43809,12173.8,3560.2,(61),3.04281,(164),['36-Kr-84_n-tot']
5,10527.4,(17),16.5276,11579.4,2513.05,(74),3.33683,(153),['36-Kr-84_n-tot']
6,219610.0,(86),3.61863,10777.3,10224.0,(17),7.77415,(30),['36-Kr-86_n-tot']
7,400197.0,(108),2.68061,9759.46,17202.0,(1),7.0032,(63),['36-Kr-86_n-tot']
8,85869.7,(70),5.78695,9216.81,1101.3,(111),3.29801,(154),['36-Kr-84_n-tot']
9,2747.3,(12),32.3532,8742.17,508.21,(127),8.72396,(19),['36-Kr-84_n-tot']
10,69158.2,(58),6.44834,7188.36,978.3,(115),4.30817,(148),['36-Kr-84_n-tot']
11,64064.0,(53),6.69981,7047.15,942.1,(118),19.4828,(3),['36-Kr-84_n-tot']
12,93870.3,(75),5.53485,7043.71,12586.4,(11),6.73605,(75),['36-Kr-86_n-tot']
13,73407.3,(61),6.25893,7021.51,2663.9,(71),8.1561,(24),['36-Kr-84_n-tot']
14,84110.1,(69),5.84717,6701.4,3416.3,(64),5.86553,(134),['36-Kr-84_n-tot']
15,389793.0,(106),2.71614,6574.77,11529.0,(15),6.02745,(127),['36-Kr-86_n-tot']
16,329714.0,(100),2.95326,6180.25,12015.0,(13),6.22023,(120),['36-Kr-86_n-tot']
17,745065.0,(145),1.96459,5949.18,6536.0,(33),5.93226,(130),['36-Kr-86_n-tot']
18,754875.0,(146),1.95179,5947.76,5619.0,(39),6.38756,(107),['36-Kr-86_n-tot']
19,722927.0,(142),1.99445,5587.81,6654.0,(32),6.0318,(126),['36-Kr-86_n-tot']
20,42983.1,(39),8.17939,5465.71,2359.4,(77),6.91718,(68),['36-Kr-84_n-tot']
21,640981.0,(133),2.1181,5265.05,11152.0,(16),6.01522,(128),['36-Kr-86_n-tot']
22,89978.7,(74),5.65327,5144.23,3359.3,(66),3.29172,(155),['36-Kr-84_n-tot']
23,154894.0,(79),4.30876,4868.07,13258.0,(8),7.12585,(57),['36-Kr-86_n-tot']
24,865069.0,(154),1.82324,4453.8,4989.0,(42),5.88904,(132),['36-Kr-86_n-tot']
25,27738.6,(29),10.1819,4389.98,1451.8,(102),6.60118,(88),['36-Kr-84_n-tot']
26,65962.0,(54),6.60272,4266.48,1745.9,(93),3.02958,(165),['36-Kr-84_n-tot']
27,40357.6,(37),8.44126,4216.3,1768.7,(92),6.45872,(99),['36-Kr-84_n-tot']
28,728793.0,(143),1.9864,4123.61,3769.0,(56),6.59574,(90),['36-Kr-86_n-tot']
29,580736.0,(127),2.22526,4091.24,14646.0,(4),6.2881,(115),['36-Kr-86_n-tot']
30,600645.0,(130),2.18807,3948.75,21464.0,(0),6.33271,(110),['36-Kr-86_n-tot']
31,167141.0,(81),4.1479,3876.19,9271.0,(19),7.6805,(32),['36-Kr-86_n-tot']
32,695138.0,(139),2.03392,3579.38,4457.0,(46),7.40434,(47),['36-Kr-86_n-tot']
33,281792.0,(93),3.19452,3498.37,14079.0,(6),7.42413,(43),['36-Kr-86_n-tot']
34,694055.0,(138),2.03551,3238.42,11569.0,(14),8.13638,(25),['36-Kr-86_n-tot']
35,62641.8,(51),6.77544,3055.77,1424.8,(103),6.0053,(129),['36-Kr-84_n-tot']
36,242345.0,(89),3.44471,3038.64,7628.0,(27),7.41519,(46),['36-Kr-86_n-tot']
37,87289.9,(71),5.73968,2978.16,939.4,(119),8.5716,(20),['36-Kr-84_n-tot']
38,63268.0,(52),6.74183,2930.25,852.1,(121),5.26193,(144),['36-Kr-84_n-tot']
39,869395.0,(155),1.8187,2895.55,3982.0,(51),6.59472,(91),['36-Kr-86_n-tot']
40,53194.6,(48),7.35252,2769.05,2051.4,(84),6.26105,(117),['36-Kr-86_n-tot']
41,717685.0,(141),2.00172,2587.47,4913.0,(43),6.68804,(79),['36-Kr-86_n-tot']
42,553494.0,(125),2.27936,2522.62,6399.0,(35),6.34262,(109),['36-Kr-86_n-tot']
43,57984.6,(49),7.04228,2498.99,3591.0,(59),5.51183,(142),['36-Kr-86_n-tot']
44,68396.8,(56),6.48413,2452.31,1696.7,(94),3.73658,(151),['36-Kr-84_n-tot']
45,80822.1,(68),5.96492,2405.01,1330.2,(105),6.96682,(65),['36-Kr-84_n-tot']
46,232366.0,(88),3.5179,2307.45,8102.0,(22),7.63741,(34),['36-Kr-86_n-tot']
47,74029.7,(62),6.23256,2019.63,533.3,(125),7.27064,(53),['36-Kr-84_n-tot']
48,354866.0,(102),2.84667,1926.08,7665.0,(26),7.04186,(61),['36-Kr-86_n-tot']
49,801310.0,(148),1.89439,1869.54,12526.0,(12),7.41527,(45),['36-Kr-86_n-tot']
50,76618.2,(64),6.12638,1838.5,1116.7,(110),8.72946,(17),['36-Kr-84_n-tot']
51,77522.4,(65),6.09054,1813.04,1318.3,(106),7.83407,(28),['36-Kr-84_n-tot']
52,650616.0,(135),2.10236,1736.39,7730.0,(25),6.97171,(64),['36-Kr-86_n-tot']
53,561778.0,(126),2.26249,1728.88,6496.0,(34),6.25967,(118),['36-Kr-86_n-tot']
54,227422.0,(87),3.55593,1678.74,2962.0,(69),6.64065,(85),['36-Kr-86_n-tot']
55,70584.6,(59),6.38285,1607.39,503.4,(128),18.708,(4),['36-Kr-84_n-tot']
56,11364.8,(18),15.907,1597.18,271.4,(139),15.414,(5),['36-Kr-84_n-tot']
57,75234.5,(63),6.18246,1590.21,497.7,(129),4.38111,(147),['36-Kr-84_n-tot']
58,918336.0,(163),1.76957,1547.85,3636.0,(58),7.37668,(50),['36-Kr-86_n-tot']
59,343006.0,(101),2.89547,1469.83,8847.0,(20),7.22085,(55),['36-Kr-86_n-tot']
60,739765.0,(144),1.97162,1443.28,3963.0,(52),6.58778,(92),['36-Kr-86_n-tot']
61,1378.64,(10),45.6714,1420.17,232.13,(142),4.52502,(146),['36-Kr-84_n-tot']
62,17237.6,(21),12.9161,1384.98,520.9,(126),6.93865,(67),['36-Kr-84_n-tot']
