Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1408.17,(9),45.19,3707.71,15.48,(7),700.484,(2),['37-Rb-85_n-tot']
1,526.751,(2),73.8868,3082.73,6.407,(20),1392.69,(1),['37-Rb-85_n-tot']
2,2398.39,(14),34.6266,2177.67,16.29,(6),412.857,(6),['37-Rb-85_n-tot']
3,4877.56,(22),24.2811,1491.56,20.66,(2),204.763,(13),['37-Rb-85_n-tot']
4,115.0,(0),158.132,1453.98,3.596,(26),1415.09,(0),['37-Rb-87_n-tot']
5,4211.52,(21),26.1307,1377.31,23.5,(0),172.029,(15),['37-Rb-85_n-tot']
6,1203.05,(8),48.8909,1330.61,7.68,(16),485.616,(3),['37-Rb-85_n-tot']
7,4021.3,(20),26.7415,1142.94,22.92,(1),159.512,(18),['37-Rb-85_n-tot']
8,1150.09,(7),50.0039,1016.22,10.29,(11),287.734,(8),['37-Rb-87_n-tot']
9,1042.08,(6),52.5314,1004.2,7.52,(17),423.466,(5),['37-Rb-85_n-tot']
10,2994.1,(17),30.9911,899.854,9.84,(13),242.05,(10),['37-Rb-85_n-tot']
11,1725.2,(11),40.8272,865.345,13.45,(8),198.705,(14),['37-Rb-87_n-tot']
12,7167.89,(26),20.0297,835.367,19.13,(4),120.472,(22),['37-Rb-85_n-tot']
13,5869.7,(25),22.1341,793.246,20.61,(3),112.3,(24),['37-Rb-85_n-tot']
14,1984.11,(12),38.0703,786.896,8.87,(15),251.51,(9),['37-Rb-85_n-tot']
15,2583.29,(15),33.3644,757.529,9.35,(14),217.705,(12),['37-Rb-85_n-tot']
16,3210.25,(19),29.9296,737.601,12.4,(9),166.288,(17),['37-Rb-85_n-tot']
17,460.029,(1),79.0637,734.373,4.622,(24),435.306,(4),['37-Rb-87_n-tot']
18,3008.48,(18),30.9169,638.332,7.39,(18),220.992,(11),['37-Rb-85_n-tot']
19,5599.49,(24),22.6619,632.406,16.68,(5),117.214,(23),['37-Rb-85_n-tot']
20,654.919,(3),66.2637,536.808,4.86,(23),305.878,(7),['37-Rb-85_n-tot']
21,2760.28,(16),32.277,509.264,10.95,(10),129.303,(21),['37-Rb-87_n-tot']
22,5149.49,(23),23.6313,435.124,10.22,(12),108.713,(25),['37-Rb-85_n-tot']
23,1670.11,(10),41.4951,309.823,4.98,(22),148.607,(19),['37-Rb-85_n-tot']
24,920.071,(5),55.9061,287.404,4.426,(25),169.121,(16),['37-Rb-87_n-tot']
25,2070.13,(13),37.271,277.981,6.68,(19),105.584,(26),['37-Rb-87_n-tot']
26,805.02,(4),59.7677,233.759,6.129,(21),139.781,(20),['37-Rb-87_n-tot']
