Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,483.171,(1),77.147,131165.0,121.337,(1),8.05344,(0),none
1,3326.27,(9),29.403,93875.2,342.86,(0),0.42034,(8),none
2,337.354,(0),92.3266,62984.1,63.587,(4),0.928485,(7),none
3,708.29,(4),63.7183,26634.9,74.994,(3),6.25291,(2),none
4,2969.88,(8),31.1172,11068.9,81.27,(2),0.295713,(9),none
5,625.825,(3),67.7865,6225.8,22.762,(6),2.27852,(4),none
6,2242.83,(7),35.8073,992.309,17.05,(7),1.64784,(6),none
7,1593.83,(5),42.4765,952.123,14.52,(8),2.23915,(5),none
8,1974.82,(6),38.1598,415.23,11.51,(9),2.69872,(3),none
9,510.798,(2),75.0318,319.847,27.299,(5),7.40568,(1),none
