Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1278.49,(1),46.2106,40885.3,776.42,(6),0.00393623,(3),none
1,4178.44,(4),25.5613,33492.3,1247.13,(2),0.000860517,(11),none
2,2695.85,(3),31.8231,15689.1,660.88,(7),0.00233206,(6),none
3,2110.98,(2),35.9624,14574.5,1218.74,(3),0.00106861,(9),none
4,7213.57,(11),19.4543,11003.0,1496.96,(1),0.000196246,(21),none
5,8708.15,(13),17.7063,7109.3,1076.55,(5),0.000332734,(19),none
6,4938.93,(5),23.5112,5701.62,631.68,(9),0.000499508,(16),none
7,6032.3,(10),21.274,3100.02,619.53,(10),0.000280388,(20),none
8,8133.5,(12),18.3211,2184.35,330.63,(15),0.000675788,(12),none
9,9596.59,(14),16.8668,2047.53,635.06,(8),0.000970361,(10),none
10,13347.0,(18),14.3021,748.202,1123.4,(4),0.000406516,(17),none
11,5326.12,(6),22.6405,691.261,279.29,(16),0.000511402,(15),none
12,10609.8,(15),16.0412,643.405,337.2,(14),0.00256701,(4),none
13,11072.9,(16),15.7022,512.275,228.1,(18),0.00555936,(1),none
14,14137.0,(19),13.8967,444.929,450.3,(11),0.000657858,(13),none
15,11905.0,(17),15.1435,350.077,414.2,(13),0.00416282,(2),none
16,16719.1,(21),12.7786,272.699,2232.9,(0),0.000594821,(14),none
17,5704.49,(9),21.8767,256.622,259.61,(17),0.000358693,(18),none
18,5551.14,(8),22.1768,162.691,68.26,(20),0.00165733,(7),none
19,5455.38,(7),22.3706,139.068,59.61,(21),0.00251738,(5),none
20,118.75,(0),151.626,56.0287,439.411,(12),0.0227824,(0),none
21,14491.2,(20),13.7258,47.3392,118.6,(19),0.00120847,(8),none
