Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1.335e+03,(4),4.641e+01,3.727e+03,1.460e+01,(7),7.685e+02,(2),none
1,6.173e+03,(19),2.158e+01,2.193e+03,3.759e+01,(0),1.803e+02,(6),none
2,6.078e+03,(18),2.175e+01,2.023e+03,2.914e+01,(1),2.058e+02,(5),none
3,6.483e+02,(1),6.660e+01,1.520e+03,4.893e+00,(17),8.234e+02,(1),none
4,4.049e+03,(9),2.665e+01,1.417e+03,1.734e+01,(3),2.446e+02,(4),none
5,4.994e+03,(13),2.400e+01,1.069e+03,1.672e+01,(4),1.791e+02,(7),none
6,4.781e+03,(11),2.452e+01,9.201e+02,1.594e+01,(5),1.615e+02,(8),none
7,7.376e+02,(3),6.244e+01,8.317e+02,4.542e+00,(18),4.673e+02,(3),none
8,7.189e+03,(20),2.000e+01,8.295e+02,2.047e+01,(2),1.165e+02,(17),none
9,5.796e+03,(17),2.227e+01,8.057e+02,1.577e+01,(6),1.402e+02,(11),none
10,5.211e+03,(14),2.349e+01,7.264e+02,1.392e+01,(9),1.416e+02,(9),none
11,5.519e+03,(16),2.283e+01,7.145e+02,1.445e+01,(8),1.341e+02,(12),none
12,4.981e+03,(12),2.403e+01,5.855e+02,1.213e+01,(11),1.254e+02,(14),none
13,5.367e+03,(15),2.315e+01,5.805e+02,1.323e+01,(10),1.174e+02,(16),none
14,4.441e+03,(10),2.545e+01,5.670e+02,1.149e+01,(12),1.296e+02,(13),none
15,3.671e+03,(8),2.799e+01,4.707e+02,1.021e+01,(13),1.215e+02,(15),none
16,2.112e+03,(6),3.690e+01,4.027e+02,7.380e+00,(15),1.415e+02,(10),none
17,2.756e+03,(7),3.230e+01,3.285e+02,8.100e+00,(14),1.048e+02,(19),none
18,3.530e+00,(0),9.026e+02,2.582e+02,7.111e-01,(20),1.087e+03,(0),none
19,1.402e+03,(5),4.529e+01,2.272e+02,5.620e+00,(16),1.075e+02,(18),none
20,6.759e+02,(2),6.523e+01,1.496e+02,3.780e+00,(19),1.019e+02,(20),none
