Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,22164.1,(18),11.3905,84178.5,2719.7,(35),5.062,(55),none
1,9266.18,(7),17.6165,74074.2,1866.56,(37),5.35095,(47),none
2,3323.56,(2),29.4149,68571.5,767.58,(50),5.21699,(53),none
3,32518.4,(28),9.40384,68258.8,2755.4,(34),5.68665,(41),none
4,26206.7,(22),10.4752,52982.7,1713.4,(40),3.43968,(69),none
5,12779.0,(10),15.001,46350.2,1393.4,(42),5.59907,(43),none
6,328000.0,(52),2.96096,43784.3,26000.0,(11),5.2748,(50),none
7,338000.0,(53),2.91683,43784.3,26000.0,(12),6.794,(26),none
8,33749.0,(29),9.2308,39208.5,1846.0,(39),5.43551,(45),none
9,40757.3,(35),8.39976,30636.7,2625.8,(36),4.49041,(62),none
10,206000.0,(43),3.73625,26124.3,30000.0,(8),6.2149,(35),none
11,11382.4,(9),15.8947,22725.7,1068.8,(47),3.98437,(66),none
12,23562.1,(19),11.0475,18207.6,638.9,(51),4.85797,(59),none
13,24329.7,(21),10.8718,17571.8,417.2,(62),4.74174,(61),none
14,28880.7,(25),9.97851,17380.5,1090.2,(46),4.30431,(63),none
15,19857.9,(17),12.0338,15009.6,1700.2,(41),5.20081,(54),none
16,15077.8,(13),13.8102,14412.8,969.7,(49),3.91004,(67),none
17,28157.9,(24),10.1058,13792.8,1263.2,(44),4.76037,(60),none
18,16537.1,(14),13.1868,13393.7,1301.1,(43),5.65716,(42),none
19,404000.0,(56),2.66796,12504.5,17000.0,(20),6.3243,(34),none
20,504000.0,(65),2.38866,11019.2,15000.0,(25),7.2344,(18),none
21,513000.0,(66),2.36761,11019.2,15000.0,(26),7.695,(9),none
22,257000.0,(47),3.34505,9687.35,43000.0,(1),7.564,(13),none
23,23834.9,(20),10.9841,9660.4,426.7,(60),4.93517,(57),none
24,9622.98,(8),17.2868,9588.08,318.22,(65),5.24927,(51),none
25,589000.0,(73),2.20959,8820.84,28000.0,(9),6.4735,(29),none
26,602000.0,(74),2.1856,8820.84,28000.0,(10),5.9926,(38),none
27,30080.7,(27),9.77745,8502.53,419.6,(61),9.5804,(2),none
28,357000.0,(54),2.83815,8477.73,17000.0,(19),6.3444,(33),none
29,465000.0,(61),2.48681,8376.57,31000.0,(5),7.3018,(17),none
30,475000.0,(62),2.4605,8376.57,31000.0,(6),7.3323,(16),none
31,486000.0,(63),2.43249,8376.57,31000.0,(7),6.7923,(27),none
32,161000.0,(42),4.22627,7599.8,18000.0,(17),5.8252,(40),none
33,303000.0,(51),3.08069,6612.98,17000.0,(18),7.8751,(6),none
34,14116.2,(12),14.2729,6466.24,432.1,(59),5.22533,(52),none
35,35307.4,(30),9.02479,5860.28,545.7,(53),6.13258,(36),none
36,376000.0,(55),2.76551,4741.81,15000.0,(24),6.8949,(25),none
37,41476.8,(36),8.32659,4721.01,493.5,(56),3.74062,(68),none
38,44515.1,(39),8.03741,4210.94,1861.7,(38),5.39485,(46),none
39,29526.7,(26),9.86875,3553.48,199.4,(67),5.98041,(39),none
40,226000.0,(44),3.5671,3543.02,35000.0,(2),7.8065,(7),none
41,228000.0,(45),3.55142,3543.02,35000.0,(3),6.375,(32),none
42,242000.0,(46),3.44716,3543.02,35000.0,(4),6.9232,(24),none
43,17065.4,(15),12.9811,3261.6,530.3,(55),5.50597,(44),none
44,38228.5,(33),8.67314,3197.29,222.9,(66),6.42291,(31),none
45,41999.3,(37),8.27463,3129.71,385.6,(63),1.19871,(74),none
46,26928.2,(23),10.3339,2946.13,447.0,(58),3.35479,(70),none
47,517000.0,(67),2.35844,2934.77,13000.0,(29),7.6871,(10),none
48,524000.0,(68),2.34263,2934.77,13000.0,(30),8.0649,(3),none
49,42665.7,(38),8.20976,2810.99,478.6,(57),7.39714,(14),none
