Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,19212.7,(14),11.9206,1944.18,1700.2,(2),0.000113546,(17),['39-Y-89_n-g']
1,17910.9,(13),12.3462,1739.28,1459.8,(3),9.31763e-05,(18),['39-Y-89_n-g']
2,6054.6,(5),21.2348,1134.9,589.14,(10),0.000169755,(13),['39-Y-89_n-g']
3,28499.4,(17),9.78752,702.527,1093.3,(6),0.0010385,(4),['39-Y-89_n-g']
4,10170.7,(8),16.3838,638.803,1826.95,(1),0.000423141,(7),['39-Y-89_n-g']
5,16860.0,(12),12.7251,636.28,530.0,(11),0.0002843,(9),['39-Y-89_n-g']
6,9609.07,(7),16.8558,384.637,318.66,(14),0.00151192,(2),['39-Y-89_n-g']
7,13936.4,(10),13.9964,279.108,433.3,(12),0.00111765,(3),['39-Y-89_n-g']
8,23535.6,(15),10.7703,240.508,638.9,(9),0.0017767,(1),['39-Y-89_n-g']
9,27462.2,(16),9.97064,210.665,1264.5,(5),0.000372653,(8),['39-Y-89_n-g']
10,13522.2,(9),14.2091,134.91,752.3,(7),0.000652662,(6),['39-Y-89_n-g']
11,2602.36,(1),32.3897,104.015,6.88,(18),5.11384,(0),['39-Y-89_n-g']
12,36810.3,(18),8.61204,45.533,2483.6,(0),0.000155507,(14),['39-Y-89_n-g']
13,3200.11,(2),29.2084,39.3367,287.75,(15),0.000696139,(5),['39-Y-89_n-g']
14,16133.4,(11),13.0085,31.4873,1313.5,(4),0.000184034,(12),['39-Y-89_n-g']
15,5178.71,(4),22.9604,0.351831,699.58,(8),0.000119598,(16),['39-Y-89_n-g']
16,4429.44,(3),24.8265,0.0129864,329.21,(13),0.00013035,(15),['39-Y-89_n-g']
17,1437.5,(0),43.58,0.00174425,283.51,(16),0.000247767,(11),['39-Y-89_n-g']
18,8677.88,(6),17.7372,0.00115775,214.43,(17),0.00026335,(10),['39-Y-89_n-g']
