Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,5635.24,(1),22.0107,371.455,3217.26,(6),0.000109723,(12),none
1,8057.03,(2),18.4079,270.431,1547.85,(9),0.000336682,(8),none
2,29946.3,(12),9.54815,127.576,6350.1,(2),9.76698e-05,(14),none
3,24042.7,(9),10.6561,109.394,6652.5,(1),7.73554e-05,(15),none
4,36989.3,(13),8.59118,98.0361,4018.4,(4),0.00055591,(5),none
5,28040.8,(11),9.86724,78.7822,2233.1,(8),0.000108394,(13),none
6,3968.34,(0),26.2293,64.065,124.28,(14),0.0171766,(1),none
7,9508.92,(3),16.9444,56.0721,714.24,(12),0.000342243,(7),none
8,14807.7,(6),13.5783,53.0062,3304.6,(5),0.000363275,(6),none
9,51626.3,(14),7.27202,38.6301,8067.7,(0),0.00016014,(10),none
10,19240.9,(8),11.9118,32.6422,567.3,(13),0.00107219,(3),none
11,75232.9,(15),6.02403,11.9633,948.9,(11),0.000272195,(9),none
12,88336.1,(16),5.55932,10.9001,4502.6,(3),4.55632e-05,(16),none
13,26489.9,(10),10.152,10.736,46.5,(15),0.0379201,(0),none
14,18858.7,(7),12.0319,9.30905,1357.6,(10),0.000853096,(4),none
15,10690.0,(4),15.9809,6.06155,2584.48,(7),0.000128696,(11),none
16,12421.5,(5),14.8253,2.49248,29.4,(16),0.00272895,(2),none
