Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,19390.0,(12),12.1781,31097.6,829.7,(11),136.382,(14),none
1,43112.0,(22),8.16715,27251.2,1448.4,(3),127.836,(17),none
2,32719.0,(19),9.37497,17780.5,1182.0,(7),166.383,(9),none
3,17903.0,(11),12.6738,17610.2,1427.3,(5),291.833,(5),none
4,7073.12,(3),20.1634,17180.3,682.86,(14),367.621,(3),none
5,41561.4,(21),8.31811,13153.5,1436.0,(4),132.325,(16),none
6,37839.0,(20),8.71766,9319.89,1013.9,(9),142.168,(12),none
7,23853.0,(16),10.9799,9196.28,788.0,(12),216.9,(7),none
8,31611.1,(18),9.53784,8999.3,769.5,(13),167.09,(8),none
9,46061.6,(23),7.90133,7312.15,1901.2,(2),120.022,(18),none
10,12510.0,(7),15.1615,6962.96,520.2,(16),363.744,(4),none
11,5761.2,(1),22.3415,6743.58,95.94,(24),430.555,(2),none
12,20236.0,(14),11.9209,5593.1,1104.7,(8),141.278,(13),none
13,52405.0,(24),7.4077,5525.6,2362.5,(0),100.224,(24),none
14,24389.0,(17),10.8586,4513.62,625.6,(15),109.965,(22),none
15,22282.6,(15),11.3602,4361.87,430.0,(17),101.773,(23),none
16,19857.4,(13),12.034,3549.54,218.0,(22),116.461,(20),none
17,2241.18,(0),35.8205,3396.81,255.69,(21),545.878,(0),none
18,15389.0,(9),13.6699,2182.89,426.5,(18),135.386,(15),none
19,17372.0,(10),12.866,1898.09,346.9,(20),117.598,(19),none
20,10135.4,(5),16.8442,1853.29,362.2,(19),228.904,(6),none
21,14231.7,(8),14.2148,1383.63,1010.5,(10),151.025,(11),none
22,12037.0,(6),15.4565,1046.33,188.4,(23),114.03,(21),none
23,5817.7,(2),22.2328,0.0,1184.43,(6),520.814,(1),none
24,7712.3,(4),19.3098,0.0,2264.9,(1),151.114,(10),none
