Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,229.418,(6),109.088,6867.78,49.636,(65),0.0133658,(168),['41-Nb-93_n-g']
1,6994.07,(190),19.7572,4956.36,1524.0,(3),0.0330829,(127),['41-Nb-93_n-g']
2,145.475,(5),136.992,3059.53,73.446,(48),0.0106475,(181),['41-Nb-93_n-g']
3,1413.56,(40),43.9474,2843.6,59.13,(57),0.0494447,(109),['41-Nb-93_n-g']
4,1921.54,(53),37.6935,2783.1,111.8,(29),0.00864322,(190),['41-Nb-93_n-g']
5,972.408,(27),52.9866,2022.53,56.15,(58),0.03978,(117),['41-Nb-93_n-g']
6,3730.17,(104),27.0537,1594.89,87.93,(34),0.027128,(138),['41-Nb-93_n-g']
7,1161.19,(32),48.4885,1499.74,26.46,(129),0.116697,(68),['41-Nb-93_n-g']
8,388.972,(12),83.7783,1473.22,14.031,(181),0.123925,(64),['41-Nb-93_n-g']
9,2052.83,(57),36.4682,1374.79,46.5,(70),0.047402,(110),['41-Nb-93_n-g']
10,367.381,(11),86.205,1342.25,13.517,(185),0.107516,(71),['41-Nb-93_n-g']
11,1604.41,(46),41.2509,1272.64,39.1,(90),0.0452571,(112),['41-Nb-93_n-g']
12,1079.73,(29),50.2844,1174.55,91.56,(32),0.012229,(171),['41-Nb-93_n-g']
13,917.069,(25),54.5619,1067.75,22.55,(141),0.0860771,(82),['41-Nb-93_n-g']
14,728.234,(22),61.2287,1065.48,20.037,(148),0.0991517,(74),['41-Nb-93_n-g']
15,27.4495,(0),315.372,1042.47,35.913,(101),0.026601,(139),['41-Nb-93_n-g']
16,2586.39,(75),32.4895,925.045,66.89,(53),0.0328692,(128),['41-Nb-93_n-g']
17,948.319,(26),53.6554,915.901,17.943,(162),0.182867,(49),['41-Nb-93_n-g']
18,5268.55,(145),22.7638,892.54,115.99,(28),0.0140312,(165),['41-Nb-93_n-g']
19,352.48,(9),88.0083,867.667,27.286,(126),0.0307271,(132),['41-Nb-93_n-g']
20,5942.79,(161),21.4336,856.391,100.87,(30),0.0235145,(147),['41-Nb-93_n-g']
21,1369.57,(39),44.6476,836.501,37.92,(93),0.031072,(131),['41-Nb-93_n-g']
22,3562.85,(100),27.6816,831.82,66.95,(52),0.0284652,(135),['41-Nb-93_n-g']
23,2858.74,(81),30.9032,810.714,90.91,(33),0.00515856,(209),['41-Nb-93_n-g']
24,6684.22,(180),20.21,800.425,79.88,(41),0.0394988,(118),['41-Nb-93_n-g']
25,2101.43,(59),36.044,799.931,42.66,(81),0.0246677,(145),['41-Nb-93_n-g']
26,3310.43,(93),28.7176,780.538,73.96,(46),0.010044,(184),['41-Nb-93_n-g']
27,5631.88,(152),22.0173,765.711,79.88,(40),0.0496424,(108),['41-Nb-93_n-g']
28,753.76,(23),60.183,750.307,16.277,(168),0.0929925,(78),['41-Nb-93_n-g']
29,1999.29,(56),36.9533,735.415,31.27,(110),0.0526499,(105),['41-Nb-93_n-g']
30,1135.26,(31),49.0392,722.528,21.26,(146),0.0750877,(91),['41-Nb-93_n-g']
31,1306.97,(37),45.7044,721.681,67.6,(51),0.00883734,(188),['41-Nb-93_n-g']
32,1510.54,(42),42.5133,715.637,62.08,(55),0.0252076,(143),['41-Nb-93_n-g']
33,1213.71,(34),47.4278,712.157,34.88,(103),0.0257758,(141),['41-Nb-93_n-g']
34,1188.31,(33),47.932,705.629,19.17,(155),0.128096,(63),['41-Nb-93_n-g']
35,2268.48,(64),34.6915,650.311,78.1,(42),0.00860409,(191),['41-Nb-93_n-g']
36,3876.15,(107),26.5394,643.706,76.0,(44),0.0156665,(161),['41-Nb-93_n-g']
37,1819.09,(52),38.7404,643.018,21.32,(145),0.187897,(47),['41-Nb-93_n-g']
38,276.745,(7),99.3232,641.77,75.027,(45),0.00604121,(204),['41-Nb-93_n-g']
39,1739.55,(50),39.6161,634.035,54.48,(60),0.00942026,(186),['41-Nb-93_n-g']
40,1782.35,(51),39.1376,607.398,44.19,(77),0.0201255,(152),['41-Nb-93_n-g']
41,434.865,(13),79.2343,603.691,67.774,(50),0.00667757,(198),['41-Nb-93_n-g']
42,481.442,(14),75.3041,553.584,40.328,(86),0.0064468,(202),['41-Nb-93_n-g']
43,1636.51,(47),40.8443,547.512,38.58,(92),0.0188006,(153),['41-Nb-93_n-g']
44,1562.4,(45),41.8018,546.393,19.82,(153),0.145309,(55),['41-Nb-93_n-g']
45,553.035,(15),70.261,537.929,98.503,(31),0.00257274,(213),['41-Nb-93_n-g']
46,4576.33,(128),24.4249,528.396,41.89,(83),0.176407,(50),['41-Nb-93_n-g']
47,324.397,(8),91.7386,526.633,16.447,(167),0.050413,(106),['41-Nb-93_n-g']
48,2490.1,(72),33.1118,515.802,44.99,(75),0.0214636,(151),['41-Nb-93_n-g']
49,1463.49,(41),43.1913,511.414,15.34,(175),0.510521,(13),['41-Nb-93_n-g']
50,110.493,(4),157.189,509.973,13.145,(187),0.0367096,(122),['41-Nb-93_n-g']
51,2176.63,(62),35.4159,491.401,29.66,(121),0.0336315,(126),['41-Nb-93_n-g']
52,3958.06,(110),26.2633,474.196,30.91,(115),0.100875,(73),['41-Nb-93_n-g']
53,5883.18,(160),21.5419,465.677,39.88,(88),0.0807183,(85),['41-Nb-93_n-g']
54,2207.7,(63),35.1658,464.355,45.38,(74),0.0124499,(170),['41-Nb-93_n-g']
55,693.017,(21),62.7652,433.37,43.092,(79),0.0114093,(176),['41-Nb-93_n-g']
56,5366.01,(146),22.5561,414.798,128.0,(27),0.00668479,(197),['41-Nb-93_n-g']
57,3804.42,(105),26.7884,413.778,50.92,(64),0.0145936,(163),['41-Nb-93_n-g']
58,6030.21,(162),21.2777,398.071,47.95,(67),0.0931131,(77),['41-Nb-93_n-g']
59,2676.95,(77),31.9353,373.485,31.91,(108),0.0819812,(84),['41-Nb-93_n-g']
60,4204.78,(117),25.4812,369.925,86.92,(35),0.00483,(211),['41-Nb-93_n-g']
61,2978.52,(84),30.2754,362.476,33.95,(106),0.024128,(146),['41-Nb-93_n-g']
62,2447.22,(70),33.4006,359.725,33.97,(105),0.0915513,(79),['41-Nb-93_n-g']
63,653.775,(19),64.6214,338.907,31.166,(111),0.00890575,(187),['41-Nb-93_n-g']
64,2132.2,(60),35.783,338.782,30.54,(116),0.034779,(124),['41-Nb-93_n-g']
65,4255.62,(118),25.3285,334.244,62.96,(54),0.00538064,(208),['41-Nb-93_n-g']
66,4650.66,(129),24.2289,325.281,60.98,(56),0.0256815,(142),['41-Nb-93_n-g']
67,4049.6,(114),25.9648,323.102,27.89,(125),0.122078,(66),['41-Nb-93_n-g']
68,6148.45,(166),21.0721,321.16,54.94,(59),0.0165211,(159),['41-Nb-93_n-g']
69,5526.22,(150),22.2268,316.704,39.84,(89),0.0613907,(98),['41-Nb-93_n-g']
70,825.583,(24),57.5056,309.458,155.063,(25),0.00553163,(207),['41-Nb-93_n-g']
71,2354.78,(67),34.0499,308.627,19.97,(150),0.103806,(72),['41-Nb-93_n-g']
72,3179.02,(89),29.3052,290.121,79.94,(39),0.00314782,(212),['41-Nb-93_n-g']
73,1266.19,(36),46.4346,288.613,39.98,(87),0.0112106,(178),['41-Nb-93_n-g']
74,1691.85,(49),40.1707,282.634,35.46,(102),0.0103305,(183),['41-Nb-93_n-g']
75,2701.95,(78),31.7872,279.375,22.93,(140),0.0551848,(104),['41-Nb-93_n-g']
76,2523.89,(73),32.8894,276.739,35.96,(99),0.0183228,(155),['41-Nb-93_n-g']
77,6340.33,(171),20.7508,269.898,84.9,(36),0.00768768,(194),['41-Nb-93_n-g']
78,4742.68,(131),23.9927,266.355,82.92,(37),0.0059162,(205),['41-Nb-93_n-g']
79,4009.5,(112),26.0943,264.393,39.01,(91),0.0406892,(116),['41-Nb-93_n-g']
80,5760.4,(156),21.7703,262.254,71.9,(49),0.0161687,(160),['41-Nb-93_n-g']
81,5671.81,(153),21.9397,250.127,31.82,(109),0.140473,(57),['41-Nb-93_n-g']
82,2745.54,(79),31.5338,246.63,42.98,(80),0.0112305,(177),['41-Nb-93_n-g']
83,2396.74,(69),33.7505,245.201,28.89,(123),0.0885157,(80),['41-Nb-93_n-g']
84,6598.06,(179),20.3415,244.915,43.91,(78),0.0713863,(93),['41-Nb-93_n-g']
85,6954.21,(189),19.8138,242.187,40.95,(84),0.0262907,(140),['41-Nb-93_n-g']
86,5843.46,(159),21.615,236.172,26.83,(128),0.0790764,(88),['41-Nb-93_n-g']
87,76.3161,(2),189.14,235.995,52.1232,(62),0.0111191,(179),['41-Nb-93_n-g']
88,2558.51,(74),32.6661,234.197,30.95,(114),0.0229819,(149),['41-Nb-93_n-g']
