Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2421.2,(12),34.4631,1187.11,10.31,(8),312.258,(5),['41-Nb-93_n-tot']
1,2641.17,(13),32.9968,1074.05,9.67,(10),293.5,(6),['41-Nb-93_n-tot']
2,4599.39,(19),25.0046,886.406,14.65,(1),171.722,(13),['41-Nb-93_n-tot']
3,5153.54,(20),23.622,871.494,12.47,(5),198.348,(11),['41-Nb-93_n-tot']
4,1452.6,(8),44.4935,861.477,6.2,(15),350.058,(3),['41-Nb-93_n-tot']
5,3675.24,(17),27.9722,844.744,12.67,(4),196.336,(12),['41-Nb-93_n-tot']
6,5579.46,(21),22.7025,798.331,16.75,(0),140.931,(16),['41-Nb-93_n-tot']
7,1009.62,(4),53.3692,767.688,4.42,(21),427.514,(1),['41-Nb-93_n-tot']
8,935.471,(3),55.444,749.128,4.513,(20),408.575,(2),['41-Nb-93_n-tot']
9,6003.34,(23),21.8863,724.48,13.95,(2),137.989,(17),['41-Nb-93_n-tot']
10,1834.24,(9),39.5951,638.179,9.17,(12),227.161,(8),['41-Nb-93_n-tot']
11,4069.29,(18),26.5834,634.512,11.51,(6),157.863,(14),['41-Nb-93_n-tot']
12,6532.49,(24),20.9812,627.833,12.72,(3),125.068,(19),['41-Nb-93_n-tot']
13,378.498,(1),87.1642,583.794,2.79,(23),514.708,(0),['41-Nb-93_n-tot']
14,2023.81,(10),37.6951,571.147,7.22,(14),209.879,(10),['41-Nb-93_n-tot']
15,5691.47,(22),22.478,454.165,11.02,(7),106.557,(23),['41-Nb-93_n-tot']
16,741.445,(2),62.2774,428.302,3.885,(22),271.958,(7),['41-Nb-93_n-tot']
17,1175.76,(6),49.455,420.116,4.84,(18),214.645,(9),['41-Nb-93_n-tot']
18,3609.0,(16),28.2278,414.585,9.58,(11),117.071,(21),['41-Nb-93_n-tot']
19,3396.21,(14),29.0986,399.419,7.54,(13),128.751,(18),['41-Nb-93_n-tot']
20,3525.29,(15),28.5609,364.557,9.69,(9),104.235,(24),['41-Nb-93_n-tot']
21,194.27,(0),121.665,290.921,2.768,(24),327.165,(4),['41-Nb-93_n-tot']
22,2341.09,(11),35.0478,282.416,5.88,(16),119.771,(20),['41-Nb-93_n-tot']
23,1149.28,(5),50.0215,266.704,4.56,(19),147.827,(15),['41-Nb-93_n-tot']
24,1393.38,(7),45.4292,226.583,5.55,(17),111.083,(22),['41-Nb-93_n-tot']
