Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,364.947,(2),86.492,122066.0,287.433,(27),0.00217824,(33),none
1,4150.27,(13),25.6479,5350.77,557.69,(3),0.00108648,(44),none
2,837.044,(3),57.1106,5318.4,547.218,(4),0.00039911,(63),none
3,6291.61,(22),20.831,4598.0,518.12,(6),0.000974373,(45),none
4,6855.54,(23),19.9558,3755.94,488.15,(8),0.000919975,(46),none
5,2696.08,(9),31.8218,2019.45,292.61,(26),0.00280349,(27),none
6,1600.03,(6),41.3073,1921.35,583.25,(2),0.000644697,(53),none
7,3446.21,(11),28.1462,1912.31,252.44,(33),0.0166431,(9),none
8,2877.6,(10),30.8018,1727.76,428.84,(9),0.00270612,(28),none
9,8853.75,(33),17.5601,1703.49,371.29,(16),0.00167019,(38),none
10,8602.51,(32),17.8147,1668.33,285.5,(28),0.00202959,(34),none
11,5884.48,(21),21.5396,1423.37,240.63,(35),0.00164958,(39),none
12,5519.12,(19),22.2411,1418.31,200.81,(41),0.00384117,(23),none
13,5734.97,(20),21.8185,1405.24,176.0,(42),0.00236823,(30),none
14,9189.45,(34),17.2364,1363.12,295.84,(24),0.0065001,(16),none
15,9606.04,(35),16.8585,1330.92,294.56,(25),0.00664781,(15),none
16,3717.96,(12),27.0981,1280.7,170.12,(43),0.0123807,(12),none
17,13276.9,(47),14.3398,1253.37,517.2,(7),0.000230037,(68),none
18,2468.24,(8),33.2581,1222.79,117.39,(55),0.0203113,(6),none
19,14279.0,(51),13.8274,1052.35,389.6,(14),0.000473675,(61),none
20,18780.0,(69),12.0571,974.552,420.7,(11),0.000634231,(54),none
21,12722.8,(46),14.6487,963.262,754.0,(0),0.00015369,(69),none
22,16057.0,(58),13.0394,929.69,340.3,(18),0.00299095,(25),none
23,10752.6,(39),15.9343,922.946,586.7,(1),0.000869915,(48),none
24,11617.0,(43),15.3301,918.03,408.0,(13),0.000336543,(66),none
25,8182.74,(30),18.2659,865.207,296.27,(23),0.0023051,(31),none
26,7302.58,(24),19.3354,856.654,311.81,(21),0.000651624,(52),none
27,4808.24,(16),23.8285,852.524,381.5,(15),0.000477455,(59),none
28,17347.1,(64),12.5452,829.844,534.3,(5),0.000305381,(67),none
29,5023.94,(17),23.3114,792.434,426.21,(10),0.000626898,(55),none
30,15127.7,(54),13.434,779.872,314.1,(20),0.00219466,(32),none
31,4511.89,(15),24.5987,774.653,142.55,(48),0.00154112,(41),none
32,9786.31,(36),16.7025,677.545,221.27,(38),0.0071229,(14),none
33,13759.7,(48),14.086,664.259,266.9,(30),0.000687261,(50),none
34,1340.59,(5),45.1276,619.69,226.56,(37),0.000477006,(60),none
35,4373.01,(14),24.9862,573.592,89.34,(60),0.00508917,(22),none
36,1100.85,(4),49.7997,549.114,297.809,(22),0.000387708,(65),none
37,7821.29,(27),18.6832,523.605,126.65,(54),0.00631301,(17),none
38,10233.4,(38),16.3336,510.911,149.6,(47),0.0131405,(11),none
39,27.5,(0),315.083,491.754,112.51,(56),0.0284817,(5),none
40,11420.4,(42),15.4614,488.551,416.6,(12),0.000396767,(64),none
41,14774.3,(53),13.5937,464.072,327.9,(19),0.000578189,(58),none
42,16606.5,(61),12.8219,462.549,263.0,(31),0.000901021,(47),none
43,8370.37,(31),18.06,434.172,79.36,(61),0.0193926,(7),none
44,7471.79,(25),19.1152,423.603,352.99,(17),0.000616329,(56),none
45,15649.9,(57),13.2079,416.286,204.3,(39),0.00609425,(18),none
46,18383.7,(68),12.1864,407.087,280.1,(29),0.000725851,(49),none
47,16936.1,(63),12.6965,388.541,232.8,(36),0.000581196,(57),none
48,12201.2,(45),14.9585,382.485,259.3,(32),0.000410527,(62),none
49,11996.2,(44),15.0858,371.172,127.3,(53),0.00202017,(35),none
50,17896.6,(65),12.3511,355.975,166.0,(44),0.00293506,(26),none
51,14012.0,(50),13.9586,354.483,128.0,(52),0.00195927,(36),none
52,14623.8,(52),13.6635,323.738,202.5,(40),0.000659566,(51),none
53,2114.69,(7),35.9308,284.438,244.16,(34),0.0036506,(24),none
54,16229.3,(59),12.97,275.136,141.6,(49),0.00511638,(21),none
55,10059.8,(37),16.4739,198.499,95.1,(58),0.0826267,(2),none
56,16385.0,(60),12.9083,192.956,101.6,(57),0.00721139,(13),none
57,7989.53,(29),18.4855,191.696,73.41,(62),0.0182903,(8),none
58,10960.0,(41),15.7828,187.611,139.6,(50),0.00164732,(40),none
59,15545.6,(56),13.2522,173.052,165.7,(45),0.00552931,(20),none
60,18031.5,(66),12.3048,147.88,133.1,(51),0.00263504,(29),none
61,18212.2,(67),12.2436,129.181,157.8,(46),0.00135194,(43),none
62,13908.0,(49),14.0107,113.872,56.1,(64),0.00585256,(19),none
63,16743.8,(62),12.7692,107.897,90.4,(59),0.00182772,(37),none
64,15390.7,(55),13.3187,87.2795,62.4,(63),0.0581504,(4),none
65,7754.4,(26),18.7636,86.3351,29.02,(67),0.0141671,(10),none
66,7933.62,(28),18.5505,77.5373,34.79,(66),0.0732397,(3),none
67,5404.4,(18),22.4759,58.7471,21.76,(68),0.125251,(1),none
68,10897.0,(40),15.8284,28.2486,55.9,(65),0.0015279,(42),none
69,115.546,(1),153.714,24.3402,6.142,(69),0.663819,(0),none
