Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,131.4,(1),147.935,1395.09,2.949,(11),1539.42,(1),['42-Mo-96_n-tot']
1,44.64,(0),253.809,1344.36,2.2775,(13),2206.36,(0),['42-Mo-95_n-tot']
2,468.027,(5),78.3852,1248.97,5.05,(6),751.2,(2),['42-Mo-98_n-tot']
3,3169.46,(10),30.1215,944.02,25.3,(0),113.355,(11),['42-Mo-92_n-tot']
4,2366.23,(9),34.8611,731.765,14.6,(2),151.623,(7),['42-Mo-96_n-tot']
5,3287.12,(11),29.5775,571.264,13.25,(3),130.655,(8),['42-Mo-96_n-tot']
6,363.722,(3),88.917,465.722,3.385,(8),389.041,(3),['42-Mo-100_n-tot']
7,1529.11,(8),43.3661,463.59,5.31,(5),230.773,(4),['42-Mo-98_n-tot']
8,3587.51,(13),28.3122,427.387,11.7,(4),117.189,(10),['42-Mo-96_n-tot']
9,3302.18,(12),29.51,245.04,17.69,(1),112.191,(12),['42-Mo-98_n-tot']
10,680.227,(7),65.0194,232.149,3.862,(7),170.03,(6),['42-Mo-95_n-tot']
11,358.613,(2),89.5482,188.62,2.403,(12),194.977,(5),['42-Mo-95_n-tot']
12,430.0,(4),81.7778,151.333,3.16,(10),128.9,(9),['42-Mo-98_n-tot']
13,558.451,(6),71.7591,130.988,3.212,(9),109.019,(13),['42-Mo-97_n-tot']
