Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1.2599,(0),1472.05,731.066,0.93235,(15),4503.62,(0),['45-Rh-103_n-g']
1,435.38,(9),79.1875,515.552,3.284,(5),410.676,(4),['45-Rh-103_n-g']
2,319.69,(8),92.4115,464.916,2.451,(10),457.917,(2),['45-Rh-103_n-g']
3,187.07,(4),120.806,442.09,2.17,(12),532.494,(1),['45-Rh-103_n-g']
4,272.2,(6),100.149,428.617,2.467,(9),439.349,(3),['45-Rh-103_n-g']
5,701.19,(13),62.3983,354.686,3.92,(2),230.811,(8),['45-Rh-103_n-g']
6,253.96,(5),103.683,316.361,2.728,(7),331.071,(6),['45-Rh-103_n-g']
7,555.17,(10),70.1258,280.585,3.458,(4),205.775,(9),['45-Rh-103_n-g']
8,154.24,(3),133.043,271.408,2.415,(11),332.31,(5),['45-Rh-103_n-g']
9,844.43,(14),56.8603,249.649,4.156,(1),149.037,(11),['45-Rh-103_n-g']
10,1269.3,(15),46.3776,215.614,4.28,(0),118.583,(14),['45-Rh-103_n-g']
11,645.77,(11),65.0207,198.714,3.867,(3),134.813,(13),['45-Rh-103_n-g']
12,691.52,(12),62.8331,195.862,3.108,(6),145.361,(12),['45-Rh-103_n-g']
13,125.64,(2),147.41,165.338,1.941,(13),235.611,(7),['45-Rh-103_n-g']
14,289.81,(7),97.0586,164.385,2.507,(8),165.768,(10),['45-Rh-103_n-g']
15,95.712,(1),168.891,65.3248,1.5228,(14),114.707,(15),['45-Rh-103_n-g']
