Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,435.391,(9),81.27,1401.92,13.675,(21),924.838,(1),['45-Rh-103_n-tot']
1,701.249,(13),64.0374,1326.65,28.226,(2),660.357,(4),['45-Rh-103_n-tot']
2,1.2599,(0),1510.78,899.857,32.1141,(0),4522.98,(0),['45-Rh-103_n-tot']
3,319.698,(8),94.8418,896.188,11.258,(26),713.226,(2),['45-Rh-103_n-tot']
4,1269.38,(18),47.5964,885.028,11.53,(25),379.132,(8),['45-Rh-103_n-tot']
5,1814.93,(24),39.8052,735.906,16.3,(19),243.818,(12),['45-Rh-103_n-tot']
6,272.207,(6),102.783,707.137,18.183,(14),607.853,(5),['45-Rh-103_n-tot']
7,187.083,(4),123.98,645.631,16.531,(18),662.111,(3),['45-Rh-103_n-tot']
8,844.45,(14),58.3556,594.275,24.177,(6),293.034,(10),['45-Rh-103_n-tot']
9,4116.06,(30),26.4319,594.154,18.11,(15),136.633,(21),['45-Rh-103_n-tot']
10,1615.38,(22),42.1922,561.083,26.02,(4),199.04,(14),['45-Rh-103_n-tot']
11,1692.39,(23),41.2211,538.062,17.74,(16),189.46,(17),['45-Rh-103_n-tot']
12,2287.81,(25),35.4536,537.155,20.16,(10),160.451,(19),['45-Rh-103_n-tot']
13,2594.95,(27),33.2893,529.437,24.76,(5),146.513,(20),['45-Rh-103_n-tot']
14,555.186,(10),71.9698,527.399,26.667,(3),322.579,(9),['45-Rh-103_n-tot']
15,4056.62,(29),26.6249,503.857,21.73,(8),115.25,(25),['45-Rh-103_n-tot']
16,154.248,(3),136.54,438.502,29.653,(1),458.709,(6),['45-Rh-103_n-tot']
17,1194.01,(17),49.0756,436.877,7.87,(29),189.255,(18),['45-Rh-103_n-tot']
18,253.973,(5),106.408,433.889,9.552,(27),407.531,(7),['45-Rh-103_n-tot']
19,691.553,(12),64.4847,369.132,8.997,(28),222.839,(13),['45-Rh-103_n-tot']
20,3115.95,(28),30.3791,363.208,11.67,(24),108.836,(27),['45-Rh-103_n-tot']
21,2451.34,(26),34.2506,339.1,19.71,(11),103.302,(30),['45-Rh-103_n-tot']
22,645.784,(11),66.7308,332.778,18.313,(13),196.516,(15),['45-Rh-103_n-tot']
23,1539.58,(20),43.2184,318.766,12.06,(23),123.761,(23),['45-Rh-103_n-tot']
24,1152.33,(16),49.9553,285.984,19.27,(12),126.06,(22),['45-Rh-103_n-tot']
25,1563.17,(21),42.891,277.35,20.72,(9),110.583,(26),['45-Rh-103_n-tot']
26,1303.67,(19),46.9663,238.875,14.64,(20),105.314,(29),['45-Rh-103_n-tot']
27,289.827,(7),99.6094,214.124,13.374,(22),190.988,(16),['45-Rh-103_n-tot']
28,928.382,(15),55.6553,206.973,16.993,(17),107.414,(28),['45-Rh-103_n-tot']
29,125.64,(2),151.288,203.662,23.4,(7),251.4,(11),['45-Rh-103_n-tot']
30,95.712,(1),173.335,79.5024,7.6046,(30),121.073,(24),['45-Rh-103_n-tot']
