Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2585.48,(28),33.3503,104241.0,756.08,(0),5.1553,(57),none
1,914.066,(12),56.0894,29487.5,48.686,(30),0.946614,(75),none
2,268.57,(3),103.476,28159.3,31.227,(45),0.700669,(76),none
3,299.005,(4),98.0687,16454.1,16.794,(61),13.9632,(0),none
4,856.956,(11),57.9283,14226.1,44.065,(33),0.356045,(79),none
5,964.103,(13),54.6145,13060.5,43.359,(35),9.22898,(2),none
6,4042.7,(49),26.6707,8292.62,153.58,(4),5.51642,(32),none
7,3029.61,(33),30.8089,7899.09,159.25,(3),6.03365,(7),none
8,5646.82,(73),22.5667,7330.39,261.09,(1),5.58384,(26),none
9,1503.46,(21),43.7345,7059.52,110.5,(8),5.48957,(37),none
10,1143.12,(15),50.1561,3114.95,140.58,(6),6.05327,(6),none
11,3677.95,(45),27.9619,2319.18,67.77,(21),5.58321,(27),none
12,1830.63,(27),39.6341,2011.56,20.5,(56),0.55164,(78),none
13,3508.19,(43),28.6305,1692.1,110.2,(9),5.61355,(24),none
14,2689.38,(29),32.6997,1580.84,96.4,(11),4.64774,(64),none
15,4685.3,(59),24.7743,1255.87,144.77,(5),5.41901,(45),none
16,3850.33,(47),27.3288,1254.88,160.07,(2),5.5344,(31),none
17,3644.4,(44),28.0903,1085.45,121.16,(7),5.57932,(28),none
18,4149.94,(50),26.3238,1058.99,65.06,(24),5.49484,(34),none
19,2779.56,(31),32.1649,1058.43,15.73,(64),10.1655,(1),none
20,4518.17,(58),25.2283,993.24,82.71,(14),5.44259,(44),none
21,2757.67,(30),32.2923,952.1,16.62,(62),0.659919,(77),none
22,3060.74,(34),30.6518,862.54,48.28,(31),5.97511,(10),none
23,2867.43,(32),31.6682,739.179,18.95,(59),1.26644,(74),none
24,3120.88,(35),30.3551,728.428,38.35,(42),5.8641,(12),none
25,3919.39,(48),27.087,718.645,18.06,(60),5.69197,(20),none
26,4792.41,(61),24.4959,621.028,71.7,(17),5.4051,(46),none
27,641.737,(10),66.9408,585.573,49.836,(29),4.64098,(65),none
28,4233.74,(52),26.062,558.245,71.15,(18),5.47752,(40),none
29,555.991,(8),71.9177,509.131,40.049,(39),4.96232,(61),none
30,4443.57,(57),25.4392,501.324,46.75,(32),5.46076,(42),none
31,514.187,(7),74.7841,489.221,58.171,(27),5.1104,(59),none
32,583.975,(9),70.1734,445.128,28.438,(46),4.87006,(62),none
33,3207.83,(37),29.9408,443.332,68.23,(19),5.76343,(16),none
34,5725.51,(76),22.4111,399.902,43.15,(36),5.5631,(29),none
35,1394.25,(20),45.415,379.104,7.36,(73),1.82292,(73),none
36,3408.24,(42),29.0472,372.145,27.31,(47),5.66141,(23),none
37,1593.98,(24),42.4745,330.315,9.56,(71),7.42235,(4),none
38,4995.11,(64),23.9937,302.543,89.85,(13),5.35949,(50),none
39,3745.12,(46),27.71,299.466,10.46,(67),5.99624,(9),none
40,4367.54,(54),25.6597,284.217,91.14,(12),5.46143,(41),none
41,5280.93,(70),23.3354,269.447,42.9,(37),5.13578,(58),none
42,1199.22,(16),48.9689,266.372,56.27,(28),5.82036,(13),none
43,5993.15,(79),21.9049,257.897,66.51,(22),5.47945,(39),none
44,3346.13,(40),29.3156,257.281,66.31,(23),5.67849,(21),none
45,1758.61,(26),40.4376,256.542,77.47,(16),4.73358,(63),none
46,1553.78,(22),43.0205,252.927,43.6,(34),5.04808,(60),none
47,403.526,(5),84.4178,230.631,97.35,(10),5.71311,(18),none
48,1581.49,(23),42.6419,229.759,7.28,(74),2.56337,(71),none
49,4282.89,(53),25.912,228.185,21.39,(55),5.49417,(35),none
50,5139.26,(67),23.6548,225.718,77.47,(15),5.30057,(54),none
51,1002.65,(14),53.5544,219.75,12.681,(66),5.77993,(15),none
52,3377.61,(41),29.1786,212.212,25.26,(49),5.67199,(22),none
53,4910.25,(63),24.2001,200.844,64.53,(25),5.38122,(48),none
54,3284.15,(39),29.5909,178.817,63.0,(26),5.70874,(19),none
55,5032.94,(65),23.9034,171.972,26.49,(48),5.35564,(52),none
56,141.766,(1),142.424,171.853,38.732,(41),4.17233,(68),none
57,5910.16,(78),22.0582,125.265,42.24,(38),5.49215,(36),none
58,5674.15,(74),22.5123,123.641,19.27,(57),5.58593,(25),none
59,1619.72,(25),42.1357,117.022,24.51,(52),5.80594,(14),none
60,5392.48,(72),23.0927,102.385,5.8,(76),1.90332,(72),none
61,5761.7,(77),22.3406,89.3195,18.96,(58),5.55183,(30),none
62,5060.1,(66),23.8391,78.5937,16.59,(63),5.35783,(51),none
63,3134.86,(36),30.2873,65.5512,10.39,(68),5.87727,(11),none
64,1301.28,(17),47.0094,61.2502,68.18,(20),5.44768,(43),none
65,458.143,(6),79.2263,59.9432,39.252,(40),5.34307,(53),none
66,153.723,(2),136.773,57.5853,9.708,(70),4.10395,(69),none
67,1317.24,(18),46.7237,45.0335,14.75,(65),5.37493,(49),none
68,4829.1,(62),24.4026,44.3302,22.9,(54),5.40192,(47),none
69,4404.38,(56),25.5521,39.0089,5.75,(77),6.02212,(8),none
70,4181.62,(51),26.2239,38.9901,25.0,(50),5.48724,(38),none
71,4726.78,(60),24.6653,37.2989,5.36,(78),6.26976,(5),none
72,5383.0,(71),23.1131,30.6074,24.83,(51),3.30469,(70),none
73,5692.68,(75),22.4756,23.6348,4.08,(79),8.16916,(3),none
74,5228.84,(68),23.4513,23.0117,31.74,(44),5.22054,(56),none
75,3220.83,(38),29.8804,18.0319,9.9,(69),5.76181,(17),none
76,4392.77,(55),25.5859,16.3047,8.33,(72),5.49872,(33),none
77,1373.99,(19),45.7486,12.6563,24.15,(53),4.63806,(66),none
78,5242.57,(69),23.4206,10.4127,7.13,(75),5.23963,(55),none
79,61.1997,(0),216.768,10.2307,33.7688,(43),4.46562,(67),none
