Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,33.1,(3),294.751,3873.93,7.407,(19),7256.11,(0),['46-Pd-108_n-tot']
1,90.8,(7),177.962,2412.28,11.0061,(10),2909.61,(1),['46-Pd-108_n-tot']
2,281.919,(10),100.997,1857.75,15.643,(7),1310.34,(2),['46-Pd-106_n-tot']
3,871.032,(14),57.4583,1167.66,21.838,(4),442.201,(5),['46-Pd-106_n-tot']
4,956.99,(18),54.8171,1019.63,9.199,(13),412.544,(7),['46-Pd-108_n-tot']
5,427.615,(12),82.0056,896.009,6.688,(21),628.499,(3),['46-Pd-108_n-tot']
6,1657.64,(21),41.6509,883.131,35.05,(0),259.766,(10),['46-Pd-108_n-tot']
7,182.416,(9),125.556,753.722,15.343,(8),575.151,(4),['46-Pd-104_n-tot']
8,636.217,(13),67.2306,717.0,9.675,(12),413.276,(6),['46-Pd-108_n-tot']
9,4382.08,(26),25.6171,690.335,31.66,(2),115.158,(23),['46-Pd-108_n-tot']
10,906.221,(15),56.3317,679.33,15.995,(6),303.339,(9),['46-Pd-108_n-tot']
11,922.068,(16),55.8455,647.07,8.383,(16),361.891,(8),['46-Pd-106_n-tot']
12,1839.13,(22),39.5424,465.815,10.83,(11),169.857,(14),['46-Pd-106_n-tot']
13,3162.01,(25),30.157,431.699,32.03,(1),101.087,(26),['46-Pd-108_n-tot']
14,2015.32,(23),37.7744,416.029,13.78,(9),136.637,(18),['46-Pd-108_n-tot']
15,2504.72,(24),33.8836,373.913,27.29,(3),105.07,(24),['46-Pd-108_n-tot']
16,1215.07,(20),48.6485,356.822,8.68,(14),162.757,(15),['46-Pd-108_n-tot']
17,1193.03,(19),49.0958,333.897,19.32,(5),121.373,(22),['46-Pd-104_n-tot']
18,947.475,(17),55.0917,286.843,7.975,(18),132.833,(20),['46-Pd-104_n-tot']
19,150.216,(8),138.36,175.032,6.387,(23),213.196,(11),['46-Pd-105_n-tot']
20,305.639,(11),96.9986,148.764,8.351,(17),138.037,(17),['46-Pd-105_n-tot']
21,77.73,(5),192.343,81.7493,7.3875,(20),131.665,(21),['46-Pd-105_n-tot']
22,86.7287,(6),182.091,73.9096,5.3229,(24),136.365,(19),['46-Pd-105_n-tot']
23,13.23,(1),466.219,71.7559,3.2403,(26),202.241,(12),['46-Pd-105_n-tot']
24,25.15,(2),338.143,68.433,6.4736,(22),172.825,(13),['46-Pd-105_n-tot']
25,55.21,(4),228.224,55.2715,8.6674,(15),102.31,(25),['46-Pd-105_n-tot']
26,5.5253,(0),721.426,37.5702,4.54898,(25),154.956,(16),['46-Pd-110_n-tot']
