Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,202.5,(6),116.112,444.216,1.105,(10),1113.42,(2),none
1,51.56,(3),230.109,422.901,0.5501,(14),2147.28,(0),none
2,310.8,(8),93.7239,199.43,1.176,(9),489.575,(4),none
3,16.3,(0),409.258,193.882,0.3295,(17),1760.65,(1),none
4,466.7,(10),76.4842,121.834,1.381,(7),256.815,(5),none
5,41.57,(1),256.272,115.652,0.4546,(16),761.337,(3),none
6,934.1,(17),54.0622,94.1802,1.982,(0),137.537,(11),none
7,515.4,(11),72.7811,84.1324,1.443,(6),166.919,(7),none
8,587.7,(13),68.1574,77.2749,1.536,(5),142.542,(9),none
9,251.3,(7),104.23,77.0403,1.014,(11),220.307,(6),none
10,554.5,(12),70.1681,67.4079,1.83,(2),104.481,(14),none
11,882.3,(16),55.6266,62.7747,1.862,(1),96.5736,(15),none
12,752.9,(15),60.2174,58.221,1.75,(3),93.3225,(16),none
13,361.2,(9),86.9394,54.5139,1.22,(8),129.282,(13),none
14,674.6,(14),63.6162,53.1445,1.624,(4),93.2216,(17),none
15,173.7,(5),125.369,40.8889,0.844,(12),141.851,(10),none
16,144.2,(4),137.597,40.3203,0.832,(13),132.77,(12),none
17,44.9,(2),246.585,26.1486,0.4867,(15),157.734,(8),none
