Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,164.245,(4),128.927,840.356,46.671,(0),937.657,(1),none
1,27.57,(0),314.682,531.936,44.7922,(1),1236.33,(0),none
2,233.466,(6),108.138,473.645,23.365,(6),482.648,(3),none
3,99.491,(2),165.653,394.228,10.5239,(11),592.511,(2),none
4,225.146,(5),110.118,344.294,17.155,(7),363.112,(4),none
5,356.21,(8),87.5463,298.48,30.553,(3),251.059,(6),none
6,275.694,(7),99.5124,198.945,24.522,(5),189.058,(7),none
7,576.184,(10),68.8351,197.962,11.084,(10),132.692,(10),none
8,138.166,(3),140.569,183.845,16.056,(9),255.157,(5),none
9,389.17,(9),83.757,181.815,30.289,(4),144.459,(9),none
10,622.773,(11),66.2103,175.792,33.034,(2),115.159,(11),none
11,86.185,(1),177.981,116.22,17.142,(8),183.743,(8),none
