Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,9.21875,(2),558.514,7536.93,9.68029,(14),4.0536,(37),none
1,19.1825,(3),387.184,6363.8,6.6627,(21),5.26806,(13),none
2,225.637,(22),112.892,3893.05,24.19,(6),3.8082,(39),none
3,541.746,(39),72.8571,2151.23,31.789,(2),3.27725,(43),none
4,579.749,(41),70.4287,1748.15,26.07,(5),3.32383,(42),none
5,23.097,(4),352.851,1691.08,3.1059,(31),8.08738,(5),none
6,509.163,(38),75.1521,1532.18,42.84,(1),3.70079,(41),none
7,29.6628,(6),311.361,1471.08,5.0666,(26),5.79909,(9),none
8,268.524,(27),103.485,1233.01,27.822,(3),4.65588,(24),none
9,3.6276,(1),890.349,1157.72,2.75037,(32),5.48276,(10),none
10,0.413281,(0),2637.83,1020.78,1.73692,(37),8.14046,(4),none
11,132.032,(17),147.581,963.456,10.17,(13),5.11641,(14),none
12,101.369,(15),168.429,641.755,4.045,(28),4.77759,(20),none
13,590.893,(42),69.7614,589.475,8.6,(18),4.8382,(19),none
14,26.3742,(5),330.202,549.889,1.4514,(39),13.9181,(3),none
15,406.509,(33),84.1075,544.713,60.306,(0),4.35634,(31),none
16,302.249,(29),97.541,526.826,26.43,(4),4.39826,(30),none
17,232.849,(23),111.13,494.427,5.082,(25),5.30734,(12),none
18,553.352,(40),72.089,490.741,9.16,(15),4.57066,(26),none
19,41.9796,(7),261.728,366.29,9.1197,(16),4.89132,(17),none
20,98.017,(14),171.285,355.336,5.5754,(23),5.34535,(11),none
21,345.136,(32),91.2798,352.042,20.099,(9),4.69992,(22),none
22,461.797,(36),78.9122,351.024,21.109,(8),4.16005,(35),none
23,120.597,(16),154.419,227.75,3.288,(30),4.61463,(25),none
24,323.865,(31),94.2297,218.606,10.792,(12),4.5377,(27),none
25,312.099,(30),95.9895,207.691,8.534,(19),4.69943,(23),none
26,426.685,(34),82.0949,196.105,18.922,(10),4.3284,(32),none
27,439.348,(35),80.9031,167.971,11.439,(11),4.19076,(33),none
28,92.4055,(13),176.409,133.817,0.8022,(41),40.1435,(1),none
29,201.472,(21),119.471,127.084,1.93,(36),4.46848,(29),none
30,598.508,(43),69.3162,117.202,5.87,(22),5.85896,(8),none
31,275.158,(28),102.23,84.6644,5.263,(24),4.9873,(15),none
32,240.454,(26),109.359,42.2726,1.477,(38),7.0112,(6),none
33,194.953,(19),121.452,38.9791,22.903,(7),4.08523,(36),none
34,238.022,(25),109.916,35.7339,2.214,(34),6.06663,(7),none
35,465.625,(37),78.5872,32.7806,2.312,(33),4.70473,(21),none
36,145.801,(18),140.44,13.0844,4.293,(27),4.8846,(18),none
37,235.403,(24),110.526,11.2916,0.667,(42),21.9544,(2),none
38,199.29,(20),120.123,8.58058,3.29,(29),3.92782,(38),none
39,45.0208,(8),252.734,5.44538,0.2206,(43),86.9261,(0),none
40,87.4245,(12),181.365,3.53169,8.7781,(17),3.7116,(40),none
41,66.3608,(10),208.168,1.93685,7.4628,(20),4.18343,(34),none
42,73.7279,(11),197.494,1.10266,1.9599,(35),4.94612,(16),none
43,56.428,(9),225.747,0.105543,1.2862,(40),4.52743,(28),none
