Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,1548.17,(4),43.0983,1564.49,3.82,(13),1203.03,(1),none
1,111.202,(0),160.81,882.873,0.677,(18),3696.19,(0),none
2,3360.22,(7),29.254,640.386,4.36,(10),457.116,(2),none
3,16755.4,(16),13.1006,589.203,15.5,(0),137.526,(11),none
4,27482.0,(18),10.2293,564.652,14.0,(1),119.532,(14),none
5,4573.5,(9),25.0753,469.637,4.89,(9),290.142,(5),none
6,13904.9,(14),14.3809,444.45,10.6,(3),121.216,(13),none
7,21400.0,(17),11.5921,435.288,11.0,(2),113.432,(15),none
8,3341.97,(6),29.3338,416.944,3.91,(12),310.65,(3),none
9,6743.61,(11),20.6502,400.318,6.25,(6),178.568,(8),none
10,6510.49,(10),21.0166,386.508,6.05,(7),179.236,(7),none
11,15521.0,(15),13.6116,374.432,10.5,(4),106.819,(17),none
12,1787.49,(5),40.1096,277.793,2.66,(14),298.653,(4),none
13,7858.96,(12),19.1288,275.874,6.0,(8),139.03,(10),none
14,4413.6,(8),25.5254,240.981,4.23,(11),156.734,(9),none
15,8919.92,(13),17.9552,230.971,6.34,(5),108.651,(16),none
16,1338.94,(3),46.3435,145.241,2.19,(15),189.967,(6),none
17,632.6,(2),67.4225,56.7886,1.571,(16),101.046,(18),none
18,147.7,(1),139.534,31.5346,0.733,(17),129.144,(12),none
