Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,40000.0,(60),8.4789,80475.2,82500.0,(1),6.28351,(3),none
1,72.0067,(4),199.84,12693.5,35.6162,(17),5.04894,(11),none
2,2079.65,(58),37.1856,5421.14,70.95,(4),2.46408,(61),none
3,417.246,(16),83.0183,5032.44,20.69,(30),3.32292,(57),none
4,1042.09,(40),52.5312,4583.16,48.774,(8),5.07977,(9),none
5,849.734,(34),58.1739,3770.05,39.57,(12),4.96856,(18),none
6,1355.68,(51),46.0565,2664.51,40.18,(11),2.56775,(60),none
7,810.183,(33),59.5769,2574.42,23.511,(26),3.10404,(59),none
8,355.008,(14),90.0017,2275.57,15.952,(37),4.50468,(46),none
9,339.733,(13),92.0028,2165.36,24.545,(25),3.72649,(55),none
10,116.813,(5),156.9,2134.45,15.121,(40),4.62516,(43),none
11,192.959,(8),122.078,2043.7,14.471,(41),4.41744,(48),none
12,456.719,(18),79.3497,1893.61,35.782,(16),4.72167,(38),none
13,786.852,(32),60.4537,1870.71,83.65,(3),4.18994,(51),none
14,1385.72,(52),45.5546,1806.48,30.01,(21),5.15705,(6),none
15,35.0337,(3),286.501,1563.05,4.7483,(56),5.18432,(5),none
16,486.673,(19),76.869,1273.51,29.407,(22),5.13553,(7),none
17,1750.06,(56),40.5362,977.651,37.62,(14),4.11645,(52),none
18,1274.23,(47),47.5057,852.532,56.35,(6),4.62702,(41),none
19,1485.19,(55),44.0026,624.765,15.73,(38),3.54707,(56),none
20,199.615,(9),120.025,567.86,4.557,(57),6.46858,(2),none
21,397.716,(15),85.0322,556.636,35.258,(18),4.3788,(49),none
22,122.623,(6),153.138,525.068,3.344,(59),7.25282,(1),none
23,992.829,(39),53.8186,506.212,6.862,(52),3.13178,(58),none
24,1186.25,(45),49.2359,475.755,24.58,(24),4.62596,(42),none
25,877.928,(36),57.2322,316.157,17.762,(35),5.03026,(14),none
26,422.618,(17),82.4889,292.556,2.431,(60),21.9595,(0),none
27,271.576,(11),102.902,185.881,54.01,(7),4.81362,(29),none
28,679.346,(28),65.0615,178.025,27.21,(23),4.81051,(30),none
29,1161.57,(44),49.7562,171.641,14.41,(42),4.49952,(47),none
30,861.933,(35),57.7608,168.374,11.93,(43),4.63481,(40),none
31,218.392,(10),114.75,156.719,20.386,(31),5.02589,(15),none
32,549.261,(22),72.357,147.36,21.924,(28),4.95688,(20),none
33,520.935,(20),74.2981,107.036,37.854,(13),5.01254,(16),none
34,1313.21,(50),46.7953,89.1195,17.7,(36),4.72761,(37),none
35,293.121,(12),99.0481,86.8231,22.129,(27),4.75165,(36),none
36,652.293,(27),66.397,74.774,11.807,(44),4.84805,(27),none
37,567.525,(23),71.1832,69.3421,18.662,(32),4.92979,(21),none
38,1217.86,(46),48.5927,55.8221,7.53,(50),4.58297,(45),none
39,0.804688,(0),1890.41,50.8684,1.32237,(61),5.51514,(4),none
40,163.246,(7),132.724,49.1188,21.033,(29),4.89502,(23),none
41,639.353,(26),67.0655,48.465,18.064,(33),4.85175,(26),none
42,1296.74,(49),47.0916,45.5173,15.69,(39),4.80426,(32),none
43,1282.24,(48),47.3571,44.7171,7.8,(48),5.00235,(17),none
44,1113.19,(42),50.8259,42.9004,67.77,(5),4.87593,(24),none
45,980.883,(37),54.1453,41.5998,44.015,(10),4.29327,(50),none
46,529.3,(21),73.7087,39.3058,6.259,(53),5.03697,(13),none
47,701.35,(31),64.0328,37.6096,7.429,(51),4.80831,(31),none
48,1074.84,(41),51.7247,36.1335,33.57,(20),4.95787,(19),none
49,1146.64,(43),50.0791,35.93,37.22,(15),4.78114,(35),none
50,2296.57,(59),35.3859,33.0291,17.97,(34),4.7905,(34),none
51,31.3303,(2),302.962,21.5691,7.8205,(47),5.04673,(12),none
52,691.447,(29),64.4897,19.0132,8.656,(46),4.80242,(33),none
53,579.161,(24),70.4645,12.9562,7.566,(49),4.91264,(22),none
54,1394.79,(53),45.4062,6.51685,8.99,(45),5.06387,(10),none
55,987.8,(38),53.9554,5.30032,5.928,(54),3.87698,(53),none
56,696.143,(30),64.2718,4.18182,3.876,(58),4.8382,(28),none
57,25.1182,(1),338.357,0.0,4.821,(55),5.10825,(8),none
58,624.794,(25),67.8424,0.0,47.753,(9),4.86423,(25),none
59,1469.84,(54),44.2318,0.0,34.99,(19),4.60498,(44),none
60,2010.02,(57),37.8242,0.0,110.0,(2),4.64167,(39),none
61,6000000.0,(61),0.6923,0.0,4859150.0,(0),3.86611,(54),none
