Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,111.2,(4),156.689,38.4859,0.569,(6),240.094,(0),['50-Sn-116_n-g']
1,359.0,(6),87.2054,16.8904,0.929,(3),79.9977,(1),['50-Sn-118_n-g']
2,771.0,(8),59.5064,14.4089,1.979,(0),23.1962,(7),['50-Sn-118_n-g']
3,948.605,(9),53.6473,9.49027,1.419,(1),26.2837,(6),['50-Sn-120_n-g']
4,426.1,(7),80.0451,7.02948,1.092,(2),23.0096,(8),['50-Sn-120_n-g']
5,62.0,(2),209.843,6.40617,0.5268,(7),41.1212,(3),['50-Sn-124_n-g']
6,94.8,(3),169.702,6.21759,0.6732,(4),27.629,(5),['50-Sn-112_n-g']
7,38.8,(0),265.262,6.03425,0.3797,(8),53.4211,(2),['50-Sn-117_n-g']
8,120.54,(5),150.496,3.42498,0.578,(5),21.1644,(9),['50-Sn-117_n-g']
9,45.75,(1),244.284,3.02619,0.3533,(9),33.3728,(4),['50-Sn-118_n-g']
