Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,5500000.0,(215),0.723083,6655590.0,11405000.0,(0),4.20499,(165),none
1,25.5522,(2),335.471,27411.1,14.2023,(72),4.86923,(71),none
2,11.0015,(1),511.262,26734.6,9.1409,(110),5.24571,(31),none
3,1.625,(0),1330.28,10009.3,6.23368,(156),5.09309,(35),none
4,85.8414,(8),183.03,6023.39,15.82,(64),4.29694,(152),none
5,37.1171,(3),278.345,3751.16,8.2915,(126),4.92548,(60),none
6,2360.26,(151),34.9052,2283.09,60.98,(5),3.92779,(188),none
7,5344.48,(211),23.1962,2262.82,72.87,(3),4.09774,(172),none
8,1635.36,(125),41.9337,1945.48,44.99,(12),4.5934,(113),none
9,130.187,(13),148.623,1945.04,5.167,(168),6.0633,(12),none
10,2968.21,(170),31.1259,1910.38,58.88,(6),4.5407,(123),none
11,1694.08,(126),41.2005,1838.1,58.88,(7),3.98448,(181),none
12,69.8263,(7),202.937,1836.98,9.2966,(108),4.35001,(143),none
13,147.281,(16),139.732,1826.2,5.523,(162),5.46606,(22),none
14,1106.68,(106),50.9752,1757.88,26.07,(30),3.79023,(198),none
15,123.05,(12),152.872,1685.32,5.965,(160),3.89424,(192),none
16,156.178,(17),135.694,1679.12,7.379,(145),5.77804,(16),none
17,460.165,(57),79.052,1545.89,7.691,(138),8.03185,(7),none
18,1009.21,(102),53.38,1414.71,18.883,(55),5.09443,(34),none
19,4274.14,(199),25.9385,1393.9,45.95,(11),3.54517,(211),none
20,50.0,(4),239.82,1255.54,15.6301,(65),4.53209,(124),none
21,1994.95,(139),37.9668,1249.5,22.09,(37),3.93934,(186),none
22,3547.65,(183),28.4708,1176.49,37.89,(16),3.70133,(209),none
23,5271.96,(210),23.3552,1157.34,49.99,(9),3.88877,(193),none
24,2680.14,(161),32.756,1128.71,63.95,(4),4.34452,(145),none
25,2908.65,(169),31.443,1034.1,31.99,(23),3.73516,(207),none
26,539.422,(65),73.0139,1029.55,7.879,(134),3.74756,(204),none
27,2386.25,(152),34.7146,1023.13,25.94,(31),4.0302,(177),none
28,140.475,(14),143.077,1020.95,9.349,(105),4.60884,(108),none
29,5073.0,(208),23.8088,982.998,40.22,(14),3.51419,(212),none
30,2519.54,(155),33.7838,976.405,20.98,(45),3.37675,(214),none
31,390.276,(48),85.8388,975.566,14.107,(73),3.73835,(206),none
32,549.8,(66),72.3215,973.248,8.252,(128),6.20853,(9),none
33,404.047,(49),84.3633,906.364,12.953,(83),4.46607,(133),none
34,3019.25,(172),30.8617,853.806,28.92,(29),5.31805,(29),none
35,1198.0,(111),48.9938,851.168,18.04,(59),4.32446,(150),none
36,2299.39,(150),35.3642,837.0,36.84,(18),4.11458,(170),none
37,2141.8,(144),36.6421,811.058,30.48,(24),4.26789,(156),none
38,173.81,(20),128.627,790.778,7.543,(140),5.43709,(23),none
39,1590.19,(124),42.5251,788.677,21.35,(44),3.77982,(200),none
40,108.736,(11),162.623,785.527,19.3051,(52),4.397,(139),none
41,2182.73,(145),36.2969,784.307,40.79,(13),4.86081,(72),none
42,5395.84,(212),23.0855,771.132,49.74,(10),5.54952,(20),none
43,451.848,(56),79.7762,749.914,3.536,(195),13.198,(3),none
44,164.094,(19),132.38,742.939,6.427,(155),5.05567,(39),none
45,4139.6,(196),26.3567,731.017,28.93,(28),4.77518,(85),none
46,958.877,(100),54.7631,726.368,14.762,(68),4.52547,(125),none
47,1121.61,(107),50.6348,712.374,14.08,(75),5.36116,(27),none
48,1912.37,(137),38.7779,707.0,13.9,(76),5.05892,(38),none
49,2761.25,(163),32.2713,705.615,50.98,(8),4.41609,(137),none
50,2989.79,(171),31.0134,696.567,21.96,(39),3.76852,(202),none
51,440.437,(53),80.8031,687.639,10.672,(94),2.94747,(215),none
52,4110.22,(195),26.4507,674.297,33.94,(20),3.61137,(210),none
53,1216.61,(112),48.6177,669.899,18.46,(57),4.836,(75),none
54,1770.51,(129),40.3014,648.885,32.78,(21),3.96696,(182),none
55,4002.74,(194),26.8035,626.744,29.9,(27),4.9835,(49),none
56,1718.48,(127),40.907,614.348,24.16,(33),4.72159,(98),none
57,1815.37,(132),39.8004,607.603,21.83,(41),4.22559,(161),none
58,668.488,(77),65.5878,601.363,9.953,(100),4.39391,(141),none
59,611.115,(73),68.5975,585.322,7.8,(135),5.52102,(21),none
60,642.345,(75),66.9092,560.79,13.754,(77),5.01452,(45),none
61,1480.2,(119),44.0767,526.402,18.24,(58),3.96391,(183),none
62,3832.42,(188),27.3926,489.861,32.61,(22),3.96018,(185),none
63,1898.05,(136),38.9239,484.707,10.45,(97),3.42611,(213),none
