Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,2.334,(0),1081.53,9471.3,0.68754,(24),57724.9,(0),none
1,24.1,(1),336.575,1527.93,1.2624,(23),4123.65,(1),none
2,158.6,(7),131.202,1027.16,2.417,(14),1302.09,(4),none
3,132.7,(6),143.435,937.78,2.064,(18),1310.86,(3),none
4,35.9,(2),275.768,556.001,1.2684,(22),1508.85,(2),none
5,363.4,(13),86.6759,516.356,2.76,(12),482.304,(5),none
6,341.7,(12),89.3857,340.918,2.35,(16),354.11,(7),none
7,317.5,(10),92.7297,326.934,3.618,(5),275.719,(9),none
8,274.8,(9),99.6741,259.828,2.353,(15),293.737,(8),none
9,235.3,(8),107.716,255.518,2.986,(7),271.558,(10),none
10,664.4,(20),64.1026,253.86,4.009,(3),178.265,(15),none
11,608.0,(19),67.0099,250.538,3.253,(6),202.627,(13),none
12,374.5,(14),85.3817,235.315,2.589,(13),234.399,(11),none
13,436.6,(16),79.0768,220.566,2.972,(8),195.557,(14),none
14,96.8,(4),167.94,215.956,1.6679,(19),376.771,(6),none
15,467.6,(17),76.4106,198.796,2.966,(9),172.235,(17),none
16,409.5,(15),81.6514,183.291,2.782,(11),169.619,(19),none
17,997.4,(23),52.3186,182.223,4.845,(0),105.179,(23),none
18,918.0,(22),54.5342,178.664,4.557,(1),108.223,(21),none
19,854.7,(21),56.5176,167.974,4.492,(2),105.656,(22),none
20,1074.0,(24),50.4183,166.32,3.94,(4),100.496,(24),none
21,334.6,(11),90.3291,152.521,2.089,(17),170.934,(18),none
22,498.3,(18),74.0193,133.251,2.815,(10),124.123,(20),none
23,119.9,(5),150.897,124.743,1.487,(20),212.196,(12),none
24,73.1,(3),193.256,87.3464,1.4284,(21),175.931,(16),none
