Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,16007.6,(11),13.0595,6295.57,3255.7,(2),4.818e-06,(18),none
1,1408.87,(1),44.0205,6184.56,570.44,(14),3.77298e-05,(6),none
2,5000.0,(5),23.3671,6160.31,1106.9,(9),2.169e-05,(11),none
3,7595.54,(8),18.9588,6118.71,1026.68,(10),7.14443e-05,(3),none
4,3744.2,(4),27.0029,5691.46,1240.35,(6),1.28217e-05,(15),none
5,2058.74,(2),36.4158,4777.12,519.59,(16),2.65093e-05,(10),none
6,921.875,(0),54.4195,4178.69,1139.05,(8),5.74853e-05,(4),none
7,6092.43,(7),21.1688,4058.99,1224.97,(7),2.74209e-05,(9),none
8,2657.19,(3),32.0538,3669.08,962.14,(11),1.19452e-05,(16),none
9,12456.0,(9),14.8048,2867.14,3614.7,(0),6.09731e-06,(17),none
10,20000.0,(14),11.6836,2223.34,1768.3,(5),1.71844e-05,(13),none
11,26434.3,(17),10.1626,1868.76,3525.5,(1),1.38167e-05,(14),none
12,14112.0,(10),13.909,1473.12,928.8,(12),1.8902e-05,(12),none
13,18216.8,(12),12.2421,958.347,911.9,(13),4.19839e-05,(5),none
14,5720.31,(6),21.8465,883.582,225.41,(18),0.000122366,(2),none
15,28537.3,(18),9.78102,850.779,1981.0,(3),2.82963e-05,(8),none
16,22331.7,(16),11.0568,845.165,1798.3,(4),3.58593e-05,(7),none
17,21195.2,(15),11.3494,515.24,570.2,(15),0.000134834,(1),none
18,19026.2,(13),11.9788,402.659,410.1,(17),0.000160371,(0),none
