Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,37.74,(2),276.038,2766.24,5.7863,(109),6242.03,(0),none
1,31.245,(1),303.375,1663.19,10.8373,(71),3511.75,(1),none
2,1203.47,(37),48.8824,1264.23,18.25,(16),509.176,(10),none
3,168.708,(7),130.558,1227.38,11.772,(62),1391.38,(3),none
4,195.407,(8),121.311,1171.28,13.372,(49),1245.86,(5),none
5,386.212,(15),86.2893,1113.47,10.785,(72),830.776,(7),none
6,45.4003,(3),251.675,1025.07,10.4058,(74),2004.88,(2),none
7,709.249,(27),63.6752,866.387,22.4,(8),496.083,(11),none
8,78.5356,(4),191.354,809.228,11.6895,(63),1357.48,(4),none
9,374.9,(14),87.5814,671.745,13.087,(51),548.254,(9),none
10,139.716,(6),143.465,668.228,9.56,(82),864.832,(6),none
11,1956.33,(44),38.3397,624.817,17.26,(27),487.32,(12),none
12,4012.0,(129),26.7725,572.976,55.77,(0),423.412,(17),none
13,1080.05,(35),51.5998,557.428,13.16,(50),279.576,(37),none
14,2896.03,(88),31.5114,544.827,11.21,(67),466.134,(13),none
15,427.008,(17),82.0638,544.035,9.284,(84),427.542,(16),none
16,1551.16,(40),43.0568,509.647,11.46,(66),217.353,(55),none
17,763.044,(30),61.3896,488.138,17.792,(21),279.868,(36),none
18,90.3861,(5),178.369,477.894,19.7906,(13),776.74,(8),none
19,745.034,(29),62.1272,447.224,13.968,(44),271.382,(40),none
20,566.037,(24),71.2767,424.97,6.508,(104),329.142,(29),none
21,237.405,(10),110.059,424.241,9.518,(83),457.315,(14),none
22,3920.02,(126),27.0848,381.163,15.94,(35),340.259,(27),none
23,3867.04,(123),27.2697,373.971,10.99,(69),255.392,(44),none
24,834.64,(32),58.6976,359.577,8.367,(88),214.609,(57),none
25,206.412,(9),118.033,354.468,16.904,(31),396.3,(22),none
26,1007.43,(34),53.4272,338.275,24.22,(4),174.677,(84),none
27,2018.02,(49),37.7491,336.832,15.27,(40),419.539,(18),none
28,2192.02,(55),36.2199,313.889,13.59,(47),388.654,(24),none
29,265.41,(12),104.091,311.434,7.716,(93),326.533,(30),none
30,533.528,(23),73.4161,296.744,12.14,(59),217.374,(54),none
31,955.832,(33),54.8503,289.778,7.463,(97),170.412,(86),none
32,702.606,(26),63.9755,274.354,7.532,(96),187.989,(71),none
33,3274.02,(100),29.6366,268.674,16.67,(32),339.98,(28),none
34,731.532,(28),62.6979,264.374,7.121,(98),174.895,(83),none
35,2797.02,(82),32.0643,259.683,17.32,(26),316.619,(31),none
36,435.112,(18),81.296,257.969,6.107,(106),217.29,(56),none
37,1117.06,(36),50.7378,256.828,6.46,(105),144.375,(100),none
38,1518.28,(39),43.5205,236.805,8.08,(89),112.771,(118),none
39,448.411,(19),80.0814,213.881,7.547,(95),176.938,(79),none
40,3666.02,(115),28.0074,202.978,22.25,(9),241.977,(48),none
41,1866.9,(41),39.2472,201.468,18.3,(15),107.209,(123),none
42,2096.01,(52),37.0402,199.598,18.18,(18),429.542,(15),none
43,1215.4,(38),48.6419,198.739,13.66,(46),103.457,(126),none
44,619.312,(25),68.142,185.074,6.641,(103),135.428,(104),none
45,813.948,(31),59.439,182.685,15.079,(41),111.323,(119),none
46,3821.01,(121),27.4335,169.642,9.67,(81),283.313,(34),none
47,499.51,(20),75.8748,162.707,15.666,(37),125.973,(109),none
48,3957.02,(128),26.9579,152.82,14.19,(42),246.15,(46),none
49,2394.01,(65),34.6583,144.628,17.75,(22),342.728,(26),none
