Rank by Integral,Energy (eV),Rank by Energy,TOF (us),Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,6000000.0,(71),0.6923,2132840.0,5937500.0,(0),4.00034,(11),none
1,4098.04,(69),26.49,947422.0,95913.3,(2),8.43991,(3),none
2,113.743,(3),159.004,2967.32,31.259,(40),2.5796,(26),none
3,565.958,(14),71.2816,2444.1,67.712,(22),0.609495,(71),none
4,80.976,(1),188.448,2271.48,79.175,(18),1.46742,(55),none
5,155.657,(4),135.921,2149.06,34.375,(39),2.70053,(23),none
6,2269.98,(49),35.5925,1743.37,175.27,(4),1.23684,(63),none
7,3623.41,(64),28.1716,1657.67,146.32,(7),1.41172,(58),none
8,3783.6,(65),27.5688,1651.28,171.54,(5),2.60334,(25),none
9,2925.2,(57),31.3539,1636.46,281.75,(3),2.44384,(29),none
10,3203.78,(60),29.9598,1562.87,115.66,(10),0.966449,(69),none
11,3993.79,(66),26.8335,1365.59,163.23,(6),1.87043,(46),none
12,767.274,(18),61.2202,1281.27,127.901,(9),2.13755,(40),none
13,2504.32,(55),33.8864,1115.79,79.33,(17),3.73484,(14),none
14,2634.35,(56),33.0395,1101.15,56.54,(26),5.01989,(7),none
15,223.502,(6),113.43,1075.23,40.037,(37),2.37367,(31),none
16,179.31,(5),126.639,1028.5,20.789,(51),2.77745,(20),none
17,3.6875,(0),883.087,1022.91,9.12762,(64),5.43374,(6),none
18,3439.47,(63),28.9151,1013.03,135.74,(8),2.76844,(21),none
19,455.692,(12),79.439,944.197,27.219,(45),1.42483,(57),none
20,1174.38,(29),49.4841,939.821,44.92,(34),1.08719,(67),none
21,2007.84,(46),37.8447,928.231,85.82,(14),1.26509,(62),none
22,629.187,(17),67.6052,908.652,28.204,(44),2.24,(34),none
23,1897.51,(44),38.9294,896.745,85.74,(15),1.90166,(44),none
24,423.996,(11),82.3548,869.057,49.47,(31),1.30003,(61),none
25,882.38,(21),57.0876,806.928,80.621,(16),2.1463,(38),none
26,1349.22,(33),46.1666,801.64,53.91,(28),1.40894,(59),none
27,2084.03,(48),37.1465,779.606,46.72,(33),1.21941,(64),none
28,4075.44,(68),26.5633,726.493,50.85,(30),2.07162,(42),none
29,501.883,(13),75.6952,717.047,42.474,(36),2.31497,(33),none
30,3289.04,(61),29.5689,716.861,74.47,(20),3.06603,(18),none
31,1132.06,(28),50.4005,699.969,77.55,(19),1.59688,(50),none
32,3082.49,(59),30.5435,698.245,86.33,(13),1.36872,(60),none
33,602.29,(16),69.0982,496.697,16.443,(56),4.91106,(8),none
34,1410.52,(34),45.1523,489.156,53.32,(29),2.48726,(28),none
35,1615.35,(37),42.1926,481.168,110.63,(11),2.23856,(35),none
36,367.848,(9),88.417,412.797,30.548,(42),1.53683,(54),none
37,792.805,(20),60.2264,397.496,19.013,(54),1.0949,(66),none
38,1486.26,(35),43.9868,353.99,70.96,(21),1.83402,(47),none
39,1782.39,(42),40.1669,353.094,47.14,(32),1.537,(53),none
40,1195.85,(30),49.0378,340.967,9.1,(65),4.33633,(9),none
41,1806.89,(43),39.8937,324.715,22.49,(49),1.18008,(65),none
42,1229.78,(31),48.3566,307.038,30.67,(41),4.13624,(10),none
43,1289.83,(32),47.2176,301.374,56.88,(25),2.74723,(22),none
44,1711.12,(40),40.9949,301.363,44.92,(35),2.08483,(41),none
45,893.004,(22),56.747,280.266,19.023,(53),2.64642,(24),none
46,2032.65,(47),37.613,275.276,18.82,(55),1.5456,(51),none
47,2463.3,(54),34.1673,270.761,24.91,(47),0.893501,(70),none
48,2342.19,(51),35.0396,267.664,34.94,(38),1.44817,(56),none
49,338.556,(8),92.1626,254.137,94.051,(12),2.06993,(43),none
50,2991.76,(58),31.0032,251.937,55.75,(27),2.54063,(27),none
51,2406.93,(52),34.5651,248.881,58.34,(23),1.54239,(52),none
52,240.473,(7),109.354,243.303,14.315,(59),3.16058,(17),none
53,1047.33,(27),52.3996,225.745,20.75,(52),1.87506,(45),none
54,2301.9,(50),35.3449,189.242,26.01,(46),1.67581,(49),none
55,4014.42,(67),26.7645,187.707,12.81,(60),2.2258,(36),none
56,583.155,(15),70.2227,169.905,1.771,(70),133.163,(0),none
57,1025.91,(26),52.9438,166.474,58.018,(24),2.33907,(32),none
58,2433.05,(53),34.3791,163.879,21.47,(50),0.972758,(68),none
59,963.952,(25),54.6188,161.86,29.948,(43),3.18546,(16),none
60,1916.88,(45),38.7322,151.152,9.23,(63),3.79755,(13),none
61,918.193,(23),55.9632,150.561,7.823,(67),8.71205,(2),none
62,91.055,(2),177.712,141.779,0.8509,(71),70.3988,(1),none
63,1729.56,(41),40.7757,135.716,14.96,(58),1.73801,(48),none
64,3316.01,(62),29.4484,120.943,15.3,(57),2.92137,(19),none
65,1643.27,(38),41.8326,105.599,23.06,(48),2.14094,(39),none
66,929.823,(24),55.6121,100.269,9.758,(62),3.9112,(12),none
67,1658.43,(39),41.641,85.674,8.53,(66),2.42361,(30),none
68,1498.29,(36),43.8099,84.0611,11.23,(61),3.31682,(15),none
69,378.058,(10),87.2149,61.2312,2.738,(69),7.48463,(4),none
70,774.62,(19),60.9292,13.9245,4.716,(68),2.21759,(37),none
71,150000.0,(70),4.37849,0.0,824536.0,(1),5.61563,(5),none
